,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery 1.5.2,,jQuery version 1.5.2,javascript,1386284400000,1391122800000,no,http://blog.jquery.com/2011/03/31/jquery-152-released/,jQuery
1,touchSwipe,"['Compatibility', 'jQuery Plugin']","TouchSwipe is a jquery plugin to be used with jQuery on touch input devices such as iPad, iPhone etc.",javascript,1379631600000,1407970800000,no,https://github.com/mattbryson/TouchSwipe-Jquery-Plugin,
2,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1379631600000,1635231600000,no,http://plugins.jquery.com/once/,jQuery
3,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1373497200000,1431907200000,no,http://www.appnexus.com/,
4,Del.icio.us,,The website contains del.icio.us based content.,widgets,1373497200000,1538694000000,no,http://del.icio.us,
5,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1373497200000,1635231600000,no,http://aws.amazon.com/cloudfront/,
6,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1373497200000,1636268400000,no,http://code.google.com/apis/ajaxlibs/documentation/,
7,Mustache,['Framework'],Logic-less Templates.,javascript,1372806000000,1635231600000,no,http://mustache.github.com/,
8,jQuery Easing,"['Animation', 'jQuery Plugin']","A jQuery extension that provides functionality to ""ease"" things onto or off of the screen.",javascript,1372806000000,1635231600000,no,http://gsgd.co.uk/sandbox/jquery/easing/,jQuery
9,Swipe JS,,Swipe is a lightweight mobile slider with 1:1 touch movement.,javascript,1372806000000,1407970800000,no,http://swipejs.com/,
10,TranslateThis,['Translation'],Translates a website into over 51 different languages.,widgets,1372806000000,1376002800000,no,http://translateth.is/,
11,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1372806000000,1635231600000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
12,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1372806000000,1540767600000,no,https://github.com/carhartl/jquery-cookie,jQuery
