,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Apache 2.2,,Apache version 2.2.*,Web Server,1385679600000,1466722800000,no,http://httpd.apache.org/docs/2.2,Apache
1,SSL.com,['Root Authority'],Certificate provided by SSL.com,ssl,1380236400000,1380236400000,no,http://ssl.com,
2,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1378422000000,1635490800000,no,https://google.com,
3,Brandscreen,['Demand-side Platform'],"Provides the underlying infrastructure, optimization intelligence and applications that power many of the world's leading media trading desks.",ads,1377817200000,1403737200000,no,http://www.brandscreen.com,
4,Google Tag Manager,['Tag Management'],Tag management that lets you add and update website tags without changes to underlying website code.,widgets,1374793200000,1636268400000,no,http://google.com/tagmanager,
5,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1372806000000,1531436400000,no,http://geotrust.com,
6,RapidSSL,,RapidSSL certificate provider.,ssl,1372806000000,1635490800000,no,http://rapidssl.com,
7,BootstrapCDN,,"Bootstrap CDN system - encompasses MaxCDN, NetDNA and Stackpath - donated to jsDelivr.",cdn,1369922400000,1636268400000,no,http://www.bootstrapcdn.com/,
8,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1369922400000,1635490800000,no,http://www.google.com/webmasters/,
9,Facebook Graph API,,This site has content that utilizes the Facebook Graph API,javascript,1369144800000,1456354800000,no,http://developers.facebook.com/docs/api,
10,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1367676000000,1547766000000,no,http://newrelic.com/,
11,Ruby on Rails Token,,Ruby on Rails is an open-source web framework that is optimized for programmer happiness and sustainable productivity. Note that Ruby on Rails has two detection techniques and this is one of them.,framework,1367676000000,1535065200000,no,http://www.rubyonrails.org/,
12,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1367676000000,1518735600000,no,http://developers.facebook.com/docs/reference/plugins/like,
13,Facebook Domain Insights,['Social Management'],This website contains tracking information that allows admins to see Facebook Insights out of Facebook to this domain.,analytics,1367676000000,1535065200000,no,http://www.facebook.com/insights/,
14,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1367676000000,1635490800000,no,http://jqueryui.com/,jQuery
15,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1367676000000,1535065200000,no,http://aws.amazon.com/cloudfront/,
16,Google Plus One Platform,,Google+ API functionality.,widgets,1367676000000,1535065200000,no,https://developers.google.com/+/,
17,Typekit,,Typekit is the easiest way to use real fonts on the web. It's a subscription-based service for linking to high-quality Open Type fonts from some of the world's best type foundries.,widgets,1367676000000,1523228400000,no,http://typekit.com,
18,Quantcast Measurement,"['Audience Measurement', 'Mobile']",Provides Quantcast with tracking information about your site which anyone can access and view demographic information.,analytics,1367676000000,1526598000000,no,http://www.quantcast.com,
19,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1367676000000,1635490800000,no,https://github.com/afarkas/html5shiv,
20,Chartbeat,['Visitor Count Tracking'],Live traffic monitoring of your website.,analytics,1367676000000,1390518000000,yes,http://chartbeat.com,
21,jQuery Masonry,['UI'],Masonry is a layout plugin for jQuery. Think of it as the flip side of CSS floats.,javascript,1367676000000,1539471600000,no,http://desandro.com/resources/jquery-masonry/,jQuery
22,script.aculo.us,['JavaScript Library'],"script.aculo.us provides you with easy-to-use, cross-browser user interface JavaScript libraries to make your web sites and web applications fly.",javascript,1367676000000,1456444800000,no,http://script.aculo.us/,
23,NationBuilder,['Community CMS'],Community Organizing System - both a website and a people database.,cms,1367676000000,1535065200000,yes,http://nationbuilder.com,
24,Rack Cache,,Rack::Cache is a component to enable HTTP caching for Rack-based applications such as Rails.,Web Server,1367676000000,1535065200000,no,http://rtomayko.github.com/rack-cache/,
25,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1367676000000,1636009200000,no,http://httpd.apache.org/,
26,Ubuntu,,"Ubuntu is a free, Debian derived Linux-based operating system, available with both community and professional support.",Server,1367676000000,1535065200000,no,http://ubuntu.com,
27,Phusion Passenger,,"Phusion Passenger - a.k.a. mod_rails or mod_rack - is a web server and application server, designed to be fast, robust and  lightweight. Administration tools allow you to gain insight into web application operations and server performance.",Web Server,1367676000000,1535065200000,no,http://www.modrails.com/,
28,Ruby on Rails,,Ruby on Rails is an open-source web framework that is optimized for programmer happiness and sustainable productivity.,framework,1367676000000,1535065200000,no,http://www.rubyonrails.org/,
29,DemDex,"['Audience Targeting', 'Multi-Channel']","Demdex's turn-key audience management solutions make implementing a dynamic, multi-channel data strategy cost-effective and easy. Now known as Adobe Audience Manager.",ads,1361278800000,1364302800000,no,http://www.demdex.com/,
30,Media Innovation Group,,"Provides marketing communicators with a single access point to every digital audience, and the technology platform to engage with users.",ads,1361278800000,1361278800000,no,http://www.themig.com,
31,BlueKai,['Ad Exchange'],The BlueKai Data Exchange enables partners to buy and own data to boost ad targeting across any media.,ads,1361278800000,1364302800000,no,http://bluekai.com,
32,Dstillery,"['Ad Network', 'Audience Targeting']",Building custom audiences using brand loyalists and their strongest online connections.  Previously known as Media6Degrees.,ads,1361278800000,1364302800000,no,http://media6degrees.com,
33,MediaMath,['Advertiser Tracking'],Tools that enable and empower marketing professionals.,analytics,1361278800000,1364302800000,no,http://mediamath.com,
34,Acxiom,['Advertiser Tracking'],Technology and marketing services that enable marketers to manage audiences.,analytics,1360069200000,1364302800000,no,http://acxiom.com/,
35,Datalogix,"['Advertiser Tracking', 'Conversion Optimization']",Leverages the power of purchase-based audience targeting to drive measurable online and offline sales,analytics,1355490000000,1364302800000,no,http://datalogix.com,
36,Resonate Insights,,Resonate Insights drives media plans that ensure messages reach the right people at the right time,ads,1355490000000,1364302800000,no,http://www.resonateinsights.com/,
37,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1355490000000,1636268400000,no,http://www.doubleclick.com,
38,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1355490000000,1520636400000,no,http://www.appnexus.com/,
39,Atlas,"['Ad Analytics', 'Ad Server', 'Digital Video Ads', 'Search']","High end provider of advertising solutions, using by 9 of the top 10 global brands and 7 of the top 10 global advertisement agencies. Owned by the Microsoft Corporation.",ads,1355490000000,1364302800000,no,http://www.atlassolutions.com/,
40,Invite Media,['Advertiser Tracking'],"Automatically buy from multiple ad exchanges in real-time, all through the same interface.",analytics,1355490000000,1364302800000,no,http://invitemedia.com,
41,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1341496800000,1635490800000,no,https://github.com/carhartl/jquery-cookie,jQuery
42,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1341496800000,1450306800000,no,http://akamai.com,
43,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1341496800000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
44,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1341496800000,1556838000000,no,http://www.facebook.com,
45,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1341496800000,1535065200000,no,http://twitter.com/about/resources,
46,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1341496800000,1387148400000,no,http://fancybox.net/,
47,Kentico Xperience,['Enterprise'],"Kentico CMS for ASP.NET gives marketers and developers the ability to create websites. A solution for website, store, community and on-line marketing initiatives.",cms,1286229600000,1407970800000,yes,https://xperience.io,
48,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1286229600000,1636268400000,no,http://jquery.com,jQuery
49,jQuery Autocomplete,,"Autocomplete an input field to enable users quickly finding and selecting some value, leveraging searching and filtering.",javascript,1286229600000,1365080400000,no,http://docs.jquery.com/Plugins/autocomplete,jQuery
50,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1286229600000,1635490800000,no,http://code.google.com/apis/ajaxlibs/documentation/,
51,cufón,,sIFR replacement cufon with simpler and easier to use functionality. Shows fonts in a nice format.,javascript,1286229600000,1407970800000,no,http://wiki.github.com/sorccu/cufon/about,
52,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1286229600000,1407970800000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
53,SuperFish Menu,,Superfish is an enhanced Suckerfish-style menu jQuery plugin that takes an existing pure CSS drop-down menus and adds much-sought-after enhancements.,javascript,1286229600000,1407970800000,no,http://users.tpg.com.au/j_birch/plugins/superfish/,
54,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1320584400000,1407970800000,no,http://blog.deconcept.com/swfobject/,
55,Twitter Widget,,"Adds twitter to the website, this includes the user of a twitter badge, blogger JavaScript or anything from widgets.twimg.com.",widgets,1286229600000,1365080400000,no,http://twitter.com,
56,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1286229600000,1430265600000,no,http://twitter.com,
57,ASP.NET Ajax,,"ASP.NET AJAX is a free framework for quickly creating a new generation of more efficient, more interactive and highly-personalized Web experiences that work across all the most popular browsers.",framework,1286229600000,1407970800000,no,http://ajax.asp.net,
58,AddThis,"['Social Sharing', 'Bookmarking']",Widgets that allow visitors to save and promote the site.,widgets,1286229600000,1407970800000,no,http://addthis.com,
59,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1320584400000,1636268400000,no,http://developers.facebook.com/,
60,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1320584400000,1636268400000,no,http://developers.facebook.com/docs/reference/javascript/,
61,Facebook Login Button,,Login to this site using Facebook (classic version).,widgets,1320584400000,1407970800000,no,http://developers.facebook.com/docs/reference/plugins/login,
62,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1286229600000,1559430000000,no,http://youtube.com,
63,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1254434400000,1636268400000,no,http://google.com/analytics,
64,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1320584400000,1633244400000,no,http://www.asp.net,
65,BIG-IP,,"High availability, improved performance, application security, and access control, all in one unit.",Web Server,1320584400000,1324213200000,no,http://www.f5.com/products/big-ip/,
66,IIS,,This website is running on a Microsoft IIS Server solution.,Web Server,1320584400000,1633244400000,no,http://www.microsoft.com/servers/home.mspx,
67,IIS 7,,Internet-based services for servers using Microsoft Windows.,Web Server,1320584400000,1567465200000,no,http://www.iis.net,IIS
68,Amazon,"['Cloud Hosting', 'Cloud PaaS']",This site is hosted on Amazon AWS EC2 Infrastructure.,hosting,1345730400000,1636182000000,no,http://aws.amazon.com,
69,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1390518000000,1635490800000,no,http://www.modernizr.com,
70,Zenovia,['Ad Exchange'],Online display advertising exchange.,ads,1392937200000,1403737200000,no,http://www.zenoviaexchange.com/,
71,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1397084400000,1636268400000,no,http://www.openspf.org/,
72,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1400713200000,1530572400000,no,http://nginx.net/,
73,Cloudflare,,Automatically optimizes the delivery of your web pages so your visitors get the fastest page load times and best performance.,cdn,1400713200000,1598511600000,no,http://www.cloudflare.com/,
74,Cloudflare Hosting,"['US hosting', 'Cloud Hosting', 'Cloud PaaS']",Supercharged web hosting service.,hosting,1401318000000,1417042800000,no,http://cloudflare.com,
75,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1402873200000,1636268400000,no,http://fontawesome.io,
76,Google API,,The website uses some form of Google APIs to provide interaction with the many API's Google Providers.,javascript,1405296000000,1535065200000,no,http://code.google.com,
77,VideoJS,['Video Players'],"VideoJS is an HTML5 Video Player, built with Javascript and CSS, with a fallback to a Flash video player for when the browser doesn't support HTML5 video. Owned by Brightcove.",media,1406761200000,1423180800000,no,http://videojs.com,
78,WebFont Loader,,"WebFont Loader gives you added control when using linked fonts via @font-face, from Typekit.",javascript,1406761200000,1423180800000,no,https://github.com/typekit/webfontloader,
79,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1406761200000,1636009200000,no,https://fonts.google.com,
80,Zencoder CDN,,"This page has content hosted on the Zencoder CDN, owned by Brightcove.",cdn,1406761200000,1423180800000,no,http://zencoder.com,
81,Matomo,"['Audience Measurement', 'Conversion Optimization', 'Site Optimization']","Matomo is an open source web analytics software. It gives interesting reports on your website visitors, your popular pages, the search engines keywords they used, the language they speak and so much more. Previously known as Piwik Web Analytics.",analytics,1406761200000,1415314800000,no,http://matomo.org,
82,Web24,"['Australian hosting', 'Dedicated Hosting']","Australian dedicated, reseller, virtual and web hosting solutions.",hosting,1409180400000,1635490800000,no,http://web24.net.au,
83,Share Progress,['Social Sharing'],Data-driven designs and easy testing tools to drive more sharing from your online community.,widgets,1409785200000,1456444800000,no,http://www.shareprogress.org/,
