,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Google Analytics with Ad Tracking,['Advertiser Tracking'],"Google Analytics collects the information it normally does, as well as the DoubleClick cookie when that cookie is present in relation to display advertising tracking.",analytics,1387494000000,1594422000000,no,https://support.google.com/analytics/answer/2444872,
1,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1387494000000,1634626800000,no,http://aws.amazon.com/cloudfront/,
2,CrazyEgg,['Site Optimization'],Crazy Egg provides visualization of visits to your website.,analytics,1387494000000,1575327600000,maybe,http://crazyegg.com/,
3,Apache 2.2,,Apache version 2.2.*,Web Server,1385679600000,1594422000000,no,http://httpd.apache.org/docs/2.2,Apache
4,jQuery 1.7.1,,jQuery version 1.7.1,javascript,1385679600000,1437536334862,no,http://blog.jquery.com/2011/11/21/jquery-1-7-1-released/,jQuery
5,Facebook Domain Insights,['Social Management'],This website contains tracking information that allows admins to see Facebook Insights out of Facebook to this domain.,analytics,1379286000000,1636268400000,no,http://www.facebook.com/insights/,
6,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1006848000000,1587855600000,no,http://www.macromedia.com/software/flash/about/,
7,YouTube IFrame Upload,,Lets users upload videos to YouTube from any webpage.,widgets,1379286000000,1636268400000,no,http://developers.google.com/youtube/youtube_upload_widget,
8,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1379286000000,1518735600000,no,https://twitter.com/about/resources/buttons#tweet,
9,Facebook Send Button,,The Send Button allows users to easily send content to their friends.,widgets,1379286000000,1379286000000,no,http://developers.facebook.com/docs/reference/plugins/send/,
10,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1379631600000,1636268400000,no,http://plugins.jquery.com/once/,jQuery
11,Mandrill,['Transactional Email'],Mandrill is an email infrastructure service. Detailed analytics offer insight to measure email performance.,mx,1378422000000,1633244400000,yes,http://mandrill.com/,
12,Amazon Route 53,['Enterprise DNS'],Amazon's scalable DNS web service system.,ns,1376607600000,1636268400000,no,http://aws.amazon.com/route53/,
13,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1376002800000,1636268400000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
14,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1376002800000,1636268400000,no,https://github.com/carhartl/jquery-cookie,jQuery
15,Amazon,"['Cloud Hosting', 'Cloud PaaS']",This site is hosted on Amazon AWS EC2 Infrastructure.,hosting,1376002800000,1636268400000,no,http://aws.amazon.com,
16,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1376002800000,1634886000000,no,https://fonts.google.com,
17,jQuery Form,['jQuery Plugin'],jQuery Form Plugin allows you to easily and unobtrusively upgrade HTML forms to use AJAX.,javascript,1376002800000,1636268400000,no,http://jquery.malsup.com/form/,jQuery
18,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1376002800000,1633244400000,no,https://github.com/afarkas/html5shiv,
19,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1376002800000,1636268400000,no,http://httpd.apache.org/,
20,Varnish,,Varnish is a web accelerator / reverse proxy caching server.,Web Server,1376002800000,1636268400000,no,http://varnish-software.com/,
21,StartSSL,['Root Authority'],Certificate provided by StartSSL.,ssl,1372806000000,1401321600000,no,http://startssl.com,
22,Cloudflare DNS,,DNS services provided by Cloudflare.,ns,1359673200000,1376002800000,no,http://cloudflare.com,
23,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1367157600000,1636268400000,no,https://google.com,
24,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1364302800000,1594422000000,no,http://twitter.com/settings/widgets,
25,Optimizely,"['A/B Testing', 'Site Optimization', 'Conversion Optimization', 'Personalization']",Optimizely empowers companies to deliver more relevant and effective digital experiences on websites and mobile through A/B testing and personalization.,analytics,1363698000000,1632294000000,yes,http://www.optimizely.com,
26,Google Plus One Button,,Google+ +1 Button implementation.,widgets,1362056400000,1381705200000,no,https://developers.google.com/+/plugins/+1button/,
27,Google Plus One Platform,,Google+ API functionality.,widgets,1362056400000,1523228400000,no,https://developers.google.com/+/,
28,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1355490000000,1473202800000,no,http://akamai.com,
29,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1355490000000,1633244400000,no,http://www.facebook.com,
30,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1355490000000,1636268400000,no,http://twitter.com,
31,jQuery Validate,['jQuery Plugin'],JQuery Form Validation Plugin.,javascript,1343570400000,1633244400000,no,http://jqueryvalidation.org,jQuery
32,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1324213200000,1636268400000,no,http://code.google.com/apis/ajaxlibs/documentation/,
33,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1343570400000,1633244400000,no,http://jquery.malsup.com/cycle/,jQuery
34,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1355490000000,1633244400000,no,http://twitter.com/about/resources,
35,Twitter Follow Button,,Follow Button to your website to increase engagement and create a lasting connection with your audience.,widgets,1356958800000,1551567600000,no,https://twitter.com/about/resources/buttons#follow,
36,jQuery Colorbox,['jQuery Plugin'],"A light-weight, customizable lightbox plugin for jQuery.",javascript,1343570400000,1636268400000,no,http://colorpowered.com/colorbox/,jQuery
37,Shadowbox,,Shadowbox is an online media viewer application that supports all of the web's most popular media publishing formats. ,javascript,1324213200000,1479855600000,no,http://www.shadowbox-js.com,
38,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1351774800000,1518735600000,no,http://developers.facebook.com/docs/reference/plugins/like/,
39,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1343570400000,1636268400000,no,http://www.drupal.org,
40,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1324213200000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
41,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1324213200000,1636268400000,no,http://jquery.com,jQuery
42,MailChimp,['Feedback Forms and Surveys'],MailChimp is a widely used Mailng List delivery and support service.,widgets,1346940000000,1551567600000,maybe,http://www.mailchimp.com,
43,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1255417200000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
