,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Exigent,"['Dedicated Hosting', 'Australian hosting']","Enterprise, virtual and dedicated web hosting.",hosting,1389481200000,1475535600000,no,http://www.exigent.com.au/,
1,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1427238000000,1634626800000,no,http://www.openspf.org/,
2,Comodo PositiveSSL,,Comodo Positive SSL certificate.,ssl,1458601200000,1462834800000,no,http://www.positivessl.com/ssl-certificate-positivessl.php,
3,Trustwave SSL,['Root Authority'],Certificate provided by Trustwave.,ssl,1467327600000,1475535600000,no,http://trustwave.com,
4,Adobe Business Catalyst,"['eCommerce Enabled', 'Enterprise', 'Hosted Solution']",Deliver powerful business websites and online stores to your clients with an all-in-one hosted solution,cms,1479855600000,1512342000000,yes,http://www.businesscatalyst.com/,
5,OpenResty,,Application server and framework system.,framework,1479855600000,1512342000000,no,http://openresty.org,
6,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1479855600000,1635490800000,no,http://jquery.com,jQuery
7,Modernizr 2.6,,Modernizr version 2.6.*,javascript,1479855600000,1634626800000,no,http://modernizr.com/news/modernizr-260/,Modernizr
8,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1479855600000,1634626800000,no,http://fontawesome.io,
9,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1479855600000,1634626800000,no,http://www.asp.net,
10,Amazon,"['Cloud Hosting', 'Cloud PaaS']",This site is hosted on Amazon AWS EC2 Infrastructure.,hosting,1479855600000,1512169200000,no,http://aws.amazon.com,
11,Nivo Slider,['Slider'],A polished JQuery Slider plugin.,javascript,1479855600000,1512342000000,no,http://nivo.dev7studios.com/,
12,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1479855600000,1635490800000,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
13,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1479855600000,1634626800000,no,http://www.modernizr.com,
14,Facebook Pixel,,Facebook Pixel is Facebooks conversion tracking system for ads on Facebook to websites.,analytics,1479855600000,1635490800000,no,https://www.facebook.com/business/help/952192354843755,
15,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1479855600000,1634626800000,no,https://fonts.google.com,
16,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1479855600000,1530399600000,no,http://youtube.com,
17,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1479855600000,1635490800000,no,http://developers.facebook.com/docs/reference/javascript/,
