,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,World4You,,World4You provides PHP services and is based in Austria.,hosting,1507158000000,1518735600000,no,http://world4you.com,
1,Google Analytics IP Anonymization,,The website doesn't report your IP address to Google Analytics.,analytics,1510095600000,1518735600000,no,http://support.google.com/analytics/bin/answer.py?hl=en&answer=2763052,
2,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1510095600000,1636444800000,no,http://jquery.com,jQuery
3,Silktide Cookie Consent,,"A free, open source solution to the EU cookie law. Now known as Cookie Consent by Insites.",widgets,1510095600000,1633935600000,no,http://silktide.com/cookieconsent,
4,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1510095600000,1636444800000,no,http://fontawesome.io,
5,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1510095600000,1636444800000,no,http://www.asp.net,
6,ASP.NET Ajax,,"ASP.NET AJAX is a free framework for quickly creating a new generation of more efficient, more interactive and highly-personalized Web experiences that work across all the most popular browsers.",framework,1510095600000,1636182000000,no,http://ajax.asp.net,
7,Microsoft Ajax Content Delivery Network,,The Microsoft Ajax Content Delivery Network hosts popular third party JavaScript libraries.,cdn,1510095600000,1518735600000,no,http://www.asp.net/ajaxlibrary/CDN.ashx,
8,ASP.NET 4.0,,ASP.NET version 4.0.*,framework,1510095600000,1636182000000,no,http://www.microsoft.com/net,ASP.NET
9,Apple Mobile Web Clips Icon,,"This page contains an icon for iPhone, iPad and iTouch devices.",mobile,1510095600000,1636444800000,no,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,
10,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1510095600000,1518735600000,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
11,jQuery CDN,,The jQuery Amazon S3 Content Delivery Network,cdn,1510095600000,1636444800000,no,http://blog.jquery.com/2008/11/19/cloudfront-cdn-for-jquery/,
12,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1510095600000,1636182000000,no,http://www.facebook.com/facebook-widgets/share.php,
13,IIS 8,,Internet-based services for servers using Microsoft Windows.,Web Server,1510095600000,1636444800000,no,http://www.iis.net,IIS
14,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1510095600000,1518735600000,no,http://developers.facebook.com/docs/reference/javascript/,
15,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1510095600000,1633935600000,no,http://google.com/analytics,
16,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1510095600000,1518735600000,no,http://developers.facebook.com/,
17,jQuery 3.2.1,,jQuery version 3.2.1,javascript,1510095600000,1636444800000,no,https://blog.jquery.com/2017/03/20/jquery-3-2-1-now-available/,jQuery
18,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1510095600000,1633935600000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
19,WhatsApp,,WhatsApp protocol links and SMS API.,widgets,1510095600000,1566774000000,no,https://www.whatsapp.com,
20,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1510095600000,1636444800000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
21,IIS,,This website is running on a Microsoft IIS Server solution.,Web Server,1510095600000,1636444800000,no,http://www.microsoft.com/servers/home.mspx,
22,Facebook Signal,,"Journalists use Signal to surface relevant trends, photos, videos and posts from Facebook and Instagram for use in their storytelling and reporting.",analytics,1510095600000,1518735600000,no,https://www.facebook.com/facebookmedia/get-started/signal,
23,CDN JS,,CloudFlare's CDN with popular javascript frameworks available.,cdn,1510095600000,1636444800000,no,http://cdnjs.com,
24,Fotolia,['Image Provider'],Images on this site may have been supplied by Fotolia.,widgets,1527894000000,1527894000000,no,http://fotolia.com,
25,IPhone / Mobile Compatible,,The website contains code that allows the page to support IPhone / Mobile Content.,mobile,1527894000000,1636444800000,no,http://apple.com,
26,DigiCert SSL,['Root Authority'],Certificate provided by DigiCert.,ssl,1527894000000,1636444800000,no,http://www.digicert.com/,
27,Telekom Austria,,Network infrastructure from Telekom Austria based in Austria.,hosting,1531436400000,1547766000000,no,http://telekomaustria.com,
28,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1538694000000,1636444800000,no,http://trends.builtwith.com/ssl,
29,Google Search Appliance,['Enterprise'],Google Search for Work system provides searching of internal business systems.,cms,1542927600000,1605427200000,yes,https://www.google.com.au/work/search/products/gsa.html,
30,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1542927600000,1636182000000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
31,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1542927600000,1556838000000,no,http://www.facebook.com,
32,Rocket Chat,['Live Chat'],Open Source Web Chat Platform,widgets,1542927600000,1636182000000,yes,http://rocket.chat,
33,LetsEncrypt,['Root Authority'],Let’s Encrypt is a free open Certificate Authority.,ssl,1546988400000,1561330800000,no,https://letsencrypt.org,
34,Cookie Consent by Osano,['Privacy Compliance'],Popular solution for the EU cookie law. Previously Insites Cookie Consent and Silktide Cookie Consent.,widgets,1548543600000,1636444800000,no,https://cookieconsent.osano.com,
35,Google Tag Manager,['Tag Management'],Tag management that lets you add and update website tags without changes to underlying website code.,widgets,1562886000000,1566774000000,no,http://google.com/tagmanager,
36,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1570921200000,1571353200000,no,http://youtube.com,
37,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1570921200000,1570921200000,no,http://www.doubleclick.com,
38,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1570921200000,1570921200000,no,https://google.com,
39,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1576710000000,1636444800000,no,https://fonts.google.com,
40,COVID-19,,This website mentions COVID-19 / Novel Coronavirus.,widgets,1585522800000,1614931200000,no,https://www.who.int/emergencies/diseases/novel-coronavirus-2019,
