,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery 1.3.2,,jQuery version 1.3.2,javascript,1385679600000,1432118240138,no,http://blog.jquery.com/2009/02/20/jquery-1-3-2-released/,jQuery
1,comScore,"['Advertiser Tracking', 'Audience Measurement', 'Conversion Optimization', 'Site Optimization', 'Visitor Count Tracking']",Market research company that studies internet trends and behavior.,analytics,1385679600000,1453330800000,no,http://www.comscore.com,
2,jQuery Flash,['jQuery Plugin'],A jQuery plugin for embedding Flash movies.,javascript,1384297200000,1529362800000,no,http://jquery.lukelutman.com/plugins/flash/,jQuery
3,jQuery Tooltip,,jQuery Tooltip plugin let's you transform native tooltips into customizable overlays.,javascript,1384297200000,1529362800000,no,http://bassistance.de/jquery-plugins/jquery-plugin-tooltip/,jQuery
4,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1380236400000,1442444400000,no,http://akamai.com,
5,WebFont Loader,,"WebFont Loader gives you added control when using linked fonts via @font-face, from Typekit.",javascript,1380236400000,1627369200000,no,https://github.com/typekit/webfontloader,
6,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1380236400000,1604041200000,no,https://google.com,
7,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1380236400000,1627369200000,no,http://www.facebook.com,
8,WP PageNavi,['WordPress Plugins'],Replaces older and newer page links with different ones.,widgets,1379631600000,1382655600000,no,http://wordpress.org/plugins/wp-pagenavi,
9,FlexSlider,"['jQuery Plugin', 'Slider']",jQuery Slider toolkit from Woothemes.,javascript,1379631600000,1636268400000,no,http://www.woothemes.com/flexslider,
10,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1379026800000,1636268400000,no,http://google.com/analytics,
11,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1378422000000,1636268400000,no,https://fonts.google.com,
12,Google Maps API,,Google Maps has a wide array of APIs that let you embed the functionality of Google Maps.,mapping,1378422000000,1382655600000,no,https://developers.google.com/maps/,
13,jQuery Easing,"['Animation', 'jQuery Plugin']","A jQuery extension that provides functionality to ""ease"" things onto or off of the screen.",javascript,1377817200000,1382655600000,no,http://gsgd.co.uk/sandbox/jquery/easing/,jQuery
14,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1377817200000,1382655600000,no,http://jquery.malsup.com/cycle/,jQuery
15,Really Simple Discovery,,"Really Simple Discovery is a way to help client software find the services needed to read, edit, or ""work with"" weblogging software.",feeds,1377817200000,1382655600000,no,http://cyber.law.harvard.edu/blogs/gems/tech/rsd.html,
16,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1377817200000,1633158000000,no,http://fancybox.net/,
17,CentOS,,CentOS is an Enterprise-class Linux Distribution derived from sources freely provided to the public by a prominent North American Enterprise Linux vendor.  CentOS conforms fully with the upstream vendors redistribution policy and aims to be 100% binary compatible.,Server,1377817200000,1382655600000,no,http://centos.org,
18,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1377817200000,1453900257667,no,http://developers.facebook.com/docs/reference/plugins/like-box,
19,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1377817200000,1388957967406,no,http://www.modernizr.com,
20,Live Writer Support,,Windows Live Writer Tagging Support Schema,feeds,1377817200000,1382655600000,no,http://windowslivewriter.spaces.live.com,
21,Wordpress Plugins,,Plugins are tools to extend the functionality of WordPress. The website uses various plugins from WordPress to provide additional functionality. Some of them may be listed here.,widgets,1377817200000,1382655600000,no,http://codex.wordpress.org/Plugins,
22,jQuery Form,['jQuery Plugin'],jQuery Form Plugin allows you to easily and unobtrusively upgrade HTML forms to use AJAX.,javascript,1377817200000,1382655600000,no,http://jquery.malsup.com/form/,jQuery
23,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1377817200000,1636268400000,no,http://developers.facebook.com/docs/reference/javascript/,
24,ie7-js,,IE7 is a JavaScript library to make Microsoft Internet Explorer behave like a standards-compliant browser.,javascript,1377817200000,1382655600000,no,http://code.google.com/p/ie7-js/,
