,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1384470000000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
1,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1384470000000,1626159600000,no,http://twitter.com,
2,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1380841200000,1633244400000,no,http://twitter.com/settings/widgets,
3,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1380841200000,1633244400000,no,http://twitter.com/about/resources,
4,EuropeanSSL Wildcard,['Wildcard'],Wildcard SSL domain from EuropeanSSL.,ssl,1372806000000,1420671600000,no,http://secure.europeanssl.eu/,
5,Google FeedProxy,,"RSS Aggregation stats from Google, previously Feedburner.",feeds,1371682800000,1478646000000,no,http://feedburner.com,
6,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1367676000000,1636268400000,no,http://www.google.com/webmasters/,
7,Matomo,"['Audience Measurement', 'Conversion Optimization', 'Site Optimization']","Matomo is an open source web analytics software. It gives interesting reports on your website visitors, your popular pages, the search engines keywords they used, the language they speak and so much more. Previously known as Piwik Web Analytics.",analytics,1363698000000,1636268400000,no,http://matomo.org,
8,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1359637200000,1427238000000,no,http://developers.facebook.com/docs/reference/plugins/like,
9,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1354798800000,1636268400000,no,https://fonts.google.com,
10,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1286229600000,1636268400000,no,http://youtube.com,
11,Flickr Slideshow,,Adds a Flickr slideshow to The website,widgets,1330779600000,1330779600000,no,http://flickr.com,
12,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1256335200000,1587942000000,no,http://www.macromedia.com/software/flash/about/,
13,TYPO3,"['Community CMS', 'Enterprise', 'Open Source']",TYPO3 Content Management Framework for enterprise purposes on the web and in intranets written in PHP.,cms,1129154400000,1547766000000,no,http://www.typo3.org,
14,MooTools,['JavaScript Library'],"MooTools is a compact, modular, Object-Oriented JavaScript framework designed for the intermediate to advanced JavaScript developer. It allows you to write powerful, flexible and cross-browser code with its elegant, well documented and coherent API.",javascript,1256335200000,1351774800000,no,http://mootools.net/,
15,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1129154400000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
16,Shadowbox,,Shadowbox is an online media viewer application that supports all of the web's most popular media publishing formats. ,javascript,1320584400000,1320584400000,no,http://www.shadowbox-js.com,
17,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1320584400000,1633158000000,no,http://www.php.net,
18,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1320584400000,1636268400000,no,http://httpd.apache.org/,
19,Silver Server,,Network infrastructure from Silver Server based in Austria.,hosting,1345730400000,1523228400000,no,http://sil.at,
20,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1390518000000,1636268400000,no,http://jquery.com,jQuery
21,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1417820400000,1636268400000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
22,GoDaddy SSL,['Root Authority'],Certificate provided by GoDaddy.,ssl,1421276400000,1546815600000,no,http://godaddy.com,
23,Apache 2.4,,Apache version 2.4.*,Web Server,1427238000000,1636268400000,no,http://httpd.apache.org/docs/2.4,Apache
24,Debian,,Debian is a free operating system (OS) for your computer.,Server,1427238000000,1626764400000,no,http://www.debian.org,
25,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1429138800000,1636268400000,no,http://trends.builtwith.com/ssl,
26,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1434927600000,1636268400000,no,http://www.openspf.org/,
27,Euro,['Currency'],The website uses the € symbol on its website - meaning it may accept payment in Euros.,payment,1129154400000,1636268400000,no,https://en.wikipedia.org/wiki/Euro,
28,Microsoft Exchange Online,['Business Email Hosting'],A rich hosted Exchange environment for every user without having to manage a server.,mx,1462834800000,1636268400000,no,http://www.microsoft.com/exchange/en-us/exchange-online-hosted-email.aspx,
29,Office 365 Mail,['Business Email Hosting'],Email sent from this domain has records showing Office 365 usage.,mx,1462834800000,1636268400000,no,https://products.office.com/en-us/business/office,
30,TELE2,['Swedish hosting'],Network infrastructure from TELE2 based in Sweden.,hosting,1467241200000,1496271600000,no,http://tele2.com,
31,MSN/Bing Webmaster,,Site registered at MSN/Bing Webmaster.,Web Master,1473462000000,1636268400000,no,http://webmaster.live.com,
