,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery 1.5.2,,jQuery version 1.5.2,javascript,1385679600000,1515625200000,no,http://blog.jquery.com/2011/03/31/jquery-152-released/,jQuery
1,Videology,,Video advertising technology that works across all video screens to connect brands with those consumers they most want to reach. Previously known as TidalTV.,ads,1382655600000,1382655600000,no,http://www.videologygroup.com,
2,AOL-Time Warner Online Advertising,,The website uses AOL-Time Warner Advertising Network,ads,1382050800000,1382655600000,no,http://aol.com,
3,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1382050800000,1387494000000,no,http://www.appnexus.com/,
4,BlueKai,['Ad Exchange'],The BlueKai Data Exchange enables partners to buy and own data to boost ad targeting across any media.,ads,1382050800000,1387494000000,no,http://bluekai.com,
5,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1382050800000,1625468400000,no,http://www.doubleclick.com,
6,Atlas,"['Ad Analytics', 'Ad Server', 'Digital Video Ads', 'Search']","High end provider of advertising solutions, using by 9 of the top 10 global brands and 7 of the top 10 global advertisement agencies. Owned by the Microsoft Corporation.",ads,1382050800000,1386284400000,no,http://www.atlassolutions.com/,
7,MediaMath,['Advertiser Tracking'],Tools that enable and empower marketing professionals.,analytics,1382050800000,1387494000000,no,http://mediamath.com,
8,Resonate Insights,,Resonate Insights drives media plans that ensure messages reach the right people at the right time,ads,1382050800000,1386889200000,no,http://www.resonateinsights.com/,
9,Invite Media,['Advertiser Tracking'],"Automatically buy from multiple ad exchanges in real-time, all through the same interface.",analytics,1382050800000,1382655600000,no,http://invitemedia.com,
10,Datalogix,"['Advertiser Tracking', 'Conversion Optimization']",Leverages the power of purchase-based audience targeting to drive measurable online and offline sales,analytics,1380841200000,1382655600000,no,http://datalogix.com,
11,Lotame Crowd Control,,Data driven marketing advertising program provides social media sites with advance targeting,analytics,1380841200000,1382655600000,no,http://lotame.com,
12,Chango,,Reader friendly ad network,ads,1380841200000,1380841200000,no,http://chango.com,
13,DemDex,"['Audience Targeting', 'Multi-Channel']","Demdex's turn-key audience management solutions make implementing a dynamic, multi-channel data strategy cost-effective and easy. Now known as Adobe Audience Manager.",ads,1380841200000,1382655600000,no,http://www.demdex.com/,
14,comScore,"['Advertiser Tracking', 'Audience Measurement', 'Conversion Optimization', 'Site Optimization', 'Visitor Count Tracking']",Market research company that studies internet trends and behavior.,analytics,1380841200000,1387494000000,no,http://www.comscore.com,
15,Acxiom,['Advertiser Tracking'],Technology and marketing services that enable marketers to manage audiences.,analytics,1380841200000,1382655600000,no,http://acxiom.com/,
16,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1379631600000,1635922800000,no,http://plugins.jquery.com/once/,jQuery
17,Openminds,,Network infrastructure from Openminds based in Belgium.,hosting,1368021600000,1454972400000,no,http://openminds.be,
18,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1364302800000,1635922800000,no,http://twitter.com/settings/widgets,
19,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1360069200000,1606032000000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
20,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1324213200000,1531436400000,no,http://twitter.com,
21,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1359637200000,1635922800000,no,http://twitter.com/about/resources,
