,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1385074800000,1427760000000,no,http://developers.facebook.com/docs/reference/plugins/like,
1,Microsoft Exchange Online,['Business Email Hosting'],A rich hosted Exchange environment for every user without having to manage a server.,mx,1381446000000,1636444800000,no,http://www.microsoft.com/exchange/en-us/exchange-online-hosted-email.aspx,
2,jQuery pngfix,"['Compatibility', 'jQuery Plugin']",This plugin will fix the missing PNG-Transparency in Windows Internet Explorer 5.5 & 6.,javascript,1379631600000,1472425200000,no,http://jquery.andreaseberhard.de/pngFix/,jQuery
3,Comodo SSL Wildcard,['Wildcard'],Comodo wildcard SSL certificate.,ssl,1372806000000,1422658800000,no,http://comodosslstore.com/sgc-wildcard-ssl.aspx,Comodo SSL
4,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1372806000000,1531436400000,no,http://comodo.com,
5,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1365080400000,1634540400000,no,http://www.google.com/webmasters/,
6,SimpleModal,,SimpleModal is a lightweight jQuery Plugin which provides a powerful interface for modal dialog development.,javascript,1356958800000,1356958800000,no,http://www.ericmmartin.com/projects/simplemodal/,
7,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1348668000000,1447196400000,no,http://www.macromedia.com/software/flash/about/,
8,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1320584400000,1636444800000,no,http://jquery.com,jQuery
9,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1320584400000,1636444800000,no,http://www.drupal.org,
10,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1320584400000,1472425200000,no,http://www.huddletogether.com/projects/lightbox/,
11,PNG Fix,['Compatibility'],Fixes PNG handling in IE,javascript,1320584400000,1472425200000,no,http://homepage.ntlworld.com/bobosola/pnghowto.htm,
12,cufón,,sIFR replacement cufon with simpler and easier to use functionality. Shows fonts in a nice format.,javascript,1320584400000,1472425200000,no,http://wiki.github.com/sorccu/cufon/about,
13,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1320584400000,1472425200000,no,http://jquery.malsup.com/cycle/,jQuery
14,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1320584400000,1472425200000,no,http://blog.deconcept.com/swfobject/,
15,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1320584400000,1634022000000,no,http://youtube.com,
16,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1320584400000,1636268400000,no,http://google.com/analytics,
17,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1320584400000,1580166000000,no,http://httpd.apache.org/,
