,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,TYPO3,"['Community CMS', 'Enterprise', 'Open Source']",TYPO3 Content Management Framework for enterprise purposes on the web and in intranets written in PHP.,cms,1458169200000,1462489200000,no,http://www.typo3.org,
1,jQuery QTip,,qTip is an advanced tooltip plugin for the ever popular jQuery JavaScript framework.,javascript,1458169200000,1462489200000,no,http://craigsworks.com/projects/qtip/,jQuery
2,MailJet,['Transactional Email'],Mailjet is a real-time Cloud Emailing platform.,mx,1458169200000,1521586800000,yes,http://www.mailjet.com/,
3,Facebook Domain Insights,['Social Management'],This website contains tracking information that allows admins to see Facebook Insights out of Facebook to this domain.,analytics,1458169200000,1462143600000,no,http://www.facebook.com/insights/,
4,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1458169200000,1636444800000,no,http://jquery.com,jQuery
5,Dublin Core,,The website contains dublin core meta data extensions.,feeds,1458169200000,1462143600000,no,http://dublincore.org,
6,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1458169200000,1462143600000,no,http://developers.facebook.com/docs/reference/plugins/like/,
7,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1458169200000,1490310000000,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
8,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1458169200000,1636444800000,no,http://jqueryui.com/,jQuery
9,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1458169200000,1635231600000,no,https://twitter.com/about/resources/buttons#tweet,
10,OVH SSL,,SSL certificates from French based network provider OVH,ssl,1458169200000,1521586800000,no,http://ovh.us,
11,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1458169200000,1636444800000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
12,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1458169200000,1636444800000,no,http://www.openspf.org/,
13,OVH DNS,,DNS services provided by OVH.,ns,1458169200000,1636444800000,no,http://ovh.net,
14,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1458169200000,1636444800000,no,https://fonts.google.com,
