,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Kentico Xperience,['Enterprise'],"Kentico CMS for ASP.NET gives marketers and developers the ability to create websites. A solution for website, store, community and on-line marketing initiatives.",cms,1326009600000,1517526000000,yes,https://xperience.io,
1,Smart App Banner,['Mobile'],"Displays a banner that provides a direct link to an Apple Store app, or opens the app if the user already has it installed.",widgets,1412665200000,1510009200000,no,https://developer.apple.com/news/index.php?id=10082012b,
2,touchSwipe,"['Compatibility', 'jQuery Plugin']","TouchSwipe is a jquery plugin to be used with jQuery on touch input devices such as iPad, iPhone etc.",javascript,1388649600000,1510009200000,no,https://github.com/mattbryson/TouchSwipe-Jquery-Plugin,
3,jQuery Easing,"['Animation', 'jQuery Plugin']","A jQuery extension that provides functionality to ""ease"" things onto or off of the screen.",javascript,1388649600000,1510009200000,no,http://gsgd.co.uk/sandbox/jquery/easing/,jQuery
4,Swipe JS,,Swipe is a lightweight mobile slider with 1:1 touch movement.,javascript,1388649600000,1510009200000,no,http://swipejs.com/,
5,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1326009600000,1636444800000,no,http://jquery.com,jQuery
6,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1458169200000,1636444800000,no,http://www.asp.net,
7,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1388649600000,1510009200000,no,http://developers.facebook.com/docs/reference/plugins/like/,
8,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1326009600000,1510009200000,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
9,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1388649600000,1636268400000,no,http://jqueryui.com/,jQuery
10,jQuery NoConflict,['jQuery Plugin'],Return control of $ back to the other libraries with a call to $.noConflict().,javascript,1388649600000,1510009200000,no,http://api.jquery.com/jQuery.noConflict/,jQuery
11,ASP.NET Ajax,,"ASP.NET AJAX is a free framework for quickly creating a new generation of more efficient, more interactive and highly-personalized Web experiences that work across all the most popular browsers.",framework,1326009600000,1517526000000,no,http://ajax.asp.net,
12,Mobile Non Scaleable Content,,"This content is formatted for mobile devices, it does not allow the content to be scaled.",mobile,1388649600000,1510009200000,no,http://developer.apple.com/library/safari/#documentation/appleapplications/reference/SafariHTMLRef/Articles/MetaTags.html,
13,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1388649600000,1510009200000,no,https://twitter.com/about/resources/buttons#tweet,
14,ASP.NET 4.0,,ASP.NET version 4.0.*,framework,1458169200000,1636444800000,no,http://www.microsoft.com/net,ASP.NET
15,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1326009600000,1510009200000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
16,jQuery 1.7.1,,jQuery version 1.7.1,javascript,1388649600000,1510009200000,no,http://blog.jquery.com/2011/11/21/jquery-1-7-1-released/,jQuery
17,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1458169200000,1636444800000,no,http://www.openspf.org/,
18,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1388649600000,1510009200000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
19,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1388649600000,1623567600000,no,http://www.modernizr.com,
20,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1388649600000,1510009200000,no,http://twitter.com/about/resources,
21,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1388649600000,1636444800000,no,http://developers.facebook.com/docs/reference/javascript/,
22,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1326009600000,1636444800000,no,http://google.com/analytics,
