,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Apache 2.2,,Apache version 2.2.*,Web Server,1385679600000,1413154800000,no,http://httpd.apache.org/docs/2.2,Apache
1,jQuery 1.8.3,,jQuery version 1.8.3,javascript,1385679600000,1418079600000,no,http://blog.jquery.com/2012/11/13/jquery-1-8-3-released/,jQuery
2,jQuery NoConflict,['jQuery Plugin'],Return control of $ back to the other libraries with a call to $.noConflict().,javascript,1379631600000,1436918400000,no,http://api.jquery.com/jQuery.noConflict/,jQuery
3,Zendesk,,"Organize, prioritize and engage with others on support requests.",mx,1373497200000,1636268400000,yes,http://www.zendesk.com/,
4,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1343570400000,1636182000000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
5,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1343570400000,1348668000000,no,https://twitter.com/about/resources/buttons#tweet,
6,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1355490000000,1442444400000,no,http://akamai.com,
7,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1355490000000,1498604400000,no,http://www.facebook.com,
8,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1355490000000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
9,Optimizely,"['A/B Testing', 'Site Optimization', 'Conversion Optimization', 'Personalization']",Optimizely empowers companies to deliver more relevant and effective digital experiences on websites and mobile through A/B testing and personalization.,analytics,1359637200000,1436918400000,yes,http://www.optimizely.com,
10,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1359637200000,1418079600000,no,https://github.com/carhartl/jquery-cookie,jQuery
11,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1359637200000,1636268400000,no,http://www.modernizr.com,
12,Google Website Optimizer,['A/B Testing'],Website Optimizer is a tool that can help you improve the effectiveness of your website in getting a return on your investment. Page may contain A/B testing.,analytics,1341496800000,1351774800000,no,http://google.com/websiteoptimizer,
13,Pingback Support,,"A Pingback is one of three types of Linkbacks, methods for Web authors to request notification when somebody links to one of their documents.",feeds,1341496800000,1604617200000,no,http://en.wikipedia.org/wiki/Pingback,
14,Wordpress Plugins,,Plugins are tools to extend the functionality of WordPress. The website uses various plugins from WordPress to provide additional functionality. Some of them may be listed here.,widgets,1341496800000,1636268400000,no,http://codex.wordpress.org/Plugins,
15,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1341496800000,1436918400000,no,http://fancybox.net/,
16,WordPress,"['Open Source', 'Blog']","WordPress is a state-of-the-art semantic personal publishing platform with a focus on aesthetics, web standards, and usability.",cms,1341496800000,1636268400000,no,http://wordpress.org,
17,jQuery Mousewheel,['jQuery Plugin'],Adds mouse wheel support to the web site.,javascript,1341496800000,1436918400000,no,http://plugins.jquery.com/project/mousewheel,jQuery
18,jQuery Colorbox,['jQuery Plugin'],"A light-weight, customizable lightbox plugin for jQuery.",javascript,1341496800000,1436918400000,no,http://colorpowered.com/colorbox/,jQuery
19,Really Simple Discovery,,"Really Simple Discovery is a way to help client software find the services needed to read, edit, or ""work with"" weblogging software.",feeds,1341496800000,1636182000000,no,http://cyber.law.harvard.edu/blogs/gems/tech/rsd.html,
20,Live Writer Support,,Windows Live Writer Tagging Support Schema,feeds,1341496800000,1636182000000,no,http://windowslivewriter.spaces.live.com,
21,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1341496800000,1494025200000,no,http://twitter.com/about/resources,
