,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,HTML5 DocType,,The DOCTYPE is a required preamble for HTML5 websites.,docinfo,1636515089623,1636515089623,no,https://www.w3.org/TR/html51/,
1,XHTML Vocabulary,,A vocabulary collection utilized by XHTML Family modules and document types using XHTML Modularization.,docinfo,1636515089623,1636515089623,no,http://www.w3.org/1999/xhtml/vocab/,
2,UTF-8,,UTF-8 (8-bit UCS/Unicode Transformation Format) is a variable-length character encoding for Unicode. It is the preferred encoding for web pages.,encoding,1636515089623,1636515089623,no,http://en.wikipedia.org/wiki/UTF-8,
3,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1636515089623,1636515089623,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
4,IPhone / Mobile Compatible,,The website contains code that allows the page to support IPhone / Mobile Content.,mobile,1636515089623,1636515089623,no,http://apple.com,
5,Open Graph Protocol,,"The Open Graph protocol enables any web page to become a rich object in a social graph, a open protocol supported by Facebook",docinfo,1636515089623,1636515089623,no,http://opengraphprotocol.org/,
6,Facebook Pixel,,Facebook Pixel is Facebooks conversion tracking system for ads on Facebook to websites.,analytics,1636515089623,1636515089623,no,https://www.facebook.com/business/help/952192354843755,
7,Javascript,,JavaScript is a scripting language most often used for client-side web development.,docinfo,1636515089623,1636515089623,no,http://en.wikipedia.org/wiki/JavaScript,
8,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1636515089623,1636515089623,no,http://developers.facebook.com/,
9,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1636515089623,1636515089623,no,http://developers.facebook.com/docs/reference/javascript/,
10,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1636515089623,1636515089623,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
11,Facebook Conversion Tracking,['Conversion Optimization'],"Conversion tracking functionality from Facebook, allows a user to track advertisement clicks.",analytics,1636515089623,1636515089623,no,http://www.facebook.com/help/?page=994,
12,Meta Description,,The description attribute provides a concise explanation of the page content.,docinfo,1636515089623,1636515089623,no,http://en.wikipedia.org/wiki/Meta_tag#The_description_attribute,
13,SEO_META_DESCRIPTION,,SEO Meta Description,seo_meta,1636515089623,1636515089623,no,http://builtwith.com,
14,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1636515089623,1636515089623,no,http://www.drupal.org,
15,Canonical Content Tag,,Public specification of a preferred URL for a page allows search engines to understand the original location for content.,docinfo,1636515089623,1636515089623,no,http://googlewebmastercentral.blogspot.com/2009/02/specify-your-canonical.html,
16,SEO_TITLE,,SEO Title,seo_title,1636515089623,1636515089623,no,,
17,Cascading Style Sheets,,Cascading Style Sheets (CSS) is a stylesheet language used to describe the presentation of a document written in a markup language. Its most common application is to style web pages written in HTML ,docinfo,1636515089623,1636515089623,no,http://en.wikipedia.org/wiki/Cascading_Style_Sheets,
18,Conditional Comments,,The website uses conditional comments that are supported by Microsoft Internet Explorer. They allow web developers to show or hide HTML code based on the version of the viewer's browser.,docinfo,1636515089623,1636515089623,no,http://www.quirksmode.org/css/condcom.html,
19,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1636515089623,1636515089623,no,https://github.com/afarkas/html5shiv,
20,Respond,['Compatibility'],"A fast & lightweight polyfill for min/max-width CSS3 Media Queries (for IE 6-8, and more)",javascript,1636515089623,1636515089623,no,https://github.com/scottjehl/Respond,
21,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1636515089623,1636515089623,no,http://google.com/analytics,
22,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1636515089623,1636515089623,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
23,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1636515089623,1636515089623,no,http://jquery.com,jQuery
24,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1636515089623,1636515089623,no,http://plugins.jquery.com/once/,jQuery
25,jQuery Countdown,['jQuery Plugin'],A jQuery plugin that sets a div or span to show a countdown to a given time.,javascript,1636515089623,1636515089623,no,http://keith-wood.name/countdown.html,jQuery
26,imagesLoaded,,jQuery plugin for seeing if the images are loaded.,javascript,1636515089623,1636515089623,no,https://github.com/desandro/imagesloaded,
