,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery 1.8.3,,jQuery version 1.8.3,javascript,1385679600000,1429743600000,no,http://blog.jquery.com/2012/11/13/jquery-1-8-3-released/,jQuery
1,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1383865200000,1531436400000,no,http://code.google.com/apis/ajaxlibs/documentation/,
2,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1379631600000,1523228400000,no,http://plugins.jquery.com/once/,jQuery
3,Fonts.com,['Fonts'],Uses web fonts from fonts.com.,widgets,1377817200000,1635231600000,no,http://www.fonts.com,
4,WebNames DNS,,Canadian based DNS registrar and hosting solution provider.,ns,1346972400000,1435186800000,no,http://webnames.ca,
5,Facebook Domain Insights,['Social Management'],This website contains tracking information that allows admins to see Facebook Insights out of Facebook to this domain.,analytics,1369922400000,1636444800000,no,http://www.facebook.com/insights/,
6,Google Plus One Button,,Google+ +1 Button implementation.,widgets,1369922400000,1458601200000,no,https://developers.google.com/+/plugins/+1button/,
7,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1369922400000,1636268400000,no,http://www.facebook.com/facebook-widgets/share.php,
8,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1369922400000,1636444800000,no,http://developers.facebook.com/docs/reference/javascript/,
9,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1369922400000,1636444800000,no,http://developers.facebook.com/,
10,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1367676000000,1636444800000,no,http://nginx.net/,
11,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1346940000000,1531436400000,no,http://twitter.com,
12,Parallels Plesk Panel,,"Host and manage websites and servers at any scale, includes virtualization software.",Server,1336744800000,1509145200000,no,http://www.parallels.com/products/plesk/,
13,SuperFish Menu,,Superfish is an enhanced Suckerfish-style menu jQuery plugin that takes an existing pure CSS drop-down menus and adds much-sought-after enhancements.,javascript,1324213200000,1328360400000,no,http://users.tpg.com.au/j_birch/plugins/superfish/,
