,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,IIS 8,,Internet-based services for servers using Microsoft Windows.,Web Server,1373929200000,1459378800000,no,http://www.iis.net,IIS
1,Wufoo,['Feedback Forms and Surveys'],Wufoo strives to be the easiest way to collect information over the Internet.,widgets,1369922400000,1442876400000,no,http://wufoo.com,
2,Google JS Api,,Use the Google Loader API. Also see Google API for more generic calls to Google.,javascript,1363698000000,1506380400000,no,https://developers.google.com/loader/,
3,Google API,,The website uses some form of Google APIs to provide interaction with the many API's Google Providers.,javascript,1363698000000,1506380400000,no,http://code.google.com,
4,Google Custom Search,['Site Search'],"Have a website or collection of sites you'd like to search over? With Custom Search Engine, you can harness the power of Google to create a search engine tailored to your needs.",widgets,1362056400000,1547679600000,no,http://google.com/coop/cse/,
5,Yield Manager,,Right Media owned by Yahoo. Operates one of the world's largest digital advertising exchanges.,ads,1357477200000,1386284400000,no,http://yieldmanager.com,
6,Yahoo Publisher Network,,Yahoo! Publisher Network offers easy ways to make money online. Publishers of all sizes have access to products and services designed to earn money.,ads,1357477200000,1385074800000,no,http://publisher.yahoo.com,
7,Google Adsense,['Contextual Advertising'],A contextual advertising solution for delivering Google AdWords ads that are relevant to site content pages.,ads,1357477200000,1454540400000,no,http://google.com/adsense,
8,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1357477200000,1636268400000,no,http://www.doubleclick.com,
9,Dublin Core,,The website contains dublin core meta data extensions.,feeds,1299193200000,1547679600000,no,http://dublincore.org,
10,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1325854800000,1636268400000,no,http://jquery.com,jQuery
11,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1325854800000,1636268400000,no,http://jquery.malsup.com/cycle/,jQuery
12,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1325854800000,1547679600000,no,http://fancybox.net/,
13,Advantage Media Denmark,,Dutch based advertising solutions provider.,ads,1317679200000,1507158000000,no,http://advantagemedia.dk/,
14,IIS,,This website is running on a Microsoft IIS Server solution.,Web Server,1325854800000,1459378800000,no,http://www.microsoft.com/servers/home.mspx,
15,IIS 6,,Internet-based service for servers using Microsoft Windows. It is the world's second most popular web server in terms of overall websites.,Web Server,1325854800000,1371942000000,no,http://www.iis.net,IIS
16,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1325854800000,1547679600000,no,http://www.asp.net,
17,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1400454000000,1636095600000,no,http://youtube.com,
18,Yahoo Small Business,,Yahoo advertising network and search engine marketing solutions.,ads,1402873200000,1448492400000,no,http://sem.smallbusiness.yahoo.com/searchenginemarketing/,
