,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,NetGroup,,Network infrastructure from NetGroup based in Denmark.,hosting,1467241200000,1467241200000,no,http://netgroup.dk,
1,Incapsula,['US hosting'],Security performance and CDN optimizer tools,hosting,1479250800000,1623826800000,no,http://incapsula.com,
2,Angular JS,,Angular is what HTML would have been if it had been designed for building web applications.,javascript,1481670000000,1635490800000,no,http://www.angularjs.org,
3,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1481670000000,1636444800000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
4,Mobile Non Scaleable Content,,"This content is formatted for mobile devices, it does not allow the content to be scaled.",mobile,1481670000000,1635490800000,no,http://developer.apple.com/library/safari/#documentation/appleapplications/reference/SafariHTMLRef/Articles/MetaTags.html,
5,Apple Mobile Web Clips Icon,,"This page contains an icon for iPhone, iPad and iTouch devices.",mobile,1481670000000,1635490800000,no,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,
6,Facebook Pixel,,Facebook Pixel is Facebooks conversion tracking system for ads on Facebook to websites.,analytics,1481670000000,1512687600000,no,https://www.facebook.com/business/help/952192354843755,
7,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1481670000000,1635490800000,no,http://developers.facebook.com/,
8,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1481670000000,1635490800000,no,http://developers.facebook.com/docs/reference/javascript/,
9,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1481670000000,1556146800000,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
10,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1481670000000,1622617200000,no,http://youtube.com,
11,MailChimp,['Feedback Forms and Surveys'],MailChimp is a widely used Mailng List delivery and support service.,widgets,1481670000000,1635490800000,maybe,http://www.mailchimp.com,
12,Twitter Follow Button,,Follow Button to your website to increase engagement and create a lasting connection with your audience.,widgets,1481670000000,1635490800000,no,https://twitter.com/about/resources/buttons#follow,
13,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1481670000000,1635490800000,no,http://twitter.com/about/resources,
14,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1481670000000,1635490800000,no,http://twitter.com/settings/widgets,
15,Umbraco,['Open Source'],Open source CMS based on Microsoft's ASP.NET,cms,1481670000000,1615536000000,yes,http://umbraco.org/,
16,AddThis,"['Social Sharing', 'Bookmarking']",Widgets that allow visitors to save and promote the site.,widgets,1481670000000,1508281200000,no,http://addthis.com,
17,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1159912800000,1636268400000,no,http://google.com/analytics,
