,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Microsoft Exchange Online,['Business Email Hosting'],A rich hosted Exchange environment for every user without having to manage a server.,mx,1458514800000,1636444800000,no,http://www.microsoft.com/exchange/en-us/exchange-online-hosted-email.aspx,
1,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1461193200000,1636268400000,no,http://jquery.com,jQuery
2,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1461193200000,1636444800000,no,http://fontawesome.io,
3,VideoJS,['Video Players'],"VideoJS is an HTML5 Video Player, built with Javascript and CSS, with a fallback to a Flash video player for when the browser doesn't support HTML5 video. Owned by Brightcove.",media,1461193200000,1488322800000,no,http://videojs.com,
4,lodash,['JavaScript Library'],Lo-dash is an alternative and a drop-in replacement for Underscore.js.,javascript,1461193200000,1636268400000,no,http://lodash.com/,
5,Google Hosted Libraries,,"Google Hosted Libraries is a globally available content distribution network for the most popular, open-source JavaScript libraries.",javascript,1461193200000,1580684400000,no,https://developers.google.com/speed/libraries/,
6,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1461193200000,1636444800000,no,http://www.openspf.org/,
7,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1461193200000,1599634800000,no,http://nginx.net/,
8,Apple Mobile Web Clips Icon,,"This page contains an icon for iPhone, iPad and iTouch devices.",mobile,1461193200000,1636444800000,no,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,
9,reCAPTCHA,['CAPTCHA'],Anti-bot CAPTCHA widget from Google.,widgets,1461193200000,1636268400000,no,https://www.google.com/recaptcha/intro/index.html,
10,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1461193200000,1624690800000,no,http://youtube.com,
11,jQuery Validate,['jQuery Plugin'],JQuery Form Validation Plugin.,javascript,1461193200000,1485990000000,no,http://jqueryvalidation.org,jQuery
12,Office 365 Mail,['Business Email Hosting'],Email sent from this domain has records showing Office 365 usage.,mx,1461193200000,1636444800000,no,https://products.office.com/en-us/business/office,
13,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1461193200000,1636444800000,no,http://trends.builtwith.com/ssl,
14,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1461193200000,1636268400000,no,http://google.com/analytics,
