,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1433309471844,1551567600000,no,http://newrelic.com/,
1,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1433309471844,1636268400000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
2,Ruby on Rails Token,,Ruby on Rails is an open-source web framework that is optimized for programmer happiness and sustainable productivity. Note that Ruby on Rails has two detection techniques and this is one of them.,framework,1433309471844,1543791600000,no,http://www.rubyonrails.org/,
3,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1433309471844,1573426800000,no,http://aws.amazon.com/cloudfront/,
4,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1433309471844,1573426800000,no,http://code.google.com/apis/ajaxlibs/documentation/,
5,Google Hosted Libraries,,"Google Hosted Libraries is a globally available content distribution network for the most popular, open-source JavaScript libraries.",javascript,1433309471844,1573426800000,no,https://developers.google.com/speed/libraries/,
6,Google Hosted jQuery UI,,jQuery UI hosted at Google.,javascript,1433309471844,1543791600000,no,https://developers.google.com/speed/libraries/,Google Hosted Libraries
7,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1433309471844,1636268400000,no,http://jquery.com,jQuery
8,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1433309471844,1611648000000,no,http://jqueryui.com/,jQuery
9,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1433309471844,1635058800000,no,http://twitter.com/about/resources,
10,Google API,,The website uses some form of Google APIs to provide interaction with the many API's Google Providers.,javascript,1433309471844,1543791600000,no,http://code.google.com,
11,Google Plus One Platform,,Google+ API functionality.,widgets,1433309471844,1543791600000,no,https://developers.google.com/+/,
12,Typekit,,Typekit is the easiest way to use real fonts on the web. It's a subscription-based service for linking to high-quality Open Type fonts from some of the world's best type foundries.,widgets,1433309471844,1470265200000,no,http://typekit.com,
13,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1433309471844,1636268400000,no,http://google.com/analytics,
14,Quantcast Measurement,"['Audience Measurement', 'Mobile']",Provides Quantcast with tracking information about your site which anyone can access and view demographic information.,analytics,1433309471844,1525129200000,no,http://www.quantcast.com,
15,Angular JS,,Angular is what HTML would have been if it had been designed for building web applications.,javascript,1433309471844,1543791600000,no,http://www.angularjs.org,
16,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1433309471844,1594854000000,no,http://developers.facebook.com/,
17,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1433309471844,1594854000000,no,http://developers.facebook.com/docs/reference/javascript/,
18,CDN JS,,CloudFlare's CDN with popular javascript frameworks available.,cdn,1433309471844,1543791600000,no,http://cdnjs.com,
19,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1433309471844,1630479600000,no,http://www.modernizr.com,
20,bxSlider,"['jQuery Plugin', 'Slider', 'UI']",Response jQuery Content Slider,javascript,1433309471844,1611648000000,no,http://bxslider.com/,
21,NationBuilder,['Community CMS'],Community Organizing System - both a website and a people database.,cms,1433309471844,1543791600000,yes,http://nationbuilder.com,
22,Rack Cache,,Rack::Cache is a component to enable HTTP caching for Rack-based applications such as Rails.,Web Server,1433309471844,1543791600000,no,http://rtomayko.github.com/rack-cache/,
23,Phusion Passenger,,"Phusion Passenger - a.k.a. mod_rails or mod_rack - is a web server and application server, designed to be fast, robust and  lightweight. Administration tools allow you to gain insight into web application operations and server performance.",Web Server,1433309471844,1543791600000,no,http://www.modrails.com/,
24,Ruby on Rails,,Ruby on Rails is an open-source web framework that is optimized for programmer happiness and sustainable productivity.,framework,1433309471844,1543791600000,no,http://www.rubyonrails.org/,
25,Cloudflare,,Automatically optimizes the delivery of your web pages so your visitors get the fastest page load times and best performance.,cdn,1433309471844,1463612400000,no,http://www.cloudflare.com/,
