,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery 1.8.3,,jQuery version 1.8.3,javascript,1386284400000,1454972400000,no,http://blog.jquery.com/2012/11/13/jquery-1-8-3-released/,jQuery
1,jQuery 1.7.1,,jQuery version 1.7.1,javascript,1385679600000,1628060400000,no,http://blog.jquery.com/2011/11/21/jquery-1-7-1-released/,jQuery
2,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1379631600000,1479250800000,no,http://plugins.jquery.com/once/,jQuery
3,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1378422000000,1628060400000,no,https://google.com,
4,Gandi Standard SSL,,Gandi hosting standard SSL certificate.,ssl,1372806000000,1628060400000,no,http://en.gandi.net/ssl,
5,gandi.net DNS,,DNS services provided by gandi.net.,ns,1346972400000,1454540400000,no,http://gandi.net,
6,Optimizely,"['A/B Testing', 'Site Optimization', 'Conversion Optimization', 'Personalization']",Optimizely empowers companies to deliver more relevant and effective digital experiences on websites and mobile through A/B testing and personalization.,analytics,1369144800000,1371682800000,yes,http://www.optimizely.com,
7,Criteo,['Retargeting / Remarketing'],Behavioural targeting for e-commerce customers.,ads,1367157600000,1387494000000,no,http://criteo.com,
8,comScore,"['Advertiser Tracking', 'Audience Measurement', 'Conversion Optimization', 'Site Optimization', 'Visitor Count Tracking']",Market research company that studies internet trends and behavior.,analytics,1367157600000,1386284400000,no,http://www.comscore.com,
9,jQuery Autocomplete,,"Autocomplete an input field to enable users quickly finding and selecting some value, leveraging searching and filtering.",javascript,1361710800000,1583276400000,no,http://docs.jquery.com/Plugins/autocomplete,jQuery
10,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1343570400000,1628060400000,no,http://www.facebook.com/facebook-widgets/share.php,
11,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1355490000000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
12,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1355490000000,1635145200000,no,http://www.facebook.com,
13,Smart App Banner,['Mobile'],"Displays a banner that provides a direct link to an Apple Store app, or opens the app if the user already has it installed.",widgets,1354798800000,1479855600000,no,https://developer.apple.com/news/index.php?id=10082012b,
14,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1343570400000,1628060400000,no,http://developers.facebook.com/docs/reference/plugins/like/,
15,Flickr Slideshow,,Adds a Flickr slideshow to The website,widgets,1351774800000,1422399600000,no,http://flickr.com,
16,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,981068400000,1421020800000,no,http://www.macromedia.com/software/flash/about/,
17,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1341496800000,1635145200000,no,https://github.com/afarkas/html5shiv,
18,JCarousel,"['jQuery Plugin', 'Slider']",jCarousel is a jQuery plugin for controlling a list of items in horizontal or vertical order.,javascript,1341496800000,1479250800000,no,http://sorgalla.com/jcarousel/,
19,jQuery Validate,['jQuery Plugin'],JQuery Form Validation Plugin.,javascript,1341496800000,1581030000000,no,http://jqueryvalidation.org,jQuery
20,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1324213200000,1636268400000,no,http://code.google.com/apis/ajaxlibs/documentation/,
21,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1264287600000,1636268400000,no,http://jqueryui.com/,jQuery
22,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1167951600000,1636268400000,no,http://google.com/analytics,
