,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Comodo InstantSSL,,InstantSSL solutions from Comodo.,ssl,1378422000000,1424905200000,no,http://www.instantssl.com/,
1,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1378422000000,1488582000000,no,http://comodo.com,
2,IIS 6,,Internet-based service for servers using Microsoft Windows. It is the world's second most popular web server in terms of overall websites.,Web Server,1371942000000,1400454000000,no,http://www.iis.net,IIS
3,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1371942000000,1491692400000,no,http://www.asp.net,
4,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1319925600000,1491692400000,no,http://google.com/analytics,
5,IIS,,This website is running on a Microsoft IIS Server solution.,Web Server,1371942000000,1636182000000,no,http://www.microsoft.com/servers/home.mspx,
6,Online.net,"['Dedicated Hosting', 'French hosting']",French dedicated and shared hosting provider.,hosting,1371942000000,1427238000000,no,http://online.net,
7,Online.Net DNS,,French based hosting and DNS services solution provider.,ns,1362056400000,1491692400000,no,http://online.net,
8,IIS 8,,Internet-based services for servers using Microsoft Windows.,Web Server,1403046000000,1491692400000,no,http://www.iis.net,IIS
9,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1319925600000,1491692400000,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
10,Vimeo,"['Online Video Platform', 'Video Players']","Use Vimeo to exchange videos with only the people you want to. We have a bunch of different privacy options so you can choose exactly who can see your videos, and others can do the same. The website embeds vimeo.",media,1461106800000,1636268400000,no,http://vimeo.com,
11,Versatel Deutschland,['German hosting'],Network infrastructure from Versatel Deutschland based in Germany.,hosting,1462834800000,1491692400000,no,http://versatel.de,
12,Vimeo CDN,,This page uses content from the Vimeo CDN.,cdn,1463612400000,1476140400000,no,http://vimeo.com,
13,WordPress Grid,,Contains content that may be hosted on the WordPress Grid Hosting CDN.,cdn,1463612400000,1465426800000,no,http://vip.wordpress.com/,
14,Slider Revolution,['WordPress Plugins'],A response sliding image plugin.,widgets,1494630000000,1636268400000,no,http://codecanyon.net/item/slider-revolution-responsive-wordpress-plugin/2751380?ref=garazy,
15,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1494630000000,1636268400000,no,http://jquery.com,jQuery
16,LayerSlider Responsive,['WordPress Plugins'],LayerSlider is the most advanced Responsive WordPress Slider Plugin.,widgets,1494630000000,1636268400000,no,http://kreaturamedia.com/layerslider-responsive-wordpress-slider-plugin/,
17,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1494630000000,1568761200000,no,http://www.facebook.com,
18,Fizzy UI Utils,,UI utilities & helpers,javascript,1494630000000,1568761200000,no,https://github.com/metafizzy/fizzy-ui-utils,
19,Really Simple Discovery,,"Really Simple Discovery is a way to help client software find the services needed to read, edit, or ""work with"" weblogging software.",feeds,1494630000000,1636268400000,no,http://cyber.law.harvard.edu/blogs/gems/tech/rsd.html,
20,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1494630000000,1636268400000,no,http://fontawesome.io,
21,bxSlider,"['jQuery Plugin', 'Slider', 'UI']",Response jQuery Content Slider,javascript,1494630000000,1636268400000,no,http://bxslider.com/,
22,Amazon,"['Cloud Hosting', 'Cloud PaaS']",This site is hosted on Amazon AWS EC2 Infrastructure.,hosting,1494630000000,1636268400000,no,http://aws.amazon.com,
23,jQuery Masonry,['UI'],Masonry is a layout plugin for jQuery. Think of it as the flip side of CSS floats.,javascript,1494630000000,1636268400000,no,http://desandro.com/resources/jquery-masonry/,jQuery
24,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1494630000000,1636268400000,no,http://twitter.com/settings/widgets,
25,GSAP,['Animation'],"GSAP is a suite of tools for scripted, high-performance HTML5 animations that work in all major browsers from GreenSock.",javascript,1494630000000,1635404400000,no,http://greensock.com/gsap/,
26,ThemePunch,,Using custom plugins/themes from ThemePunch.,widgets,1494630000000,1568761200000,no,http://www.themepunch.com,
27,WP Polls,['WordPress Plugins'],Customizable user polling system for WordPress.,widgets,1494630000000,1636268400000,no,http://wordpress.org/plugins/wp-polls,
28,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1494630000000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
29,Froogaloop,,"Froogaloop is a small Javascript utility framework to help with the complexities
involved in dealing with using the Javascript API through window.postMessage
for controlling Vimeo's Moogaloop video player.",javascript,1494630000000,1527980400000,no,https://github.com/vimeo/froogaloop,
30,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1494630000000,1636268400000,no,http://www.openspf.org/,
