,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1379631600000,1636268400000,no,http://plugins.jquery.com/once/,jQuery
1,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1373497200000,1621148400000,no,http://comodo.com,
2,YouTube IFrame Upload,,Lets users upload videos to YouTube from any webpage.,widgets,1371250800000,1374274800000,no,http://developers.google.com/youtube/youtube_upload_widget,
3,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1369144800000,1636444800000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
4,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1367676000000,1636268400000,no,http://www.drupal.org,
5,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1367676000000,1518735600000,no,http://developers.facebook.com/docs/reference/plugins/like,
6,jQuery QTip,,qTip is an advanced tooltip plugin for the ever popular jQuery JavaScript framework.,javascript,1362056400000,1480633200000,no,http://craigsworks.com/projects/qtip/,jQuery
7,jQuery ScrollTo,"['jQuery Plugin', 'UI']",An overloaded scrolling function for jquery.,javascript,1367676000000,1427238000000,no,https://github.com/flesler/jquery.scrollTo,jQuery
8,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1367676000000,1636268400000,no,http://jqueryui.com/,jQuery
9,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1367676000000,1636268400000,no,https://github.com/carhartl/jquery-cookie,jQuery
10,jQuery Form,['jQuery Plugin'],jQuery Form Plugin allows you to easily and unobtrusively upgrade HTML forms to use AJAX.,javascript,1367676000000,1636182000000,no,http://jquery.malsup.com/form/,jQuery
11,jQuery UI Tabs,"['jQuery Plugin', 'UI']",Support tabs interfaces using the JQuery library,javascript,1367676000000,1636182000000,no,http://docs.jquery.com/UI/Tabs,jQuery
12,jQuery Autocomplete,,"Autocomplete an input field to enable users quickly finding and selecting some value, leveraging searching and filtering.",javascript,1362056400000,1636268400000,no,http://docs.jquery.com/Plugins/autocomplete,jQuery
13,jQuery Colorbox,['jQuery Plugin'],"A light-weight, customizable lightbox plugin for jQuery.",javascript,1367676000000,1636268400000,no,http://colorpowered.com/colorbox/,jQuery
14,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1367676000000,1636268400000,no,https://github.com/afarkas/html5shiv,
