,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1377817200000,1427324400000,no,http://developers.facebook.com/docs/reference/plugins/like,
1,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1372806000000,1621839600000,no,http://geotrust.com,
2,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1367676000000,1611043200000,no,http://www.php.net,
3,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1367157600000,1619218800000,no,http://www.modernizr.com,
4,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1323003600000,1356958800000,no,http://www.asp.net,
5,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1320584400000,1636444800000,no,http://google.com/analytics,
6,Google Analytics Anonymize IP,,Tell Google Analytics to anonymize the information sent by the tracker objects by removing the last octet of the IP address prior to its storage.,analytics,1320584400000,1636444800000,no,http://code.google.com/apis/analytics/docs/gaJS/gaJSApi_gat.html,Google Analytics
7,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1125871200000,1365080400000,no,http://www.macromedia.com/software/flash/about/,
8,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1390518000000,1636268400000,no,http://jquery.com,jQuery
9,matchMedia,['Compatibility'],matchMedia polyfill for testing media queries in JS.,javascript,1390518000000,1529449200000,no,http://github.com/paulirish/matchMedia.js/,
10,Level 3 Communications,['US hosting'],CDN and data delivery network,hosting,1394060400000,1512601200000,no,http://level3.com,
11,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1402873200000,1557615600000,no,https://github.com/afarkas/html5shiv,
12,TYPO3,"['Community CMS', 'Enterprise', 'Open Source']",TYPO3 Content Management Framework for enterprise purposes on the web and in intranets written in PHP.,cms,1406761200000,1619218800000,no,http://www.typo3.org,
13,Froogaloop,,"Froogaloop is a small Javascript utility framework to help with the complexities
involved in dealing with using the Javascript API through window.postMessage
for controlling Vimeo's Moogaloop video player.",javascript,1406761200000,1557615600000,no,https://github.com/vimeo/froogaloop,
14,Mobile Non Scaleable Content,,"This content is formatted for mobile devices, it does not allow the content to be scaled.",mobile,1417042800000,1636182000000,no,http://developer.apple.com/library/safari/#documentation/appleapplications/reference/SafariHTMLRef/Articles/MetaTags.html,
15,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1417042800000,1636444800000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
16,Respond,['Compatibility'],"A fast & lightweight polyfill for min/max-width CSS3 Media Queries (for IE 6-8, and more)",javascript,1423695600000,1557615600000,no,https://github.com/scottjehl/Respond,
17,Fotolia,['Image Provider'],Images on this site may have been supplied by Fotolia.,widgets,1443599365480,1636009200000,no,http://fotolia.com,
18,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1443654000000,1636444800000,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
19,Handlebars,['Framework'],Handlebars provides the power necessary to let you build semantic templates effectively with no frustration.,javascript,1465426800000,1619218800000,no,http://handlebarsjs.com/,
20,Moment JS,['JavaScript Library'],"moment.js is a date library for parsing, validating, manipulating, and formatting dates.",javascript,1465426800000,1636268400000,no,http://momentjs.com,
21,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1466722800000,1556838000000,no,http://www.facebook.com,
22,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1466722800000,1554505200000,no,http://twitter.com,
23,Facebook Graph API,,This site has content that utilizes the Facebook Graph API,javascript,1466722800000,1587942000000,no,http://developers.facebook.com/docs/api,
24,German,,Website content is written in German.,language,1496358000000,1636444800000,no,http://de.wikipedia.org,
25,Adform,,"Adform provide media planning, buying, optimization, and reporting for all online display advertising.",ads,1499122800000,1510614000000,no,http://www.adform.com,
26,IntelliAd,['Multi-Channel'],Multichannel tracking and real time bidding system.,ads,1501801200000,1510614000000,no,http://www.intelliad.de/,
27,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1503961200000,1508799600000,no,http://www.doubleclick.com,
28,Datalogix,"['Advertiser Tracking', 'Conversion Optimization']",Leverages the power of purchase-based audience targeting to drive measurable online and offline sales,analytics,1506380400000,1508799600000,no,http://datalogix.com,
29,Lotame Crowd Control,,Data driven marketing advertising program provides social media sites with advance targeting,analytics,1506380400000,1508799600000,no,http://lotame.com,
30,Eyeota,['Ad Exchange'],Real time access to global advertising publishing partners.,ads,1506380400000,1508799600000,no,http://www.eyeota.com/,
31,Adobe Audience Manager Sync,,DMP Platform from Adobe Cookie Sync.,ads,1506380400000,1508799600000,no,http://www.adobe.com/au/marketing-cloud/data-management-platform.html,
32,UserReport,,Collect knowledge about your website’s visitors with UserReport’s free online survey tool. Owned by AudienceProject.,widgets,1506380400000,1508799600000,no,http://www.userreport.com/,
33,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1506380400000,1508799600000,no,http://www.appnexus.com/,
34,Openads/OpenX,['Ad Server'],"Openads offer ad serving software that is simple, reliable and totally independent. Best of all, it's free!",ads,1506380400000,1508799600000,no,http://openads.org,
35,Yahoo Small Business,,Yahoo advertising network and search engine marketing solutions.,ads,1506380400000,1508799600000,no,http://sem.smallbusiness.yahoo.com/searchenginemarketing/,
36,Geniee,,Advertising network solution from Japan.,ads,1506380400000,1508799600000,no,http://geniee.co.jp/,
37,Krux Digital,['Advertiser Tracking'],"Captures, connects and monetize consumer data.",analytics,1506380400000,1508799600000,yes,http://kruxdigital.com/,
38,X Plus One,['Demand-side Platform'],[x+1] allows marketers to synchronize their messages to consumers across a broad range of channels.,ads,1506380400000,1508799600000,no,http://www.xplusone.com,
39,Rapleaf,['Marketing Automation'],Marketing automation tools with the necessary data to help brands keep their customers engaged. Now TowerData.,analytics,1506380400000,1508799600000,yes,http://www.rapleaf.com,
40,Pubmatic,['Dynamic Creative Optimization'],PubMatic Enables Ad Optimization Across Every Ad Network,ads,1506380400000,1508799600000,no,http://pubmatic.com,
41,LiveRamp,"['Lead Generation', 'Marketing Automation']",CRM Retargeting & Data Onboarding app.,analytics,1506380400000,1508799600000,yes,http://liveramp.com/,
42,Rubicon Project,,Advertising optimization service.,ads,1506380400000,1508799600000,no,http://rubiconproject.com,
43,Everest Technologies,,Performance testing and channel strategy provider for eCommerce.,analytics,1506380400000,1508799600000,yes,http://everesttech.com/,
44,Aggregate Knowledge,,Data management solution that combines both media and audience data.,ads,1506380400000,1508799600000,no,http://www.aggregateknowledge.com,
45,Rocket Fuel,,Unlocks the power of artificial intelligence to make digital advertising better,ads,1506380400000,1510614000000,no,http://rocketfuel.com/,
46,BlueKai DMP,['Data Management Platform'],BlueKai sites that specifically call a tags script.,ads,1506380400000,1508799600000,no,http://bluekai.com,BlueKai
47,SpotXchange,,Video ad inventory advertising network.,ads,1506380400000,1508799600000,no,http://www.spotxchange.com/,
48,Index Exchange,,Index Exchange is the world's fastest growing provider of online media solutions. With a network reach of over half the US digital audience. Previously known as Casale Media.,ads,1506380400000,1508799600000,no,http://casalemedia.com,
49,Taboola,"['Content Curation', 'Digital Video Ads']",Personalized recommendations technology.,ads,1506380400000,1508799600000,no,http://taboola.com,
50,Tapad,,Allows advertisers to engage the same consumer with consistent ads across multiple platforms.,ads,1506380400000,1508799600000,no,http://www.tapad.com/,
51,BlueKai,['Ad Exchange'],The BlueKai Data Exchange enables partners to buy and own data to boost ad targeting across any media.,ads,1506380400000,1508799600000,no,http://bluekai.com,
52,Advertising.com,"['Ad Analytics', 'Ad Exchange', 'Ad Network']","Ad.com network reaches nearly 85% of all Internet users in the U.S., making us the biggest ad network in town - from Verizon Media.",ads,1506380400000,1508799600000,no,http://advertising.com,
53,DemDex,"['Audience Targeting', 'Multi-Channel']","Demdex's turn-key audience management solutions make implementing a dynamic, multi-channel data strategy cost-effective and easy. Now known as Adobe Audience Manager.",ads,1506380400000,1508799600000,no,http://www.demdex.com/,
54,IponWeb BidSwitch,"['Ad Exchange', 'Fraud Prevention']","BidSwitch facilitates both Supply and Demand technology partners to efficiently and transparently connect, trade and manage multiple RTB partners.",ads,1506380400000,1508799600000,no,http://bidswitch.com,
55,Media Innovation Group,,"Provides marketing communicators with a single access point to every digital audience, and the technology platform to engage with users.",ads,1507158000000,1508799600000,no,http://www.themig.com,
56,Euro,['Currency'],The website uses the € symbol on its website - meaning it may accept payment in Euros.,payment,1507244400000,1636095600000,no,https://en.wikipedia.org/wiki/Euro,
57,Akamai Hosted,['US hosting'],Data network CDN provider.,hosting,1513033200000,1636268400000,no,http://akamai.com,
58,Akamai Edge,['Edge Delivery Network'],"Akamai's Edge Platform is one of the world's largest distributed computing platforms. It is a network of more than 95,000 secure servers equipped with proprietary software and deployed in 71 countries.",cdns,1518217200000,1636268400000,yes,http://www.akamai.com/html/technology/edgeplatform.html,
59,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1519858800000,1636444800000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
60,jQuery Migrate,['Compatibility'],APIs and features removed from jQuery core,javascript,1519858800000,1594335600000,no,https://github.com/jquery/jquery-migrate,jQuery
61,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1519858800000,1636182000000,no,http://jqueryui.com/,jQuery
62,touchSwipe,"['Compatibility', 'jQuery Plugin']","TouchSwipe is a jquery plugin to be used with jQuery on touch input devices such as iPad, iPhone etc.",javascript,1519858800000,1594335600000,no,https://github.com/mattbryson/TouchSwipe-Jquery-Plugin,
63,Adobe Connect,,"Adobe Connect web conferencing software offers online meeting functionality, virtual classrooms and large scale webinars.",widgets,1519858800000,1588374000000,maybe,http://www.adobe.com/products/adobeconnect.html,
64,WebEx Panel,,WebEx system.,widgets,1519858800000,1588374000000,no,http://webex.com,
65,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1522796400000,1636444800000,no,http://trends.builtwith.com/ssl,
