,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery 1.9.1,,jQuery version 1.9.1,javascript,1385679600000,1589583600000,no,http://blog.jquery.com/2013/02/04/jquery-1-9-1-released/,jQuery
1,Social Share Privacy,['jQuery Plugin'],Per default only a gray mock up image of a like-button is embedded. Only if a user clicks this button the real like-button is loaded and information sent to the social network,javascript,1379631600000,1589583600000,no,http://panzi.github.io/SocialSharePrivacy/,
2,Yahoo Pipes,,Yahoo Pipes tool. A composition tool to create new feeds from other sites aggregation functionality.,widgets,1379026800000,1379286000000,no,http://pipes.yahoo.com,
3,GlobalSign,['Root Authority'],Certificate provided by GlobalSign.,ssl,1372806000000,1531436400000,no,http://globalsign.com,
4,CSS Browser Selector,,CSS Browser selector hack.,javascript,1371942000000,1589583600000,no,http://rafael.adm.br/css_browser_selector/,
5,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1364302800000,1427760000000,no,http://developers.facebook.com/docs/reference/plugins/like,
6,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1349359200000,1605600000000,no,http://fancybox.net/,
7,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1324213200000,1581030000000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
8,Microsoft Ajax Content Delivery Network,,The Microsoft Ajax Content Delivery Network hosts popular third party JavaScript libraries.,cdn,1349359200000,1349359200000,no,http://www.asp.net/ajaxlibrary/CDN.ashx,
9,jQuery Validate,['jQuery Plugin'],JQuery Form Validation Plugin.,javascript,1349359200000,1502233200000,no,http://jqueryvalidation.org,jQuery
10,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1349359200000,1634022000000,no,https://github.com/carhartl/jquery-cookie,jQuery
11,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1336744800000,1605081600000,no,https://github.com/afarkas/html5shiv,
12,LongTail Video,"['Digital Video Ads', 'Enterprise', 'Online Video Platform', 'Video Players']",LongTail Video hosted video solution - Bits on the Run.,media,1336744800000,1336744800000,yes,http://www.longtailvideo.com,
13,Ubuntu,,"Ubuntu is a free, Debian derived Linux-based operating system, available with both community and professional support.",Server,1336744800000,1636182000000,no,http://ubuntu.com,
14,TYPO3,"['Community CMS', 'Enterprise', 'Open Source']",TYPO3 Content Management Framework for enterprise purposes on the web and in intranets written in PHP.,cms,1320584400000,1589583600000,no,http://www.typo3.org,
15,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1320584400000,1636444800000,no,http://www.google.com/webmasters/,
16,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1320584400000,1358254800000,no,http://code.google.com/apis/ajaxlibs/documentation/,
