,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1381705200000,1636182000000,no,http://blog.deconcept.com/swfobject/,
1,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1379286000000,1465426800000,no,http://geotrust.com,
2,GeoTrust QuickSSL Premium,,Premium SSL solutions from GeoTrust.,ssl,1379286000000,1465426800000,no,http://www.geotrust.com/ssl/ssl-certificates-premium/,
3,GeoTrust QuickSSL,,QuickSSL has been replaced with QuickSSL Premium to give you more for the same low price.,ssl,1379286000000,1465426800000,no,http://www.geotrust.com/ssl/ssl-certificates-premium/,
4,Social Share Privacy,['jQuery Plugin'],Per default only a gray mock up image of a like-button is embedded. Only if a user clicks this button the real like-button is loaded and information sent to the social network,javascript,1379631600000,1636182000000,no,http://panzi.github.io/SocialSharePrivacy/,
5,Thawte SSL123,,SSL123 Certificates have fast issuance time to quickly enable encrypted connections to your web server.,ssl,1372806000000,1379026800000,no,http://www.thawte.com/ssl/ssl123-ssl-certificates/index.html,
6,Thawte SSL,['Root Authority'],Certificated provided by Thawte.,ssl,1372806000000,1622530800000,no,http://thawte.com,
7,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1370559600000,1636268400000,no,http://jquery.com,jQuery
8,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1370559600000,1636182000000,no,http://www.modernizr.com,
9,MooTools,['JavaScript Library'],"MooTools is a compact, modular, Object-Oriented JavaScript framework designed for the intermediate to advanced JavaScript developer. It allows you to write powerful, flexible and cross-browser code with its elegant, well documented and coherent API.",javascript,1370559600000,1375398000000,no,http://mootools.net/,
10,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1370559600000,1427324400000,no,http://developers.facebook.com/docs/reference/plugins/like,
