,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery Mousewheel,['jQuery Plugin'],Adds mouse wheel support to the web site.,javascript,1387494000000,1508281200000,no,http://plugins.jquery.com/project/mousewheel,jQuery
1,Apache 2.2,,Apache version 2.2.*,Web Server,1385679600000,1386889200000,no,http://httpd.apache.org/docs/2.2,Apache
2,WordPress 3.6,,WordPress version 3.6.*,cms,1385679600000,1386889200000,no,http://codex.wordpress.org/Version_3.6,WordPress
3,The Events Calendar,"['Bookings', 'WordPress Plugins']",The Events Calendar is an extensible plugin that lets you easily share your events.,widgets,1382655600000,1386889200000,no,http://wordpress.org/plugins/the-events-calendar/,
4,TablePress,['WordPress Plugins'],Free WordPress plugin that enables easy management of tables.,widgets,1379286000000,1386889200000,no,http://tablepress.org,
5,Social Media Widget,['WordPress Plugins'],Wordpress sidebar widget that adds various social media systems to the page.,widgets,1379286000000,1386889200000,no,http://wordpress.org/plugins/social-media-widget,
6,Varnish,,Varnish is a web accelerator / reverse proxy caching server.,Web Server,1372374000000,1386889200000,no,http://varnish-software.com/,
7,Debian,,Debian is a free operating system (OS) for your computer.,Server,1367676000000,1386889200000,no,http://www.debian.org,
8,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1365080400000,1635145200000,no,http://developers.facebook.com/,
9,Explorer Canvas,,HTML5 Canvas for Internet Explorer,javascript,1365080400000,1386889200000,no,http://code.google.com/p/explorercanvas/,
10,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1365080400000,1365080400000,no,http://developers.facebook.com/docs/reference/plugins/like,
11,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1359637200000,1633158000000,no,http://www.php.net,
12,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1354798800000,1386889200000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
13,Pingback Support,,"A Pingback is one of three types of Linkbacks, methods for Web authors to request notification when somebody links to one of their documents.",feeds,1354798800000,1386889200000,no,http://en.wikipedia.org/wiki/Pingback,
14,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1354798800000,1635145200000,no,https://fonts.google.com,
15,Wordpress Plugins,,Plugins are tools to extend the functionality of WordPress. The website uses various plugins from WordPress to provide additional functionality. Some of them may be listed here.,widgets,1354798800000,1386889200000,no,http://codex.wordpress.org/Plugins,
16,WordPress,"['Open Source', 'Blog']","WordPress is a state-of-the-art semantic personal publishing platform with a focus on aesthetics, web standards, and usability.",cms,1354798800000,1386889200000,no,http://wordpress.org,
17,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1354798800000,1382655600000,no,http://jqueryui.com/,jQuery
18,Isotope,,A jQuery plugin for magical layouts,javascript,1354798800000,1386889200000,no,http://isotope.metafizzy.co,
19,jQuery prettyPhoto,['jQuery Plugin'],prettyPhoto is a jQuery lightbox clone which supports additional meta types such as video.,javascript,1354798800000,1386889200000,no,http://www.no-margin-for-errors.com/projects/prettyphoto-jquery-lightbox-clone/,jQuery
20,Really Simple Discovery,,"Really Simple Discovery is a way to help client software find the services needed to read, edit, or ""work with"" weblogging software.",feeds,1354798800000,1386889200000,no,http://cyber.law.harvard.edu/blogs/gems/tech/rsd.html,
21,Live Writer Support,,Windows Live Writer Tagging Support Schema,feeds,1354798800000,1386889200000,no,http://windowslivewriter.spaces.live.com,
22,WP Super Cache,['WordPress Plugins'],WP Super Cache is a page cache generation tool for WordPress.,widgets,1354798800000,1365080400000,no,http://wordpress.org/extend/plugins/wp-super-cache/,
23,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1341496800000,1351774800000,no,http://www.drupal.org,
24,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1341496800000,1633158000000,no,http://www.huddletogether.com/projects/lightbox/,
25,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1254434400000,1636268400000,no,http://jquery.com,jQuery
26,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1341496800000,1636268400000,no,https://github.com/carhartl/jquery-cookie,jQuery
27,jQuery Form,['jQuery Plugin'],jQuery Form Plugin allows you to easily and unobtrusively upgrade HTML forms to use AJAX.,javascript,1341496800000,1382655600000,no,http://jquery.malsup.com/form/,jQuery
28,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1341496800000,1351774800000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
29,jQuery bgiframe,"['Compatibility', 'jQuery Plugin']",Fixes z-index issues in IE6.,javascript,1341496800000,1351774800000,no,http://docs.jquery.com/Plugins/bgiframe,jQuery
30,SuperFish Menu,,Superfish is an enhanced Suckerfish-style menu jQuery plugin that takes an existing pure CSS drop-down menus and adds much-sought-after enhancements.,javascript,1341496800000,1351774800000,no,http://users.tpg.com.au/j_birch/plugins/superfish/,
31,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1341496800000,1351774800000,no,https://github.com/afarkas/html5shiv,
32,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1341496800000,1508281200000,no,http://fancybox.net/,
33,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1341496800000,1636268400000,no,http://nginx.net/,
34,Joomla!,['Open Source'],Joomla! is a Content Management System and Web Application Framework.,cms,1320584400000,1338472800000,no,http://joomla.org,
35,MooTools,['JavaScript Library'],"MooTools is a compact, modular, Object-Oriented JavaScript framework designed for the intermediate to advanced JavaScript developer. It allows you to write powerful, flexible and cross-browser code with its elegant, well documented and coherent API.",javascript,1254434400000,1338472800000,no,http://mootools.net/,
36,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1191362400000,1636268400000,no,http://google.com/analytics,
37,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1320584400000,1592002800000,no,http://httpd.apache.org/,
38,Google Apps for Business,['Business Email Hosting'],"Web-based email, calendar, and documents for teams. Renamed to Google Apps for Work, but now known as G Suite from Google Cloud.",mx,1341496800000,1386889200000,no,http://www.google.com/a,
39,Intergenia,['German hosting'],"Hosting umbrella company for PlusServer, serverloft and SERVER4YOU, now owned by Oakley Capital.",hosting,1345730400000,1365080400000,no,http://intergenia.de,
40,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1392937200000,1636268400000,no,http://youtube.com,
41,Thawte SSL,['Root Authority'],Certificated provided by Thawte.,ssl,1406761200000,1415833200000,no,http://thawte.com,
42,SoundCloud,,SoundCloud is a platform that puts sound at the heart of communities and websites.,media,1410390000000,1614844800000,no,http://soundcloud.com/,
43,Parallels SSL,,SSL reseller program from Parallels,ssl,1417647600000,1508799600000,no,http://www.parallels.com/au/products/dnn/,
44,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1420671600000,1636268400000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
45,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1427929200000,1507849200000,no,http://twitter.com/settings/widgets,
