,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1382050800000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
1,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1382050800000,1601535600000,no,http://twitter.com,
2,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1382050800000,1559516400000,no,http://www.facebook.com,
3,Comodo InstantSSL,,InstantSSL solutions from Comodo.,ssl,1381705200000,1401408000000,no,http://www.instantssl.com/,
4,jQuery NoConflict,['jQuery Plugin'],Return control of $ back to the other libraries with a call to $.noConflict().,javascript,1287180000000,1553554800000,no,http://api.jquery.com/jQuery.noConflict/,jQuery
5,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1381705200000,1551654000000,no,http://comodo.com,
6,ExpressionEngine,"['eCommerce Enabled', 'Enterprise']","ExpressionEngine is a flexible, feature-rich content management system that empowers thousands of individuals, organizations, and companies around the world to easily manage their website.",cms,1371942000000,1416700800000,no,http://expressionengine.com,
7,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1259103600000,1636268400000,no,http://jquery.com,jQuery
8,cufón,,sIFR replacement cufon with simpler and easier to use functionality. Shows fonts in a nice format.,javascript,1259103600000,1436918400000,no,http://wiki.github.com/sorccu/cufon/about,
9,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1287180000000,1436918400000,no,http://jquery.malsup.com/cycle/,jQuery
10,jQuery Colorbox,['jQuery Plugin'],"A light-weight, customizable lightbox plugin for jQuery.",javascript,1262732400000,1436918400000,no,http://colorpowered.com/colorbox/,jQuery
11,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1262732400000,1436918400000,no,https://github.com/carhartl/jquery-cookie,jQuery
12,JCarousel,"['jQuery Plugin', 'Slider']",jCarousel is a jQuery plugin for controlling a list of items in horizontal or vertical order.,javascript,1259103600000,1436918400000,no,http://sorgalla.com/jcarousel/,
13,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1369922400000,1436918400000,no,http://twitter.com/settings/widgets,
14,Google Adsense for Search,,Adding the Google search box to your website puts our search engine at your visitors' fingertips. And combining search with AdSense puts Google's base of advertisers to work for your bottom line.,ads,1259103600000,1436918400000,no,http://www.google.com/adsense/ws-overview,Google Adsense
15,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1259103600000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
16,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1369922400000,1553554800000,no,http://twitter.com/about/resources,
17,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1369922400000,1566774000000,no,http://httpd.apache.org/,
18,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1259103600000,1636268400000,no,http://google.com/analytics,
19,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1259103600000,1436832000000,no,http://code.google.com/apis/ajaxlibs/documentation/,
20,Blue State Digital,['Marketing Platform'],This site uses email services from new media agency Blue State Digital.,mx,1369922400000,1577487600000,yes,http://www.bluestatedigital.com/,
21,Google Apps for Business,['Business Email Hosting'],"Web-based email, calendar, and documents for teams. Renamed to Google Apps for Work, but now known as G Suite from Google Cloud.",mx,1369922400000,1577487600000,no,http://www.google.com/a,
22,Internap,"['Cloud Hosting', 'Dedicated Hosting', 'US hosting']","CDN, Cloud, Dedicated and Managed Hosting.",hosting,1369922400000,1437436800000,no,http://inap.com,
23,jQuery 1.3.1,,jQuery version 1.3.1,javascript,1259103600000,1436918400000,no,http://blog.jquery.com/2009/01/21/jquery-131-released/,jQuery
24,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1395270000000,1581980400000,no,http://akamai.com,
25,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1397862000000,1636268400000,no,http://www.openspf.org/,
26,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1418079600000,1436918400000,no,http://newrelic.com/,
27,Google Hosted Libraries,,"Google Hosted Libraries is a globally available content distribution network for the most popular, open-source JavaScript libraries.",javascript,1259103600000,1436832000000,no,https://developers.google.com/speed/libraries/,
28,Google Hosted jQuery,,jQuery hoted at Google.,javascript,1259103600000,1436832000000,no,https://developers.google.com/speed/libraries/,Google Hosted Libraries
29,FastClick,['Mobile'],Polyfill to remove click delays on browsers with touch UIs.,widgets,1437436800000,1459378800000,no,http://labs.ft.com,
30,Slider Revolution,['WordPress Plugins'],A response sliding image plugin.,widgets,1437436800000,1553554800000,no,http://codecanyon.net/item/slider-revolution-responsive-wordpress-plugin/2751380?ref=garazy,
31,WPML Multilingual,['WordPress Plugins'],Multilingual platform support for WordPress.,widgets,1437436800000,1553554800000,maybe,http://wpml.org/,
32,Custom Facebook Feed,['WordPress Plugins'],Display a completely customizable Facebook feed of any public Facebook page or group on your website,widgets,1437436800000,1553554800000,no,https://wordpress.org/plugins/custom-facebook-feed/,
33,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1437436800000,1553554800000,no,http://fontawesome.io,
34,Pingdom RUM,['Application Performance'],Real User Monitoring gives insight into performance for actual users visiting the website.,analytics,1437436800000,1491087600000,yes,https://www.pingdom.com/rum/,
35,Better WordPress Minify,['WordPress Plugins'],Allows you to combine and minify your CSS and JS files to improve page load time. ,widgets,1437436800000,1452466800000,no,https://wordpress.org/plugins/bwp-minify/,
36,GSAP,['Animation'],"GSAP is a suite of tools for scripted, high-performance HTML5 animations that work in all major browsers from GreenSock.",javascript,1437436800000,1551654000000,no,http://greensock.com/gsap/,
37,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1437436800000,1551654000000,no,http://www.modernizr.com,
38,Twemoji,,Twitter Emoji for Everyone,widgets,1437436800000,1633158000000,no,https://github.com/twitter/twemoji,
39,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1437436800000,1636268400000,no,https://fonts.google.com,
40,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1437436800000,1621148400000,no,http://developers.facebook.com/docs/reference/javascript/,
41,WordPress,"['Open Source', 'Blog']","WordPress is a state-of-the-art semantic personal publishing platform with a focus on aesthetics, web standards, and usability.",cms,1437436800000,1636268400000,no,http://wordpress.org,
