,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Comodo PositiveSSL,,Comodo Positive SSL certificate.,ssl,1379286000000,1393196400000,no,http://www.positivessl.com/ssl-certificate-positivessl.php,
1,Comodo PositiveSSL Wildcard,['Wildcard'],Wildcard certificate from Comodo.,ssl,1379286000000,1393196400000,no,http://www.positivessl.com/ssl-certificate-positivessl_wildcard.php,
2,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1379286000000,1393196400000,no,http://comodo.com,
3,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1329120000000,1636268400000,no,http://jquery.com,jQuery
4,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1329120000000,1482879600000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
5,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1329120000000,1611043200000,no,http://twitter.com/about/resources,
6,Twitter Widget,,"Adds twitter to the website, this includes the user of a twitter badge, blogger JavaScript or anything from widgets.twimg.com.",widgets,1329120000000,1482879600000,no,http://twitter.com,
7,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1329120000000,1422658800000,no,http://twitter.com,
8,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1369922400000,1636268400000,no,http://httpd.apache.org/,
9,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1369922400000,1636268400000,no,http://google.com/analytics,
10,Debian,,Debian is a free operating system (OS) for your computer.,Server,1369922400000,1636268400000,no,http://www.debian.org,
11,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1369922400000,1633158000000,no,http://www.php.net,
12,Twitter Follow Button,,Follow Button to your website to increase engagement and create a lasting connection with your audience.,widgets,1329120000000,1422658800000,no,https://twitter.com/about/resources/buttons#follow,
13,Apache 2.2,,Apache version 2.2.*,Web Server,1387148400000,1488582000000,no,http://httpd.apache.org/docs/2.2,Apache
14,jQuery 1.6.2,,jQuery version 1.6.2,javascript,1329120000000,1422658800000,no,http://blog.jquery.com/2011/06/30/jquery-162-released/,jQuery
15,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1191308400000,1610438400000,no,http://youtube.com,
16,Thawte SSL123,,SSL123 Certificates have fast issuance time to quickly enable encrypted connections to your web server.,ssl,1395356400000,1452466800000,no,http://www.thawte.com/ssl/ssl123-ssl-certificates/index.html,
17,Thawte SSL,['Root Authority'],Certificated provided by Thawte.,ssl,1395356400000,1452466800000,no,http://thawte.com,
18,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1401235200000,1403737200000,no,http://akamai.com,
19,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1401235200000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
20,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1403132400000,1403132400000,no,http://www.facebook.com,
21,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1410476400000,1636268400000,no,http://www.openspf.org/,
22,Microsoft Exchange Online,['Business Email Hosting'],A rich hosted Exchange environment for every user without having to manage a server.,mx,1410476400000,1636268400000,no,http://www.microsoft.com/exchange/en-us/exchange-online-hosted-email.aspx,
23,Really Simple Discovery,,"Really Simple Discovery is a way to help client software find the services needed to read, edit, or ""work with"" weblogging software.",feeds,1424905200000,1636268400000,no,http://cyber.law.harvard.edu/blogs/gems/tech/rsd.html,
24,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1424905200000,1535842800000,no,http://www.asp.net,
25,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1424905200000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
26,jQuery 1.11.1,,jQuery version 1.11.1,javascript,1424905200000,1535842800000,no,http://blog.jquery.com/2014/05/01/jquery-1-11-1-and-2-1-1-released/,jQuery
27,Wordpress 4.1,,WordPress version 4.1.*,cms,1424905200000,1429743600000,no,http://codex.wordpress.org/Version_4.1,WordPress
28,Shareaholic,"['Audience Measurement', 'Personalization', 'Retargeting / Remarketing', 'Social Management']",Browser and website analytics tools.,analytics,1424905200000,1427238000000,no,http://shareaholic.com/,
29,Live Writer Support,,Windows Live Writer Tagging Support Schema,feeds,1424905200000,1636268400000,no,http://windowslivewriter.spaces.live.com,
30,IIS 8,,Internet-based services for servers using Microsoft Windows.,Web Server,1424905200000,1512342000000,no,http://www.iis.net,IIS
31,jQuery Form,['jQuery Plugin'],jQuery Form Plugin allows you to easily and unobtrusively upgrade HTML forms to use AJAX.,javascript,1424905200000,1535842800000,no,http://jquery.malsup.com/form/,jQuery
32,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1424905200000,1427238000000,no,http://aws.amazon.com/cloudfront/,
33,WordPress,"['Open Source', 'Blog']","WordPress is a state-of-the-art semantic personal publishing platform with a focus on aesthetics, web standards, and usability.",cms,1424905200000,1636268400000,no,http://wordpress.org,
34,Typekit,,Typekit is the easiest way to use real fonts on the web. It's a subscription-based service for linking to high-quality Open Type fonts from some of the world's best type foundries.,widgets,1424905200000,1535842800000,no,http://typekit.com,
35,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1424905200000,1636268400000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
36,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1424905200000,1535842800000,no,http://code.google.com/apis/ajaxlibs/documentation/,
37,OSS CDN,,Open Source Software CDN from MaxCDN.,cdn,1424905200000,1535842800000,no,http://osscdn.com,
38,IIS,,This website is running on a Microsoft IIS Server solution.,Web Server,1424905200000,1535842800000,no,http://www.microsoft.com/servers/home.mspx,
39,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1424905200000,1482879600000,no,http://developers.facebook.com/docs/reference/plugins/like,
40,Microsoft Azure,"['Cloud Hosting', 'Cloud PaaS']",Hosted on Microsoft Azure.,hosting,1424905200000,1531436400000,no,http://azure.microsoft.com,
41,Microsoft Azure Europe North Region,,Microsoft Azure Europe North Region Hosted Instances,hosting,1424905200000,1523228400000,no,http://azure.microsoft.com,Microsoft Azure
42,Microsoft,['US hosting'],This site is hosted on Microsoft infrastructure,hosting,1424905200000,1531436400000,no,http://www.microsoft.com,
43,YouTube Advanced by Embed Plus,['WordPress Plugins'],Enhances the YouTube videos you embed in your WordPress site. ,widgets,1429743600000,1535842800000,no,https://wordpress.org/plugins/embedplus-for-wordpress/,
44,Wordpress 4.2,,WordPress version 4.2.*,cms,1434927600000,1440370800000,no,http://codex.wordpress.org/Version_4.2,WordPress
45,Google Hosted Libraries,,"Google Hosted Libraries is a globally available content distribution network for the most popular, open-source JavaScript libraries.",javascript,1434927600000,1535842800000,no,https://developers.google.com/speed/libraries/,
46,Google Hosted jQuery,,jQuery hoted at Google.,javascript,1434927600000,1535842800000,no,https://developers.google.com/speed/libraries/,Google Hosted Libraries
47,Cookie Notice,['Privacy Compliance'],Cookie notice lets you inform users that your sites comply with EU law.,widgets,1434927600000,1535842800000,no,https://wordpress.org/plugins/cookie-notice/,
48,Office 365 Mail,['Business Email Hosting'],Email sent from this domain has records showing Office 365 usage.,mx,1440370800000,1636268400000,no,https://products.office.com/en-us/business/office,
49,Moment JS,['JavaScript Library'],"moment.js is a date library for parsing, validating, manipulating, and formatting dates.",javascript,1442876400000,1535842800000,no,http://momentjs.com,
50,Parsley.js,,Javascript forms validation script.,javascript,1442876400000,1535842800000,no,http://parsleyjs.org,
51,Contact Form 7,['Feedback Forms and Surveys'],"Specifically designed for wordpress blogs. Contact Form 7 can manage multiple contact forms, plus you can customize the form and the mail contents flexibly with simple markup.",widgets,1442876400000,1636268400000,no,http://wordpress.org/extend/plugins/contact-form-7/,
52,Stripe Checkout,['Checkout Buttons'],"Checkout builds on top of Stripe.js to provide your users with a streamlined, mobile-ready payment experience that is constantly improving.",payment,1442876400000,1535842800000,no,https://stripe.com/docs/checkout,Stripe
53,Stripe,"['Checkout Buttons', 'Payments Processor']",Stripe makes it easy for developers to accept credit cards on the web.,payment,1442876400000,1615017600000,no,https://stripe.com/,
54,Wordpress 4.3,,WordPress version 4.3.*,cms,1442876400000,1452466800000,no,http://codex.wordpress.org/Version_4.3,WordPress
55,Wordpress Plugins,,Plugins are tools to extend the functionality of WordPress. The website uses various plugins from WordPress to provide additional functionality. Some of them may be listed here.,widgets,1447196400000,1636268400000,no,http://codex.wordpress.org/Plugins,
56,Euro,['Currency'],The website uses the € symbol on its website - meaning it may accept payment in Euros.,payment,1129186800000,1636268400000,no,https://en.wikipedia.org/wiki/Euro,
57,YouTube IFrame Upload,,Lets users upload videos to YouTube from any webpage.,widgets,1451088000000,1601017200000,no,http://developers.google.com/youtube/youtube_upload_widget,
58,Twemoji,,Twitter Emoji for Everyone,widgets,1451088000000,1529362800000,no,https://github.com/twitter/twemoji,
59,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1453852800000,1535842800000,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
60,Wordpress 4.4,,WordPress version 4.4.*,cms,1453852800000,1462143600000,no,http://codex.wordpress.org/Version_4.4,WordPress
61,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1455750000000,1636268400000,no,http://trends.builtwith.com/ssl,
62,Wordpress 4.5,,WordPress version 4.5.*,cms,1464130800000,1535842800000,no,http://codex.wordpress.org/Version_4.5,WordPress
63,GoDaddy SSL,['Root Authority'],Certificate provided by GoDaddy.,ssl,1464130800000,1531436400000,no,http://godaddy.com,
64,YouTube IFrame API,,The IFrame player API lets you embed a YouTube video player on your website and control the player using JavaScript,media,1476658800000,1601017200000,no,https://developers.google.com/youtube/iframe_api_reference,
65,Amazon Route 53,['Enterprise DNS'],Amazon's scalable DNS web service system.,ns,1494025200000,1636268400000,no,http://aws.amazon.com/route53/,
66,MailChimp for WordPress,['WordPress Plugins'],Sign-up forms for MailChimp powered by the WordPress plugin.,widgets,1502233200000,1535842800000,no,https://wordpress.org/plugins/mailchimp-for-wp/,
