,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Apache 2.2,,Apache version 2.2.*,Web Server,1385679600000,1446073200000,no,http://httpd.apache.org/docs/2.2,Apache
1,jQuery 1.4.4,,jQuery version 1.4.4,javascript,1385679600000,1447282800000,no,http://blog.jquery.com/2010/11/11/jquery-1-4-4-release-notes/,jQuery
2,Google Charts,,Google Charts provide free charting for a website using charts driven by GET requests.,widgets,1376866800000,1447196400000,no,http://code.google.com/apis/chart/ ,
3,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1376866800000,1636268400000,no,http://twitter.com/settings/widgets,
4,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1376866800000,1437519600000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
5,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1376866800000,1617606000000,no,http://twitter.com/about/resources,
6,The Trade Desk,['Demand-side Platform'],Data-driven marketing suite that offers marketers a single place to buy all forms of online media.,ads,1376002800000,1438214400000,no,http://www.thetradedesk.com,
7,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1375398000000,1375398000000,no,http://akamai.com,
8,comScore,"['Advertiser Tracking', 'Audience Measurement', 'Conversion Optimization', 'Site Optimization', 'Visitor Count Tracking']",Market research company that studies internet trends and behavior.,analytics,1374274800000,1438214400000,no,http://www.comscore.com,
9,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1373497200000,1504479600000,no,http://geotrust.com,
10,GeoTrust EV,"['Extended Validation', 'Root Authority']",EV Certificate form GeoTrust,ssl,1373497200000,1448492400000,yes,http://geotrust.com,GeoTrust SSL
11,Chango,,Reader friendly ad network,ads,1371250800000,1438214400000,no,http://chango.com,
12,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1369144800000,1511132400000,no,https://github.com/carhartl/jquery-cookie,jQuery
13,Turn,"['Ad Analytics', 'Audience Targeting', 'Data Management Platform', 'Demand-side Platform', 'Multi-Channel', 'Ad Network', 'Digital Video Ads']","Provides performance-based CPA, CPC, and CPM pricing, automatic and blended targeting, plus market quality control through Smart Marketing technology. Now known as Amobee.",ads,1367157600000,1438214400000,no,http://turn.com,
14,Lotame Crowd Control,,Data driven marketing advertising program provides social media sites with advance targeting,analytics,1367157600000,1438214400000,no,http://lotame.com,
