,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Apache 2.2,,Apache version 2.2.*,Web Server,1385679600000,1433304330350,no,http://httpd.apache.org/docs/2.2,Apache
1,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1382655600000,1613980800000,no,http://www.facebook.com,
2,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1382655600000,1466722800000,no,http://akamai.com,
3,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1382655600000,1438383600000,no,http://developers.facebook.com/docs/reference/plugins/like/,
4,Google Plus One Platform,,Google+ API functionality.,widgets,1382655600000,1438815600000,no,https://developers.google.com/+/,
5,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1382655600000,1636268400000,no,http://developers.facebook.com/docs/reference/javascript/,
6,Dstillery,"['Ad Network', 'Audience Targeting']",Building custom audiences using brand loyalists and their strongest online connections.  Previously known as Media6Degrees.,ads,1382655600000,1410994800000,no,http://media6degrees.com,
7,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1382655600000,1636268400000,no,http://developers.facebook.com/,
8,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1382655600000,1623222000000,no,https://google.com,
9,AOL-Time Warner Online Advertising,,The website uses AOL-Time Warner Advertising Network,ads,1382050800000,1382655600000,no,http://aol.com,
10,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1382050800000,1430348400000,no,http://www.appnexus.com/,
11,BlueKai,['Ad Exchange'],The BlueKai Data Exchange enables partners to buy and own data to boost ad targeting across any media.,ads,1382050800000,1388703600000,no,http://bluekai.com,
12,Datalogix,"['Advertiser Tracking', 'Conversion Optimization']",Leverages the power of purchase-based audience targeting to drive measurable online and offline sales,analytics,1382050800000,1410994800000,no,http://datalogix.com,
13,Adometry,['Advertiser Tracking'],Adometry provides online ad verification and traffic quality management.,analytics,1382050800000,1382050800000,maybe,http://www.adometry.com/,
14,Lotame Crowd Control,,Data driven marketing advertising program provides social media sites with advance targeting,analytics,1382050800000,1382655600000,no,http://lotame.com,
15,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1382050800000,1613980800000,no,http://www.doubleclick.com,
16,Atlas,"['Ad Analytics', 'Ad Server', 'Digital Video Ads', 'Search']","High end provider of advertising solutions, using by 9 of the top 10 global brands and 7 of the top 10 global advertisement agencies. Owned by the Microsoft Corporation.",ads,1382050800000,1386284400000,no,http://www.atlassolutions.com/,
17,MediaMath,['Advertiser Tracking'],Tools that enable and empower marketing professionals.,analytics,1382050800000,1438383600000,no,http://mediamath.com,
18,Chango,,Reader friendly ad network,ads,1382050800000,1410994800000,no,http://chango.com,
19,DemDex,"['Audience Targeting', 'Multi-Channel']","Demdex's turn-key audience management solutions make implementing a dynamic, multi-channel data strategy cost-effective and easy. Now known as Adobe Audience Manager.",ads,1382050800000,1382655600000,no,http://www.demdex.com/,
20,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1382050800000,1632553200000,no,http://twitter.com/settings/widgets,
21,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1382050800000,1632553200000,no,http://twitter.com/about/resources,
22,comScore,"['Advertiser Tracking', 'Audience Measurement', 'Conversion Optimization', 'Site Optimization', 'Visitor Count Tracking']",Market research company that studies internet trends and behavior.,analytics,1382050800000,1388703600000,no,http://www.comscore.com,
23,Resonate Insights,,Resonate Insights drives media plans that ensure messages reach the right people at the right time,ads,1382050800000,1410994800000,no,http://www.resonateinsights.com/,
24,Acxiom,['Advertiser Tracking'],Technology and marketing services that enable marketers to manage audiences.,analytics,1382050800000,1410994800000,no,http://acxiom.com/,
25,Invite Media,['Advertiser Tracking'],"Automatically buy from multiple ad exchanges in real-time, all through the same interface.",analytics,1382050800000,1382655600000,no,http://invitemedia.com,
26,Google Plus One Button,,Google+ +1 Button implementation.,widgets,1382050800000,1438741167309,no,https://developers.google.com/+/plugins/+1button/,
27,MediaElement.js,['Video Players'],HTML5 audio and video players in pure HTML and CSS.,media,1381446000000,1636268400000,no,http://mediaelementjs.com/,
28,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1381446000000,1636268400000,no,https://fonts.google.com,
29,iContact,,Email marketing functionality.,widgets,1381446000000,1388957967406,maybe,http://icontact.com,
30,AddThis,"['Social Sharing', 'Bookmarking']",Widgets that allow visitors to save and promote the site.,widgets,1380236400000,1614931200000,no,http://addthis.com,
31,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1381446000000,1632553200000,no,http://www.modernizr.com,
32,Touchwipe,"['Compatibility', 'jQuery Plugin']","Obtain the wipe event on an iPhone, iPad or iPod Touch.",javascript,1379631600000,1381446000000,no,http://www.netcu.de/jquery-touchwipe-iphone-ipad-library,
33,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1372806000000,1572649200000,no,http://comodo.com,
34,pairNetworks DNS,,DNS services provided by pairNetworks.,ns,1346972400000,1436396400000,no,http://pair.com,
35,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1355490000000,1636268400000,no,http://google.com/analytics,
36,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1355490000000,1636268400000,no,http://code.google.com/apis/ajaxlibs/documentation/,
37,jQuery BlockUI,,"jQuery BlockUI Plugin lets you simulate synchronous behavior when using AJAX, without locking the browser.",javascript,1323003600000,1381446000000,no,http://jquery.malsup.com/block/,jQuery
38,Yahoo User Interface,['JavaScript Library'],"The Yahoo! User Interface (YUI) Library is a set of utilities and controls, written in JavaScript, for building richly interactive web applications using techniques such as DOM scripting, DHTML and AJAX.",javascript,1317560400000,1381446000000,no,http://developer.yahoo.com/yui/,
39,PayPal Form,['Payments Processor'],The website contains a form for paying with PayPal.,payment,1304344800000,1348668000000,no,http://paypal.com,
40,jQuery Colorbox,['jQuery Plugin'],"A light-weight, customizable lightbox plugin for jQuery.",javascript,1304344800000,1381446000000,no,http://colorpowered.com/colorbox/,jQuery
41,Twitter Widget,,"Adds twitter to the website, this includes the user of a twitter badge, blogger JavaScript or anything from widgets.twimg.com.",widgets,1299070800000,1361710800000,no,http://twitter.com,
42,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1299070800000,1579647600000,no,http://twitter.com,
43,jQuery ScrollTo,"['jQuery Plugin', 'UI']",An overloaded scrolling function for jquery.,javascript,1299070800000,1343570400000,no,https://github.com/flesler/jquery.scrollTo,jQuery
44,Google Apps for Business,['Business Email Hosting'],"Web-based email, calendar, and documents for teams. Renamed to Google Apps for Work, but now known as G Suite from Google Cloud.",mx,1338472800000,1636268400000,no,http://www.google.com/a,
45,pair Networks,,pair Networks web mail hosting system,mx,1315749600000,1324731600000,no,http://pair.com,
46,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1254693600000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
47,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1254693600000,1613980800000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
48,WidgetBox,,The website contains custom widgets from Widgetbox.com. Some of them may be listed along side this entry.,widgets,1254693600000,1380236400000,no,http://widgetbox.com,
49,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1254693600000,1315144800000,no,http://www.macromedia.com/software/flash/about/,
50,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1254693600000,1636268400000,no,http://jquery.com,jQuery
51,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1254693600000,1381446000000,no,http://blog.deconcept.com/swfobject/,
52,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1254693600000,1614931200000,no,http://jquery.malsup.com/cycle/,jQuery
53,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1294059600000,1436329198516,no,http://httpd.apache.org/,
54,pair Networks Hosting,['US hosting'],eCommerce and premium web hosting solution.,hosting,1345730400000,1436396400000,no,http://pair.com,
55,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1392937200000,1636268400000,no,http://youtube.com,
56,yepnope,,yepnope is an asynchronous conditional resource loader that allows you to load only the scripts that your users need.,javascript,1392937200000,1438815600000,no,http://yepnopejs.com/,
57,matchMedia,['Compatibility'],matchMedia polyfill for testing media queries in JS.,javascript,1392937200000,1438815600000,no,http://github.com/paulirish/matchMedia.js/,
58,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1397084400000,1636268400000,no,http://www.openspf.org/,
59,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1399503600000,1399503600000,no,http://newrelic.com/,
60,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1399503600000,1399503600000,no,http://aws.amazon.com/cloudfront/,
61,Compete,['Audience Measurement'],Website analytics and powerful planning and strategic tools.,analytics,1399503600000,1399503600000,maybe,http://www.compete.com,
62,CrazyEgg,['Site Optimization'],Crazy Egg provides visualization of visits to your website.,analytics,1399503600000,1399503600000,maybe,http://crazyegg.com/,
63,Twitter Embedded Tweets,,Embedded Tweet feature allows websites to generate copy and paste-able HTML markup to render a Tweet on any third-party website.,widgets,1400713200000,1614240000000,no,https://dev.twitter.com/docs/embedded-tweets,
64,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1401580800000,1629874800000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
65,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1402873200000,1438815600000,no,https://github.com/afarkas/html5shiv,
66,Google API,,The website uses some form of Google APIs to provide interaction with the many API's Google Providers.,javascript,1405551600000,1438815600000,no,http://code.google.com,
67,Turn,"['Ad Analytics', 'Audience Targeting', 'Data Management Platform', 'Demand-side Platform', 'Multi-Channel', 'Ad Network', 'Digital Video Ads']","Provides performance-based CPA, CPC, and CPM pricing, automatic and blended targeting, plus market quality control through Smart Marketing technology. Now known as Amobee.",ads,1410994800000,1410994800000,no,http://turn.com,
68,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1415833200000,1427324400000,no,http://developers.facebook.com/docs/reference/plugins/like,
69,Apple Mobile Web Clips Icon,,"This page contains an icon for iPhone, iPad and iTouch devices.",mobile,1417042800000,1614931200000,no,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,
70,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1417042800000,1636268400000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
71,jQuery Countdown,['jQuery Plugin'],A jQuery plugin that sets a div or span to show a countdown to a given time.,javascript,1417647600000,1432114632563,no,http://keith-wood.name/countdown.html,jQuery
72,FastClick,['Mobile'],Polyfill to remove click delays on browsers with touch UIs.,widgets,1423695600000,1619420400000,no,http://labs.ft.com,
73,Apache 2.4,,Apache version 2.4.*,Web Server,1433914905426,1436329198516,no,http://httpd.apache.org/docs/2.4,Apache
74,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1436396400000,1547766000000,no,http://nginx.net/,
75,Cloudflare,,Automatically optimizes the delivery of your web pages so your visitors get the fastest page load times and best performance.,cdn,1436396400000,1636268400000,no,http://www.cloudflare.com/,
76,Cloudflare Hosting,"['US hosting', 'Cloud Hosting', 'Cloud PaaS']",Supercharged web hosting service.,hosting,1437001200000,1636268400000,no,http://cloudflare.com,
77,Cloudflare DNS,,DNS services provided by Cloudflare.,ns,1437001200000,1636268400000,no,http://cloudflare.com,
78,Google Hosted Libraries,,"Google Hosted Libraries is a globally available content distribution network for the most popular, open-source JavaScript libraries.",javascript,1440370800000,1636268400000,no,https://developers.google.com/speed/libraries/,
79,Google Hosted jQuery,,jQuery hoted at Google.,javascript,1440370800000,1636268400000,no,https://developers.google.com/speed/libraries/,Google Hosted Libraries
80,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1443654000000,1636268400000,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
81,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1444690800000,1632553200000,no,http://www.facebook.com/facebook-widgets/share.php,
82,Euro,['Currency'],The website uses the € symbol on its website - meaning it may accept payment in Euros.,payment,1254693600000,1636268400000,no,https://en.wikipedia.org/wiki/Euro,
83,CryptoJS,,CryptoJS is a growing collection of standard and secure cryptographic algorithms implemented in JavaScript using best practices and patterns. ,javascript,1450911600000,1462402800000,no,https://code.google.com/p/crypto-js/,
84,Sentry,,JavaScript bug tracking software through Sentry's javascript client Raven.,javascript,1450911600000,1452121200000,maybe,http://getsentry.com,
85,Pound Sterling,['Currency'],The website uses the £ symbol on its website - meaning it may accept payment in this British currency.,payment,1451516400000,1622098800000,no,https://en.wikipedia.org/wiki/Pound_sign,
86,Cloudflare SSL,,SSL solutions from Cloudflare,ssl,1452121200000,1636268400000,no,http://cloudflare.com,
87,Comodo PositiveSSL,,Comodo Positive SSL certificate.,ssl,1463007600000,1572649200000,no,http://www.positivessl.com/ssl-certificate-positivessl.php,
88,IPv6,,The website has an IPv6 record.,Server,1476486000000,1636268400000,no,http://en.wikipedia.org/wiki/IPv6,
89,jQuery CDN,,The jQuery Amazon S3 Content Delivery Network,cdn,1476140400000,1476140400000,no,http://blog.jquery.com/2008/11/19/cloudfront-cdn-for-jquery/,
90,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1476140400000,1476140400000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
91,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1489446000000,1636268400000,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
92,Facebook Pixel,,Facebook Pixel is Facebooks conversion tracking system for ads on Facebook to websites.,analytics,1489446000000,1636268400000,no,https://www.facebook.com/business/help/952192354843755,
93,jQuery Validate,['jQuery Plugin'],JQuery Form Validation Plugin.,javascript,1496962800000,1496962800000,no,http://jqueryvalidation.org,jQuery
94,Braintree,['Payments Processor'],Braintree is the easiest way to accept payments online and on a mobile app. Owned by PayPal.,payment,1497567600000,1622617200000,maybe,https://www.braintreepayments.com/docs/javascript,
95,Braintree v.zero,,Braintree v.zero is the 2nd generation (version 2) javascript integration from Braintree.,payment,1497567600000,1591743600000,no,https://developers.braintreepayments.com,Braintree
96,Braintree v2,,Version 2 of Braintree Client Side Integration.,payment,1497567600000,1591743600000,no,http://developers.braintreepayments.com,Braintree
97,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1497567600000,1630566000000,no,http://www.php.net,
98,MasterCard,['Payment Acceptance'],The website accepts payments with MasterCard.,payment,1497567600000,1524178800000,no,http://mastercard.com,
99,Visa,['Payment Acceptance'],The website accepts payments with Visa.,payment,1497567600000,1524178800000,no,http://visa.com,
100,American Express,['Payment Acceptance'],The website accepts payments with American Express.,payment,1497567600000,1524178800000,no,http://amex.com,
101,jQuery 1.11.3,,jQuery version 1.11.3,javascript,1506639600000,1636268400000,no,https://blog.jquery.com/2015/04/28/jquery-1-11-3-and-2-1-4-released-ios-fail-safe-edition/,jQuery
102,jQuery Waypoints,,Waypoints is a small jQuery plugin that makes it easy to execute a function whenever you scroll to an element.,javascript,1509490800000,1614931200000,no,http://imakewebthings.github.com/jquery-waypoints/,jQuery
103,Magnific Popup,,Magnific Popup is a responsive lightbox & dialog script.,javascript,1509490800000,1636268400000,no,http://dimsemenov.com/plugins/magnific-popup/,
104,pickadate.js,['jQuery Plugin'],"Mobile-friendly, responsive, and lightweight
jQuery date & time input picker.",javascript,1509490800000,1632553200000,no,http://amsul.ca/pickadate.js/,
105,Facebook Signal,,"Journalists use Signal to surface relevant trends, photos, videos and posts from Facebook and Instagram for use in their storytelling and reporting.",analytics,1514329200000,1604041200000,no,https://www.facebook.com/facebookmedia/get-started/signal,
106,Cart Functionality,['Non Platform'],The site has a link to a shopping cart which is not categorized under any of the cart technologies we track (custom implementation or not tracked yet).,shop,1519858800000,1635058800000,no,http://builtwith.com/ecommerce,
107,IPhone / Mobile Compatible,,The website contains code that allows the page to support IPhone / Mobile Content.,mobile,1526598000000,1636268400000,no,http://apple.com,
108,Apple Pay,['Payment Acceptance'],The website accepts payments with Apple Pay.,payment,1529622000000,1529622000000,no,https://apple.com/apple-pay/,
109,Facebook Conversion Tracking,['Conversion Optimization'],"Conversion tracking functionality from Facebook, allows a user to track advertisement clicks.",analytics,1532818800000,1636268400000,no,http://www.facebook.com/help/?page=994,
110,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1556838000000,1636268400000,no,http://trends.builtwith.com/ssl,
111,Japanese Yen,['Currency'],The website uses the ¥ symbol on its website - meaning it may accept payment in this Japanese currency.,payment,1573772400000,1614672000000,no,https://en.wikipedia.org/wiki/Japanese_yen,
112,jQuery 3.4.1,,jQuery version 3.4.1,javascript,1581030000000,1636268400000,no,https://blog.jquery.com/2019/05/01/jquery-3-4-1-triggering-focus-events-in-ie-and-finding-root-elements-in-ios-10/,jQuery
113,Slick JS,['Animation'],Fully responsive carousel library.,javascript,1581030000000,1636268400000,no,http://kenwheeler.github.io/slick,
114,Global Site Tag,,"Google's primary tag for Google Measurement/Conversion Tracking, Adwords and DoubleClick.",analytics,1582066800000,1636268400000,no,https://support.google.com/adwords/answer/7548399,
115,Google AdWords Conversion,"['Advertiser Tracking', 'Conversion Tracking']",Adwords conversion tracking code.,analytics,1582066800000,1636268400000,no,https://support.google.com/adwords/answer/6095821#get_tag,Google Conversion Tracking
116,Google Conversion Tracking,"['Conversion Optimization', 'Conversion Tracking']","This free tool in AdWords can show you what happens after customers click your ad (for example, whether they purchased your product, called from a mobile phone or downloaded your app).",analytics,1582066800000,1636268400000,no,https://support.google.com/adwords/answer/1722054,
117,Google Remarketing,['Retargeting / Remarketing'],Google code specifically for remarketing/retargeting based advertising.,ads,1582066800000,1604041200000,no,http://www.google.com.au/ads/innovations/remarketing.html,
118,Google Tag Manager,['Tag Management'],Tag management that lets you add and update website tags without changes to underlying website code.,widgets,1582066800000,1636268400000,no,http://google.com/tagmanager,
119,COVID-19,,This website mentions COVID-19 / Novel Coronavirus.,widgets,1585263600000,1635058800000,no,https://www.who.int/emergencies/diseases/novel-coronavirus-2019,
120,core-js,['Framework'],Modular standard library for JavaScript.,javascript,1607846400000,1636268400000,no,https://github.com/zloirock/core-js,
121,Plans and Pricing,,"The website contains a link to a ""Plans"" or ""Pricing"" page - useful for finding SaaS tools.",link,1616223600000,1616223600000,no,https://kb.builtwith.com/special-reports/link-tracking/,
122,reCAPTCHA,['CAPTCHA'],Anti-bot CAPTCHA widget from Google.,widgets,1617346800000,1622617200000,no,https://www.google.com/recaptcha/intro/index.html,
123,Urchin 5,['Audience Measurement'],"Urchin 5 analyzes traffic for one or more websites and provides accurate and easy-to-understand reports on your visitors - where they come from, how they use your site, what converts them into customers, and much more. If you have content behind a security firewall or on an intranet or internal network that prevents you from using the Google Analytics service, Urchin 5 software is for you.",analytics,1065304800000,1065304800000,maybe,http://www.google.com/analytics/urchin_software.html,
124,jQuery 1.3.2,,jQuery version 1.3.2,javascript,1254693600000,1286748000000,no,http://blog.jquery.com/2009/02/20/jquery-1-3-2-released/,jQuery
125,CodeIgniter,,CodeIgniter is a powerful PHP framework with a very small footprint.,framework,1630566000000,1630566000000,no,http://codeigniter.com/,
