,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Apache 2.2,,Apache version 2.2.*,Web Server,1385679600000,1559430000000,no,http://httpd.apache.org/docs/2.2,Apache
1,Google Remarketing,['Retargeting / Remarketing'],Google code specifically for remarketing/retargeting based advertising.,ads,1379286000000,1563577200000,no,http://www.google.com.au/ads/innovations/remarketing.html,
2,jQuery NoConflict,['jQuery Plugin'],Return control of $ back to the other libraries with a call to $.noConflict().,javascript,1379631600000,1427324400000,no,http://api.jquery.com/jQuery.noConflict/,jQuery
3,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1371942000000,1636268400000,no,http://twitter.com/settings/widgets,
4,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1371942000000,1636268400000,no,http://twitter.com/about/resources,
5,Aruba DNS,,DNS Services provided by Aruba.,ns,1359673200000,1581721200000,no,http://aruba.it,
6,GoDaddy Email,['Web Hosting Provider Email'],GoDaddy email provides a personalized address but protection against viruses and spam and includes tools like Calendar.,mx,1367676000000,1415574000000,no,http://www.godaddy.com/email/email-hosting.aspx,
7,GoDaddy,"['Dedicated Hosting', 'Shared Hosting', 'US hosting', 'VPS Hosting']",Global hosting and domain registration provider led by Bob Parsons.,hosting,1362661200000,1427929200000,no,http://www.godaddy.com,
8,mod_pagespeed,,mod_pagespeed is an open-source Apache module that automatically optimizes web pages and resources on them.,Server,1361710800000,1427929200000,no,https://developers.google.com/speed/pagespeed/mod,
9,Google Adsense,['Contextual Advertising'],A contextual advertising solution for delivering Google AdWords ads that are relevant to site content pages.,ads,1361278800000,1405638000000,no,http://google.com/adsense,
10,Google Conversion Tracking,"['Conversion Optimization', 'Conversion Tracking']","This free tool in AdWords can show you what happens after customers click your ad (for example, whether they purchased your product, called from a mobile phone or downloaded your app).",analytics,1361278800000,1563577200000,no,https://support.google.com/adwords/answer/1722054,
11,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1361278800000,1563577200000,no,http://www.doubleclick.com,
12,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1360069200000,1635058800000,no,http://www.huddletogether.com/projects/lightbox/,
13,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1360069200000,1448492400000,no,http://akamai.com,
14,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1360069200000,1427324400000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
15,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1360069200000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
16,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1360069200000,1630911600000,no,http://www.facebook.com,
17,Joomla!,['Open Source'],Joomla! is a Content Management System and Web Application Framework.,cms,1359637200000,1427929200000,no,http://joomla.org,
18,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1359637200000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
