,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Hetzner DNS,,DNS Services provided by Hetzner.,ns,1527980400000,1573426800000,no,http://hetzner.de,
1,Hetzner,"['Dedicated Hosting', 'German hosting']",German based dedicated and virtual hosting running on 100% green energy.,hosting,1531436400000,1573426800000,no,http://www.hetzner.de,
2,DigiCert SSL,['Root Authority'],Certificate provided by DigiCert.,ssl,1531436400000,1531436400000,no,http://www.digicert.com/,
3,RapidSSL,,RapidSSL certificate provider.,ssl,1531436400000,1531436400000,no,http://rapidssl.com,
4,ASP.NET,,"ASP.NET is a web application framework marketed by Microsoft that programmers can use to build dynamic web sites, web applications and XML web services. It is part of Microsoft's .NET platform and is the successor to Microsoft's Active Server Pages (ASP) technology.",framework,1598338800000,1616137200000,no,http://www.asp.net,
5,IIS,,This website is running on a Microsoft IIS Server solution.,Web Server,1598338800000,1616137200000,no,http://www.microsoft.com/servers/home.mspx,
6,IIS 8,,Internet-based services for servers using Microsoft Windows.,Web Server,1598338800000,1616137200000,no,http://www.iis.net,IIS
7,Classic ASP,,"Active Server Pages (ASP) is a server-side scripting environment that you can use to create and run dynamic, interactive Web server applications.",framework,1598338800000,1616137200000,no,http://msdn.microsoft.com/en-us/library/aa286483.aspx,
8,Aruba,"['Cloud Hosting', 'Dedicated Hosting', 'Italian hosting']","Italian web hosting company with cloud, dedicated and shared hosting.",hosting,1598338800000,1616137200000,no,http://aruba.it,
9,Aruba DNS,,DNS Services provided by Aruba.,ns,1598338800000,1616137200000,no,http://aruba.it,
10,GoDaddy,"['Dedicated Hosting', 'Shared Hosting', 'US hosting', 'VPS Hosting']",Global hosting and domain registration provider led by Bob Parsons.,hosting,1621926000000,1621926000000,no,http://www.godaddy.com,
11,GoDaddy DNS,,DNS services provided by GoDaddy.,ns,1621926000000,1621926000000,no,http://godaddy.com,
12,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1625814000000,1633244400000,no,http://trends.builtwith.com/ssl,
13,WordPress 5.7,,WordPress version 5.7.*,cms,1625814000000,1632898800000,no,http://codex.wordpress.org/Version_5.7,WordPress
14,Google Analytics 4,,Google Analytics 4 formerly known as App + Web is a new version of Google Analytics that was released in October 2020.,analytics,1625814000000,1632898800000,no,https://support.google.com/analytics/answer/10089681?hl=en,Google Analytics
15,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1625814000000,1633158000000,no,http://jquery.com,jQuery
16,Wordpress Plugins,,Plugins are tools to extend the functionality of WordPress. The website uses various plugins from WordPress to provide additional functionality. Some of them may be listed here.,widgets,1625814000000,1632898800000,no,http://codex.wordpress.org/Plugins,
17,WordPress,"['Open Source', 'Blog']","WordPress is a state-of-the-art semantic personal publishing platform with a focus on aesthetics, web standards, and usability.",cms,1625814000000,1633158000000,no,http://wordpress.org,
18,Apple Mobile Web Clips Icon,,"This page contains an icon for iPhone, iPad and iTouch devices.",mobile,1625814000000,1632898800000,no,http://developer.apple.com/library/iOS/#documentation/AppleApplications/Reference/SafariWebContent/ConfiguringWebApplications/ConfiguringWebApplications.html,
19,Live Writer Support,,Windows Live Writer Tagging Support Schema,feeds,1625814000000,1632898800000,no,http://windowslivewriter.spaces.live.com,
20,Contact Form 7,['Feedback Forms and Surveys'],"Specifically designed for wordpress blogs. Contact Form 7 can manage multiple contact forms, plus you can customize the form and the mail contents flexibly with simple markup.",widgets,1625814000000,1632898800000,no,http://wordpress.org/extend/plugins/contact-form-7/,
21,Cookie Consent by Osano,['Privacy Compliance'],Popular solution for the EU cookie law. Previously Insites Cookie Consent and Silktide Cookie Consent.,widgets,1625814000000,1632898800000,no,https://cookieconsent.osano.com,
22,Silktide Cookie Consent,,"A free, open source solution to the EU cookie law. Now known as Cookie Consent by Insites.",widgets,1625814000000,1632898800000,no,http://silktide.com/cookieconsent,
