,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery Accordion,"['jQuery Plugin', 'UI']",Accordion element of jQuery UI.,javascript,1442444400000,1454972400000,no,http://jqueryui.com/accordion/,jQuery
1,jQuery Validation Engine,['jQuery Plugin'],jQuery validation engine is a Javascript plugin aimed at the validation of form fields in the browser.,javascript,1442444400000,1454972400000,no,https://github.com/posabsolute/jQuery-Validation-Engine,jQuery
2,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1372806000000,1515625200000,no,http://geotrust.com,
3,GeoTrust QuickSSL Premium,,Premium SSL solutions from GeoTrust.,ssl,1372806000000,1447196400000,no,http://www.geotrust.com/ssl/ssl-certificates-premium/,
4,GeoTrust QuickSSL,,QuickSSL has been replaced with QuickSSL Premium to give you more for the same low price.,ssl,1372806000000,1447196400000,no,http://www.geotrust.com/ssl/ssl-certificates-premium/,
5,MDG IT,['Australian hosting'],Australian Magento specialist hosting.,hosting,1367676000000,1488582000000,no,http://www.mdg-it.com.au/,
6,Highslide,,Highslide JS is a piece of JavaScript that streamlines the use of thumbnail images on web pages.,javascript,1442444400000,1494025200000,no,http://www.highslide.com/,
7,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1442444400000,1494025200000,no,http://www.google.com/webmasters/,
8,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1442444400000,1633158000000,no,http://developers.facebook.com/docs/reference/javascript/,
9,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1442444400000,1543791600000,no,http://httpd.apache.org/,
10,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1442444400000,1507244400000,no,http://www.php.net,
11,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1442444400000,1633158000000,no,https://fonts.google.com,
12,Prototype,['JavaScript Library'],Prototype is a javascript framework which aims to ease development of dynamic web applications.,javascript,1442444400000,1543791600000,no,http://www.prototypejs.org,
13,script.aculo.us,['JavaScript Library'],"script.aculo.us provides you with easy-to-use, cross-browser user interface JavaScript libraries to make your web sites and web applications fly.",javascript,1442444400000,1543791600000,no,http://script.aculo.us/,
14,Magento,['Open Source'],Hosted and self hosted eCommerce CMS system. Owned by Adobe.,shop,1442444400000,1543791600000,yes,http://www.magentocommerce.com/,
15,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1442444400000,1633158000000,no,http://jquery.com,jQuery
16,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1442444400000,1633158000000,no,http://fancybox.net/,
17,JCarousel,"['jQuery Plugin', 'Slider']",jCarousel is a jQuery plugin for controlling a list of items in horizontal or vertical order.,javascript,1442444400000,1494025200000,no,http://sorgalla.com/jcarousel/,
18,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1442444400000,1494025200000,no,http://jquery.malsup.com/cycle/,jQuery
19,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1442444400000,1494025200000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
20,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1442444400000,1630825200000,no,http://developers.facebook.com/,
21,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1367157600000,1470870000000,no,http://akamai.com,
