,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Dublin Core,,The website contains dublin core meta data extensions.,feeds,1558566000000,1633762800000,no,http://dublincore.org,
1,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1558566000000,1633762800000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
2,IPhone / Mobile Compatible,,The website contains code that allows the page to support IPhone / Mobile Content.,mobile,1558566000000,1633762800000,no,http://apple.com,
3,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1558566000000,1633762800000,no,https://fonts.google.com,
4,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1558566000000,1633762800000,no,http://fontawesome.io,
5,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1558566000000,1633762800000,no,http://jquery.com,jQuery
6,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1558566000000,1633762800000,no,http://fancybox.net/,
7,Facebook Pixel,,Facebook Pixel is Facebooks conversion tracking system for ads on Facebook to websites.,analytics,1558566000000,1633762800000,no,https://www.facebook.com/business/help/952192354843755,
8,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1558566000000,1633762800000,no,http://developers.facebook.com/,
9,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1558566000000,1633762800000,no,http://developers.facebook.com/docs/reference/javascript/,
10,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1558566000000,1633762800000,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
11,Facebook Conversion Tracking,['Conversion Optimization'],"Conversion tracking functionality from Facebook, allows a user to track advertisement clicks.",analytics,1558566000000,1633762800000,no,http://www.facebook.com/help/?page=994,
12,Global Site Tag,,"Google's primary tag for Google Measurement/Conversion Tracking, Adwords and DoubleClick.",analytics,1558566000000,1633762800000,no,https://support.google.com/adwords/answer/7548399,
13,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1558566000000,1633762800000,no,http://google.com/analytics,
14,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1558566000000,1632294000000,no,http://youtube.com,
15,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1558566000000,1633762800000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
16,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1558566000000,1633762800000,no,http://www.facebook.com,
17,Popper.js,,A library to manage your pop ups.,javascript,1558566000000,1577142000000,no,https://popper.js.org/,
18,Slick JS,['Animation'],Fully responsive carousel library.,javascript,1558566000000,1633762800000,no,http://kenwheeler.github.io/slick,
19,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1558566000000,1633762800000,no,https://github.com/carhartl/jquery-cookie,jQuery
20,Cloudflare,,Automatically optimizes the delivery of your web pages so your visitors get the fastest page load times and best performance.,cdn,1558566000000,1633762800000,no,http://www.cloudflare.com/,
21,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1558566000000,1632294000000,no,http://trends.builtwith.com/ssl,
22,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1558566000000,1633762800000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
23,Facebook Signal,,"Journalists use Signal to surface relevant trends, photos, videos and posts from Facebook and Instagram for use in their storytelling and reporting.",analytics,1558566000000,1611388800000,no,https://www.facebook.com/facebookmedia/get-started/signal,
24,Bootstrap.js,['JavaScript Library'],Twitter Bootstrap JS components.,javascript,1558566000000,1558566000000,no,https://getbootstrap.com/javascript/,
25,Classic ASP,,"Active Server Pages (ASP) is a server-side scripting environment that you can use to create and run dynamic, interactive Web server applications.",framework,1558566000000,1632294000000,no,http://msdn.microsoft.com/en-us/library/aa286483.aspx,
26,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1558566000000,1558566000000,no,https://google.com,
27,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1558566000000,1632294000000,no,http://www.doubleclick.com,
28,Google Tag Manager,['Tag Management'],Tag management that lets you add and update website tags without changes to underlying website code.,widgets,1558566000000,1633762800000,no,http://google.com/tagmanager,
29,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1558566000000,1632294000000,no,http://www.openspf.org/,
30,Facebook Domain Verification,,Domain Verification provides a way for you to claim ownership of your domain in Facebook Business Manager.,framework,1558566000000,1635490800000,no,https://developers.facebook.com/docs/sharing/domain-verification/,
31,Cloudflare DNS,,DNS services provided by Cloudflare.,ns,1558566000000,1632294000000,no,http://cloudflare.com,
32,Cloudflare Hosting,"['US hosting', 'Cloud Hosting', 'Cloud PaaS']",Supercharged web hosting service.,hosting,1558566000000,1632294000000,no,http://cloudflare.com,
