,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Modernizr 2.5,,Modernizr version 2.5.*,javascript,1385679600000,1397862000000,no,http://modernizr.com/news/modernizr-25/,Modernizr
1,WordPress 3.6,,WordPress version 3.6.*,cms,1385679600000,1389567600000,no,http://codex.wordpress.org/Version_3.6,WordPress
2,jQuery 1.7.2,,jQuery version 1.7.2,javascript,1385074800000,1397862000000,no,http://blog.jquery.com/2012/03/21/jquery-1-7-2-released/,jQuery
3,Mandrill,['Transactional Email'],Mandrill is an email infrastructure service. Detailed analytics offer insight to measure email performance.,mx,1384297200000,1456354800000,yes,http://mandrill.com/,
4,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1379286000000,1600585200000,no,http://comodo.com,
5,Comodo EV,['Extended Validation'],Comodo Extended Validation (EV) SSL certificates.,ssl,1379286000000,1579215600000,yes,http://ssl.comodo.com/ev-ssl-certificates.php,Comodo SSL
6,Yoast Plugins,['WordPress Plugins'],SEO based plugins from Yoast.,widgets,1348668000000,1636268400000,no,http://yoast.com/wordpress/seo/,
7,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1348668000000,1636095600000,no,http://www.modernizr.com,
8,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1346940000000,1636095600000,no,http://www.google.com/webmasters/,
9,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1341496800000,1636095600000,no,https://github.com/afarkas/html5shiv,
10,Pingback Support,,"A Pingback is one of three types of Linkbacks, methods for Web authors to request notification when somebody links to one of their documents.",feeds,1341496800000,1636095600000,no,http://en.wikipedia.org/wiki/Pingback,
11,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1341496800000,1427238000000,no,http://developers.facebook.com/docs/reference/plugins/like,
12,Really Simple Discovery,,"Really Simple Discovery is a way to help client software find the services needed to read, edit, or ""work with"" weblogging software.",feeds,1341496800000,1636268400000,no,http://cyber.law.harvard.edu/blogs/gems/tech/rsd.html,
13,Live Writer Support,,Windows Live Writer Tagging Support Schema,feeds,1341496800000,1636268400000,no,http://windowslivewriter.spaces.live.com,
14,WordPress,"['Open Source', 'Blog']","WordPress is a state-of-the-art semantic personal publishing platform with a focus on aesthetics, web standards, and usability.",cms,1341496800000,1636268400000,no,http://wordpress.org,
15,W3 Total Cache,,The fastest and most complete WordPress performance optimization plugin.,widgets,1341496800000,1397862000000,no,http://www.w3-edge.com/wordpress-plugins/w3-total-cache/,
16,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1324213200000,1633158000000,no,http://www.php.net,
17,Matomo,"['Audience Measurement', 'Conversion Optimization', 'Site Optimization']","Matomo is an open source web analytics software. It gives interesting reports on your website visitors, your popular pages, the search engines keywords they used, the language they speak and so much more. Previously known as Piwik Web Analytics.",analytics,1323003600000,1636095600000,no,http://matomo.org,
18,Firebug Lite,,Javascript-only browser independent light version of the Firebug web site debugger Firefox extension.,javascript,1320584400000,1338472800000,no,http://getfirebug.com/lite.html,
19,Adobe Dreamweaver,,"Based on the use of certain javascript functions, this page contains code generated, at least initially, by Dreamweaver.",framework,1044172800000,1296478800000,no,http://www.adobe.com/products/dreamweaver,
20,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1296478800000,1636095600000,no,http://nginx.net/,
21,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1254380400000,1636268400000,no,http://code.google.com/apis/ajaxlibs/documentation/,
22,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1254380400000,1636268400000,no,http://jquery.com,jQuery
23,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1254380400000,1400454000000,no,http://jquery.malsup.com/cycle/,jQuery
24,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1254380400000,1636095600000,no,http://jqueryui.com/,jQuery
25,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1167811200000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
26,CSS Browser Selector,,CSS Browser selector hack.,javascript,1254380400000,1400454000000,no,http://rafael.adm.br/css_browser_selector/,
27,Flash Object,,A javascript library for embedding Flash Objects.,javascript,1167811200000,1400454000000,no,http://blog.deconcept.com/2006/01/17/flashobject-1-3-released/,
28,jQuery Colorbox,['jQuery Plugin'],"A light-weight, customizable lightbox plugin for jQuery.",javascript,1286262000000,1400454000000,no,http://colorpowered.com/colorbox/,jQuery
29,Twitter Widget,,"Adds twitter to the website, this includes the user of a twitter badge, blogger JavaScript or anything from widgets.twimg.com.",widgets,1286262000000,1361710800000,no,http://twitter.com,
30,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1286262000000,1590793200000,no,http://twitter.com,
31,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1254380400000,1636268400000,no,http://google.com/analytics,
32,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1294059600000,1603177200000,no,http://httpd.apache.org/,
33,CentOS,,CentOS is an Enterprise-class Linux Distribution derived from sources freely provided to the public by a prominent North American Enterprise Linux vendor.  CentOS conforms fully with the upstream vendors redistribution policy and aims to be 100% binary compatible.,Server,1294059600000,1527894000000,no,http://centos.org,
34,WordPress 3.8,,WordPress version 3.8.*,cms,1393196400000,1400713200000,no,http://codex.wordpress.org/Version_3.8,WordPress
35,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1397862000000,1636268400000,no,http://www.openspf.org/,
36,SimpleModal,,SimpleModal is a lightweight jQuery Plugin which provides a powerful interface for modal dialog development.,javascript,1399503600000,1488841200000,no,http://www.ericmmartin.com/projects/simplemodal/,
37,Modernizr 2.6,,Modernizr version 2.6.*,javascript,1399503600000,1636095600000,no,http://modernizr.com/news/modernizr-260/,Modernizr
38,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1399503600000,1488841200000,no,https://github.com/carhartl/jquery-cookie,jQuery
39,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1399503600000,1636268400000,no,http://trends.builtwith.com/ssl,
40,yepnope,,yepnope is an asynchronous conditional resource loader that allows you to load only the scripts that your users need.,javascript,1399503600000,1636095600000,no,http://yepnopejs.com/,
41,Google Remarketing,['Retargeting / Remarketing'],Google code specifically for remarketing/retargeting based advertising.,ads,1400454000000,1624431600000,no,http://www.google.com.au/ads/innovations/remarketing.html,
42,Google Adsense,['Contextual Advertising'],A contextual advertising solution for delivering Google AdWords ads that are relevant to site content pages.,ads,1400454000000,1406678400000,no,http://google.com/adsense,
43,Google Conversion Tracking,"['Conversion Optimization', 'Conversion Tracking']","This free tool in AdWords can show you what happens after customers click your ad (for example, whether they purchased your product, called from a mobile phone or downloaded your app).",analytics,1400454000000,1624431600000,no,https://support.google.com/adwords/answer/1722054,
44,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1400454000000,1636268400000,no,http://www.doubleclick.com,
45,Wordpress 3.9,,WordPress Version 3.9.*,cms,1401318000000,1410476400000,no,http://make.wordpress.org/core/version-3-9-project-schedule/,WordPress
46,Yoast WordPress SEO Plugin,['WordPress Plugins'],"Functionality that helps you optimize your pages content, images titles, meta descriptions and more.",widgets,1405551600000,1636268400000,no,https://yoast.com/wordpress/plugins/seo/,Yoast Plugins
47,Yoast Google Analytics for WordPress,['WordPress Plugins'],WordPress plugin from Yoast to handle Google Analytics integration.,widgets,1405551600000,1421881200000,no,https://yoast.com/wordpress/plugins/google-analytics/,Yoast Plugins
48,WordPress 4.0,,WordPress version 4.0.*,cms,1410994800000,1420671600000,no,http://codex.wordpress.org/Version_4.0,WordPress
49,ReadSpeaker,,Online text to speech application.,widgets,1254380400000,1636095600000,maybe,http://readspeaker.com,
50,Mobile Non Scaleable Content,,"This content is formatted for mobile devices, it does not allow the content to be scaled.",mobile,1413331200000,1636095600000,no,http://developer.apple.com/library/safari/#documentation/appleapplications/reference/SafariHTMLRef/Articles/MetaTags.html,
51,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1413331200000,1636268400000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
52,Wordpress 4.1,,WordPress version 4.1.*,cms,1421276400000,1472425200000,no,http://codex.wordpress.org/Version_4.1,WordPress
53,Sitelinks Search Box,['Site Search'],"With Google sitelinks search box, people can reach your content more quickly from search results.",widgets,1429694721212,1636268400000,no,https://developers.google.com/webmasters/richsnippets/sitelinkssearch?utm_source=wmc-blog&utm_medium=direct-referral&utm_campaign=sitelinks-searchbox,
54,Wordpress 4.2,,WordPress version 4.2.*,cms,1430289461729,1439420400000,no,http://codex.wordpress.org/Version_4.2,WordPress
55,Twemoji,,Twitter Emoji for Everyone,widgets,1432598400000,1636095600000,no,https://github.com/twitter/twemoji,
56,Wordpress 4.3,,WordPress version 4.3.*,cms,1440370800000,1452063554778,no,http://codex.wordpress.org/Version_4.3,WordPress
57,MSN/Bing Webmaster,,Site registered at MSN/Bing Webmaster.,Web Master,1445468400000,1636095600000,no,http://webmaster.live.com,
58,TransIP DNS,,DNS services from Dutch based VPS Hosting provider,ns,1447196400000,1529362800000,no,http://transip.eu,
59,Backbone.js,['JavaScript Library'],Backbone supplies structure to JavaScript-heavy applications.,javascript,1447977600000,1636095600000,no,http://backbonejs.org/,
60,Yoast SEO Premium,['WordPress Plugins'],Premium version of the Yoast WordPress Plugin.,widgets,1447196400000,1636268400000,yes,https://yoast.com/wordpress/plugins/seo-premium/,Yoast WordPress SEO Plugin
61,Wordpress 4.4,,WordPress version 4.4.*,cms,1452121200000,1461106800000,no,http://codex.wordpress.org/Version_4.4,WordPress
62,MailJet,['Transactional Email'],Mailjet is a real-time Cloud Emailing platform.,mx,1455750000000,1636268400000,yes,http://www.mailjet.com/,
63,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1459897200000,1636095600000,no,http://www.facebook.com/facebook-widgets/share.php,
64,Typekit,,Typekit is the easiest way to use real fonts on the web. It's a subscription-based service for linking to high-quality Open Type fonts from some of the world's best type foundries.,widgets,1459897200000,1459897200000,no,http://typekit.com,
