,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,nginx 1.4,,nginx version 1.4.*,Web Server,1385679600000,1397862000000,no,http://nginx.org/en/CHANGES-1.4,nginx
1,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1374274800000,1614758400000,no,http://twitter.com/about/resources,
2,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1370559600000,1428364800000,no,http://developers.facebook.com/docs/reference/plugins/like,
3,Softlayer,"['Dedicated Hosting', 'Cloud Hosting', 'US hosting']","Dedicated, managed and cloud based web hosting provider.",hosting,1361451600000,1397862000000,no,http://www.softlayer.com,
4,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1343916000000,1636182000000,no,http://developers.facebook.com/,
5,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1343916000000,1636268400000,no,http://www.google.com/webmasters/,
6,Fonts.com,['Fonts'],Uses web fonts from fonts.com.,widgets,1343916000000,1488582000000,no,http://www.fonts.com,
7,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1343916000000,1572217200000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
8,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1343916000000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
9,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1343916000000,1633158000000,no,http://www.php.net,
10,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1343916000000,1491865200000,no,http://nginx.net/,
11,Brightcove,"['Digital Video Ads', 'Enterprise', 'Live Stream / Webcast', 'Online Video Platform', 'Video Analytics', 'Video Players']",Brightcove lets you realize the potential of online video with the most comprehensive Internet TV service available today,media,1320584400000,1320584400000,maybe,http://brightcove.com,
12,Flickr Slideshow,,Adds a Flickr slideshow to The website,widgets,1307282400000,1455750000000,no,http://flickr.com,
13,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1307282400000,1330779600000,no,http://www.macromedia.com/software/flash/about/,
