,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Modernizr 2.6,,Modernizr version 2.6.*,javascript,1388098800000,1411599600000,no,http://modernizr.com/news/modernizr-260/,Modernizr
1,Apache 2.2,,Apache version 2.2.*,Web Server,1385679600000,1425510000000,no,http://httpd.apache.org/docs/2.2,Apache
2,OpenSSL 1.0.0,,OpenSSL version 1.0.0,Server,1385679600000,1425510000000,no,http://www.openssl.org,OpenSSL
3,mod_ssl 2.2.17,,mod_ssl version 2.2.17,Server,1385679600000,1425510000000,no,http://httpd.apache.org/docs/2.2/mod/mod_ssl.html,mod_ssl
4,jQuery 1.7.2,,jQuery version 1.7.2,javascript,1385074800000,1411599600000,no,http://blog.jquery.com/2012/03/21/jquery-1-7-2-released/,jQuery
5,Thawte SSL,['Root Authority'],Certificated provided by Thawte.,ssl,1372806000000,1417042800000,no,http://thawte.com,
6,Twitter Embedded Tweets,,Embedded Tweet feature allows websites to generate copy and paste-able HTML markup to render a Tweet on any third-party website.,widgets,1367676000000,1636268400000,no,https://dev.twitter.com/docs/embedded-tweets,
7,Brightcove,"['Digital Video Ads', 'Enterprise', 'Live Stream / Webcast', 'Online Video Platform', 'Video Analytics', 'Video Players']",Brightcove lets you realize the potential of online video with the most comprehensive Internet TV service available today,media,1365080400000,1414281600000,maybe,http://brightcove.com,
8,CDN JS,,CloudFlare's CDN with popular javascript frameworks available.,cdn,1363698000000,1401235200000,no,http://cdnjs.com,
9,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1363698000000,1411599600000,no,http://www.modernizr.com,
10,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1360069200000,1615017600000,no,http://twitter.com/about/resources,
11,JW Player,['Video Players'],The JW Player has evolved through the history of online video since the time Jeroen wrote the first version in 2005. The experience we have developed over those years are built into the JW Player.,media,1360069200000,1472079600000,no,http://www.longtailvideo.com/players/,
12,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1360069200000,1523660400000,no,http://twitter.com,
13,comScore,"['Advertiser Tracking', 'Audience Measurement', 'Conversion Optimization', 'Site Optimization', 'Visitor Count Tracking']",Market research company that studies internet trends and behavior.,analytics,1360069200000,1472079600000,no,http://www.comscore.com,
14,LongTail Video,"['Digital Video Ads', 'Enterprise', 'Online Video Platform', 'Video Players']",LongTail Video hosted video solution - Bits on the Run.,media,1360069200000,1429743600000,yes,http://www.longtailvideo.com,
15,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1357477200000,1630220400000,no,http://www.huddletogether.com/projects/lightbox/,
16,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1354798800000,1389913200000,no,http://www.php.net,
17,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1343570400000,1465426800000,no,http://code.google.com/apis/ajaxlibs/documentation/,
18,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1343570400000,1636268400000,no,http://jquery.com,jQuery
19,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1343570400000,1388703600000,no,https://github.com/carhartl/jquery-cookie,jQuery
20,CookieCuttr,,Functionality to allow the website to work with EU Cookie law.,javascript,1343570400000,1388703600000,no,http://cookiecuttr.com/,
21,Sitestat,['Audience Measurement'],Sitestat is the professional version of nedstat free analytics tool. Now owned by comScore.,analytics,1341496800000,1472079600000,maybe,http://www.nedstat.com/web/nedstatuk.nsf/pages/sitestat_web_analytics,
22,DAV,,"WebDAV stands for ""Web-based Distributed Authoring and Versioning"". It is a set of extensions to the HTTP protocol which allows users to collaboratively edit and manage files on remote web servers.",framework,1315144800000,1425510000000,no,http://www.webdav.org/,
23,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1294059600000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
24,Atom,,Atom Syndication Format is an XML language used for web feeds very similar to RSS.,feeds,1294059600000,1636268400000,no,http://en.wikipedia.org/wiki/Atom_%28standard%29,
25,MooTools,['JavaScript Library'],"MooTools is a compact, modular, Object-Oriented JavaScript framework designed for the intermediate to advanced JavaScript developer. It allows you to write powerful, flexible and cross-browser code with its elegant, well documented and coherent API.",javascript,1294059600000,1614931200000,no,http://mootools.net/,
26,Joomla!,['Open Source'],Joomla! is a Content Management System and Web Application Framework.,cms,1294059600000,1633417200000,no,http://joomla.org,
27,cufón,,sIFR replacement cufon with simpler and easier to use functionality. Shows fonts in a nice format.,javascript,1294059600000,1636268400000,no,http://wiki.github.com/sorccu/cufon/about,
28,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1294059600000,1614931200000,no,http://www.macromedia.com/software/flash/about/,
29,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1294059600000,1633417200000,no,http://google.com/analytics,
30,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1294059600000,1490655600000,no,http://httpd.apache.org/,
31,Unix,,A *nix based operating system (undisclosed).,Server,1294059600000,1425510000000,no,,
32,Frontpage Extensions,,A web site administration tool from Microsoft for the Microsoft Windows line of operating systems. It was part of Microsoft Office application suite from 1997 to 2003. ,framework,1294059600000,1348668000000,no,http://en.wikipedia.org/wiki/FrontPage_Server_Extensions,
33,mod_ssl,,This module provides strong cryptography for the Apache 1.3 webserver via the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols,Server,1294059600000,1425510000000,no,http://www.modssl.org/,
34,OpenSSL,,"The OpenSSL Project is a collaborative effort to develop a robust, commercial-grade, full-featured, and Open Source toolkit implementing the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols as well as a full-strength general purpose cryptography library.",Server,1294059600000,1425510000000,no,http://openssl.org,
35,Eatserver.nl,['Dutch hosting'],Network infrastructure from Eatserver.nl based in Netherlands.,hosting,1345730400000,1490655600000,no,http://eatserver.nl,
36,MediaElement.js,['Video Players'],HTML5 audio and video players in pure HTML and CSS.,media,1389222000000,1633417200000,no,http://mediaelementjs.com/,
37,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1392937200000,1633417200000,no,http://youtube.com,
38,Varnish,,Varnish is a web accelerator / reverse proxy caching server.,Web Server,1392937200000,1490914800000,no,http://varnish-software.com/,
39,jQuery Marquee,['jQuery Plugin'],Adds an annoying Marquee feature to text like it was 1995 again.,javascript,1394665200000,1443603181812,no,http://remysharp.com/2008/09/10/the-silky-smooth-marquee/,jQuery
40,Google Analytics Anonymize IP,,Tell Google Analytics to anonymize the information sent by the tracker objects by removing the last octet of the IP address prior to its storage.,analytics,1395874800000,1440559972629,no,http://code.google.com/apis/analytics/docs/gaJS/gaJSApi_gat.html,Google Analytics
41,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1397084400000,1636268400000,no,http://www.openspf.org/,
42,AddThis,"['Social Sharing', 'Bookmarking']",Widgets that allow visitors to save and promote the site.,widgets,1397084400000,1470265200000,no,http://addthis.com,
43,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1401235200000,1430265600000,no,http://www.appnexus.com/,
44,Dstillery,"['Ad Network', 'Audience Targeting']",Building custom audiences using brand loyalists and their strongest online connections.  Previously known as Media6Degrees.,ads,1401235200000,1447977600000,no,http://media6degrees.com,
45,Slick,,Standalone CSS Selector Parser and Engine from MooTools.,javascript,1409785200000,1443049200000,no,https://github.com/mootools/slick,
46,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1410652800000,1633417200000,no,https://google.com,
