,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1384297200000,1453852800000,no,http://newrelic.com/,
1,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1381705200000,1486767600000,no,http://plugins.jquery.com/once/,jQuery
2,Linode DNS,,DNS services provided by Linode.,ns,1376866800000,1538694000000,no,http://linode.com,
3,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1369922400000,1397862000000,no,https://github.com/carhartl/jquery-cookie,jQuery
4,jQuery Form,['jQuery Plugin'],jQuery Form Plugin allows you to easily and unobtrusively upgrade HTML forms to use AJAX.,javascript,1369922400000,1485298800000,no,http://jquery.malsup.com/form/,jQuery
5,Linode,"['VPS Hosting', 'US hosting']",VPS hosting company specializing in Linux hosting.,hosting,1369922400000,1538694000000,no,http://linode.com,
6,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1364302800000,1409785200000,no,http://developers.facebook.com/docs/reference/plugins/like,
7,WebFont Loader,,"WebFont Loader gives you added control when using linked fonts via @font-face, from Typekit.",javascript,1364302800000,1635404400000,no,https://github.com/typekit/webfontloader,
8,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1364302800000,1588633200000,no,http://akamai.com,
9,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1364302800000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
10,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1364302800000,1608364800000,no,http://www.facebook.com,
11,Facebook Graph API,,This site has content that utilizes the Facebook Graph API,javascript,1364302800000,1438214400000,no,http://developers.facebook.com/docs/api,
12,Datalogix,"['Advertiser Tracking', 'Conversion Optimization']",Leverages the power of purchase-based audience targeting to drive measurable online and offline sales,analytics,1364302800000,1485990000000,no,http://datalogix.com,
13,Resonate Insights,,Resonate Insights drives media plans that ensure messages reach the right people at the right time,ads,1364302800000,1462143600000,no,http://www.resonateinsights.com/,
14,Atlas,"['Ad Analytics', 'Ad Server', 'Digital Video Ads', 'Search']","High end provider of advertising solutions, using by 9 of the top 10 global brands and 7 of the top 10 global advertisement agencies. Owned by the Microsoft Corporation.",ads,1364302800000,1364302800000,no,http://www.atlassolutions.com/,
15,Invite Media,['Advertiser Tracking'],"Automatically buy from multiple ad exchanges in real-time, all through the same interface.",analytics,1364302800000,1364302800000,no,http://invitemedia.com,
16,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1364302800000,1636268400000,no,http://www.doubleclick.com,
17,DemDex,"['Audience Targeting', 'Multi-Channel']","Demdex's turn-key audience management solutions make implementing a dynamic, multi-channel data strategy cost-effective and easy. Now known as Adobe Audience Manager.",ads,1364302800000,1485990000000,no,http://www.demdex.com/,
18,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1364302800000,1485990000000,no,http://www.appnexus.com/,
19,AOL-Time Warner Online Advertising,,The website uses AOL-Time Warner Advertising Network,ads,1364302800000,1364302800000,no,http://aol.com,
