,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,mod_ssl 2.2.16,,mod_ssl version 2.2.16,Server,1385679600000,1400540400000,no,http://httpd.apache.org/docs/2.2/mod/mod_ssl.html,mod_ssl
1,Apache 2.2,,Apache version 2.2.*,Web Server,1385679600000,1518735600000,no,http://httpd.apache.org/docs/2.2,Apache
2,OpenSSL 0.9.8,,OpenSSL version 0.9.8,Server,1385679600000,1400540400000,no,http://www.openssl.org,OpenSSL
3,jQuery NoConflict,['jQuery Plugin'],Return control of $ back to the other libraries with a call to $.noConflict().,javascript,1384297200000,1622098800000,no,http://api.jquery.com/jQuery.noConflict/,jQuery
4,jQuery Tooltip,,jQuery Tooltip plugin let's you transform native tooltips into customizable overlays.,javascript,1384297200000,1454972400000,no,http://bassistance.de/jquery-plugins/jquery-plugin-tooltip/,jQuery
5,SSL.com,['Root Authority'],Certificate provided by SSL.com,ssl,1380236400000,1380236400000,no,http://ssl.com,
6,Facebook Domain Insights,['Social Management'],This website contains tracking information that allows admins to see Facebook Insights out of Facebook to this domain.,analytics,1379286000000,1559430000000,no,http://www.facebook.com/insights/,
7,Tiny MCE,,TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor control released as Open Source under LGPL by Moxiecode Systems AB.,widgets,1379286000000,1590966000000,no,http://tinymce.moxiecode.com/,
8,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1379286000000,1636268400000,no,http://jqueryui.com/,jQuery
9,jQuery Autocomplete,,"Autocomplete an input field to enable users quickly finding and selecting some value, leveraging searching and filtering.",javascript,1379286000000,1454972400000,no,http://docs.jquery.com/Plugins/autocomplete,jQuery
10,ShareThis,"['Bookmarking', 'Social Sharing']","One button sharing - quick sharing to MySpace, Email and more!",widgets,1379286000000,1507244400000,no,http://sharethis.com,
11,jQuery Form,['jQuery Plugin'],jQuery Form Plugin allows you to easily and unobtrusively upgrade HTML forms to use AJAX.,javascript,1379286000000,1501282800000,no,http://jquery.malsup.com/form/,jQuery
12,jQuery Validate,['jQuery Plugin'],JQuery Form Validation Plugin.,javascript,1379286000000,1407970800000,no,http://jqueryvalidation.org,jQuery
13,jQuery Mousewheel,['jQuery Plugin'],Adds mouse wheel support to the web site.,javascript,1379286000000,1454972400000,no,http://plugins.jquery.com/project/mousewheel,jQuery
14,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1372806000000,1634626800000,no,http://geotrust.com,
15,RapidSSL,,RapidSSL certificate provider.,ssl,1372806000000,1531436400000,no,http://rapidssl.com,
16,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1369922400000,1615017600000,no,http://developers.facebook.com/docs/reference/plugins/like,
17,Python,,"Python is a dynamic object-oriented programming language that can be used for many kinds of software development. It offers strong support for integration with other languages and tools, comes with extensive standard libraries, and can be learned in a few days. ",framework,1364302800000,1364302800000,no,http://www.python.org,
18,SiteHost,['Dedicated Hosting'],New Zealand based dedicated and co-location services.,hosting,1364302800000,1636268400000,no,http://sitehost.co.nz,
19,Google Custom Search,['Site Search'],"Have a website or collection of sites you'd like to search over? With Custom Search Engine, you can harness the power of Google to create a search engine tailored to your needs.",widgets,1364302800000,1518735600000,no,http://google.com/coop/cse/,
20,Google JS Api,,Use the Google Loader API. Also see Google API for more generic calls to Google.,javascript,1364302800000,1413331200000,no,https://developers.google.com/loader/,
21,Google API,,The website uses some form of Google APIs to provide interaction with the many API's Google Providers.,javascript,1364302800000,1636268400000,no,http://code.google.com,
22,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1364302800000,1634626800000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
23,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1364302800000,1632553200000,no,http://www.facebook.com,
24,FLV Player,,FLV Player for playing FLV video content. ,media,1317560400000,1328360400000,no,http://www.jeroenwijering.com/?item=JW_FLV_Player,
25,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1304344800000,1518735600000,no,http://www.huddletogether.com/projects/lightbox/,
26,jQuery ScrollTo,"['jQuery Plugin', 'UI']",An overloaded scrolling function for jquery.,javascript,1304344800000,1502233200000,no,https://github.com/flesler/jquery.scrollTo,jQuery
27,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1254466800000,1518735600000,no,http://youtube.com,
28,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1304344800000,1615017600000,no,http://developers.facebook.com/docs/reference/plugins/like/,
29,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1301839200000,1636268400000,no,http://developers.facebook.com/,
30,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1301839200000,1636268400000,no,http://developers.facebook.com/docs/reference/javascript/,
31,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1254466800000,1636268400000,no,http://jquery.com,jQuery
32,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1254466800000,1601017200000,no,http://www.drupal.org,
33,Yahoo User Interface,['JavaScript Library'],"The Yahoo! User Interface (YUI) Library is a set of utilities and controls, written in JavaScript, for building richly interactive web applications using techniques such as DOM scripting, DHTML and AJAX.",javascript,1254466800000,1367676000000,no,http://developer.yahoo.com/yui/,
34,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1254466800000,1518735600000,no,http://jquery.malsup.com/cycle/,jQuery
