,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Flickr Badge,,A flickr badge for showing flickr photos on the site.,widgets,1384297200000,1389481200000,no,http://flickr.com,
1,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1384297200000,1482879600000,no,https://twitter.com/about/resources/buttons#tweet,
2,Flickr PhotoStream,,Adds a Flickr PhotoStream to The website,widgets,1384297200000,1389481200000,no,http://flickr.com,
3,Chango,,Reader friendly ad network,ads,1382655600000,1382655600000,no,http://chango.com,
4,AOL-Time Warner Online Advertising,,The website uses AOL-Time Warner Advertising Network,ads,1380841200000,1382655600000,no,http://aol.com,
5,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1380841200000,1388098800000,no,http://www.appnexus.com/,
6,BlueKai,['Ad Exchange'],The BlueKai Data Exchange enables partners to buy and own data to boost ad targeting across any media.,ads,1380841200000,1388098800000,no,http://bluekai.com,
7,Datalogix,"['Advertiser Tracking', 'Conversion Optimization']",Leverages the power of purchase-based audience targeting to drive measurable online and offline sales,analytics,1380841200000,1382655600000,no,http://datalogix.com,
8,Adometry,['Advertiser Tracking'],Adometry provides online ad verification and traffic quality management.,analytics,1380841200000,1380841200000,maybe,http://www.adometry.com/,
9,Lotame Crowd Control,,Data driven marketing advertising program provides social media sites with advance targeting,analytics,1380841200000,1382655600000,no,http://lotame.com,
10,Atlas,"['Ad Analytics', 'Ad Server', 'Digital Video Ads', 'Search']","High end provider of advertising solutions, using by 9 of the top 10 global brands and 7 of the top 10 global advertisement agencies. Owned by the Microsoft Corporation.",ads,1380841200000,1382655600000,no,http://www.atlassolutions.com/,
11,MediaMath,['Advertiser Tracking'],Tools that enable and empower marketing professionals.,analytics,1380841200000,1388098800000,no,http://mediamath.com,
12,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1380841200000,1636268400000,no,http://www.doubleclick.com,
13,DemDex,"['Audience Targeting', 'Multi-Channel']","Demdex's turn-key audience management solutions make implementing a dynamic, multi-channel data strategy cost-effective and easy. Now known as Adobe Audience Manager.",ads,1380841200000,1382655600000,no,http://www.demdex.com/,
14,Videology,,Video advertising technology that works across all video screens to connect brands with those consumers they most want to reach. Previously known as TidalTV.,ads,1380841200000,1382655600000,no,http://www.videologygroup.com,
15,Resonate Insights,,Resonate Insights drives media plans that ensure messages reach the right people at the right time,ads,1380841200000,1388098800000,no,http://www.resonateinsights.com/,
16,comScore,"['Advertiser Tracking', 'Audience Measurement', 'Conversion Optimization', 'Site Optimization', 'Visitor Count Tracking']",Market research company that studies internet trends and behavior.,analytics,1380841200000,1388098800000,no,http://www.comscore.com,
17,Acxiom,['Advertiser Tracking'],Technology and marketing services that enable marketers to manage audiences.,analytics,1380841200000,1382655600000,no,http://acxiom.com/,
18,Invite Media,['Advertiser Tracking'],"Automatically buy from multiple ad exchanges in real-time, all through the same interface.",analytics,1380841200000,1382655600000,no,http://invitemedia.com,
19,Dstillery,"['Ad Network', 'Audience Targeting']",Building custom audiences using brand loyalists and their strongest online connections.  Previously known as Media6Degrees.,ads,1380841200000,1382655600000,no,http://media6degrees.com,
20,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1380236400000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
21,SSL.com,['Root Authority'],Certificate provided by SSL.com,ssl,1380236400000,1380236400000,no,http://ssl.com,
22,Typography,,Font API program.,widgets,1380236400000,1461798000000,no,http://www.typography.com/,
23,SuperFish Menu,,Superfish is an enhanced Suckerfish-style menu jQuery plugin that takes an existing pure CSS drop-down menus and adds much-sought-after enhancements.,javascript,1380236400000,1404432000000,no,http://users.tpg.com.au/j_birch/plugins/superfish/,
24,jQuery Form,['jQuery Plugin'],jQuery Form Plugin allows you to easily and unobtrusively upgrade HTML forms to use AJAX.,javascript,1380236400000,1404432000000,no,http://jquery.malsup.com/form/,jQuery
25,AddThis,"['Social Sharing', 'Bookmarking']",Widgets that allow visitors to save and promote the site.,widgets,1380236400000,1404432000000,no,http://addthis.com,
26,FlexSlider,"['jQuery Plugin', 'Slider']",jQuery Slider toolkit from Woothemes.,javascript,1380236400000,1404432000000,no,http://www.woothemes.com/flexslider,
27,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1380236400000,1404432000000,no,http://plugins.jquery.com/once/,jQuery
28,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1380236400000,1404342000000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
29,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1380236400000,1515625200000,no,https://github.com/carhartl/jquery-cookie,jQuery
30,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1376607600000,1462143600000,no,http://geotrust.com,
31,RapidSSL,,RapidSSL certificate provider.,ssl,1376607600000,1462143600000,no,http://rapidssl.com,
32,Google Apps for Business,['Business Email Hosting'],"Web-based email, calendar, and documents for teams. Renamed to Google Apps for Work, but now known as G Suite from Google Cloud.",mx,1364302800000,1636268400000,no,http://www.google.com/a,
33,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1355490000000,1442444400000,no,http://akamai.com,
34,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1355490000000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
35,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1355490000000,1625468400000,no,http://www.facebook.com,
36,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1097618400000,1376866800000,no,http://www.macromedia.com/software/flash/about/,
37,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1290639600000,1461798000000,no,http://www.drupal.org,
38,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1290639600000,1502233200000,no,http://developers.facebook.com/docs/reference/plugins/like/,
39,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1290639600000,1636268400000,no,http://www.facebook.com/facebook-widgets/share.php,
40,Campaign Monitor Widget,['Feedback Forms and Surveys'],Newsletter and email signup functionality from Australian based Campaign Monitor.,widgets,1290639600000,1404774000000,maybe,http://www.campaignmonitor.com,
41,FeedBurner,,FeedBurner is the leading provider of media distribution and audience engagement services for blogs and RSS feeds.,feeds,1324213200000,1379631600000,no,http://feedburner.com,
42,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1324213200000,1612252800000,no,http://httpd.apache.org/,
43,Ubuntu,,"Ubuntu is a free, Debian derived Linux-based operating system, available with both community and professional support.",Server,1324213200000,1556146800000,no,http://ubuntu.com,
44,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1324213200000,1481065200000,no,http://www.php.net,
45,Suhosin,,Suhosin is an advanced protection system for PHP installations. ,Server,1324213200000,1330779600000,no,http://www.hardened-php.net/suhosin/,
46,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1320584400000,1502233200000,no,http://developers.facebook.com/docs/reference/plugins/like,
47,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1320584400000,1621580400000,no,https://github.com/afarkas/html5shiv,
48,Typekit,,Typekit is the easiest way to use real fonts on the web. It's a subscription-based service for linking to high-quality Open Type fonts from some of the world's best type foundries.,widgets,1320584400000,1577142000000,no,http://typekit.com,
49,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1320584400000,1636268400000,no,http://code.google.com/apis/ajaxlibs/documentation/,
50,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1290639600000,1636268400000,no,http://jquery.com,jQuery
51,Disqus,['Comment System'],The webwide discussion community where you carry your conversations with you.,widgets,1320584400000,1323003600000,no,http://disqus.com,
52,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1320584400000,1636268400000,no,http://twitter.com/about/resources,
53,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1320584400000,1636268400000,no,http://developers.facebook.com/,
54,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1320584400000,1636268400000,no,http://developers.facebook.com/docs/reference/javascript/,
55,Clicky,['Audience Measurement'],"Clicky web analytics system, previously known as GetClicky",analytics,1320584400000,1323003600000,maybe,http://getclicky.com/,
56,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1290639600000,1636268400000,no,http://google.com/analytics,
57,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1320584400000,1577142000000,no,http://nginx.net/,
58,Web Drive,,Web Drive provides web hosting services and is based in New Zealand.,hosting,1345730400000,1609455600000,no,http://webdrive.co.nz,
59,New Relic,['Application Performance'],New Relic is a dashboard used to keep an eye on application health and availability while monitoring real user experience.,analytics,1392332400000,1524438000000,no,http://newrelic.com/,
60,NationBuilder,['Community CMS'],Community Organizing System - both a website and a people database.,cms,1392332400000,1636268400000,yes,http://nationbuilder.com,
61,Apache 2.2,,Apache version 2.2.*,Web Server,1392332400000,1466722800000,no,http://httpd.apache.org/docs/2.2,Apache
62,Google Plus One Platform,,Google+ API functionality.,widgets,1392332400000,1636268400000,no,https://developers.google.com/+/,
63,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1392332400000,1636268400000,no,http://jqueryui.com/,jQuery
64,Rack Cache,,Rack::Cache is a component to enable HTTP caching for Rack-based applications such as Rails.,Web Server,1392332400000,1636268400000,no,http://rtomayko.github.com/rack-cache/,
65,Quantcast Measurement,"['Audience Measurement', 'Mobile']",Provides Quantcast with tracking information about your site which anyone can access and view demographic information.,analytics,1392332400000,1527289200000,no,http://www.quantcast.com,
66,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1392332400000,1636182000000,no,http://www.modernizr.com,
67,Phusion Passenger,,"Phusion Passenger - a.k.a. mod_rails or mod_rack - is a web server and application server, designed to be fast, robust and  lightweight. Administration tools allow you to gain insight into web application operations and server performance.",Web Server,1392332400000,1556146800000,no,http://www.modrails.com/,
68,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1392332400000,1636268400000,no,http://aws.amazon.com/cloudfront/,
69,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1392332400000,1636268400000,no,http://trends.builtwith.com/ssl,
70,Ruby on Rails Token,,Ruby on Rails is an open-source web framework that is optimized for programmer happiness and sustainable productivity. Note that Ruby on Rails has two detection techniques and this is one of them.,framework,1392332400000,1636268400000,no,http://www.rubyonrails.org/,
71,Ruby on Rails,,Ruby on Rails is an open-source web framework that is optimized for programmer happiness and sustainable productivity.,framework,1392332400000,1633158000000,no,http://www.rubyonrails.org/,
72,jQuery Placeholder,['jQuery Plugin'],The jQuery placeholder easily allows you to emulate the placeholder attribute on input fields for all browsers.,javascript,1392332400000,1527894000000,no,https://github.com/mathiasbynens/jquery-placeholder,jQuery
73,YouTube IFrame Upload,,Lets users upload videos to YouTube from any webpage.,widgets,1394665200000,1592002800000,no,http://developers.google.com/youtube/youtube_upload_widget,
74,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1396479600000,1589238000000,no,http://youtube.com,
75,Cloudflare,,Automatically optimizes the delivery of your web pages so your visitors get the fastest page load times and best performance.,cdn,1400713200000,1636268400000,no,http://www.cloudflare.com/,
76,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1402444800000,1404432000000,no,http://www.google.com/webmasters/,
77,Webshim Polyfill,,"Webshim is a polyfill library that enables you to reliably use HTML5 features across browsers, even if native support is lacking. ",javascript,1404946800000,1594335600000,no,http://afarkas.github.io/webshim/demos/index.html,
