,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1387494000000,1559430000000,no,http://www.modernizr.com,
1,RequireJS,,RequireJS is a JavaScript file and module loader.,javascript,1387494000000,1559430000000,no,http://requirejs.org/,
2,jQuery 1.5.2,,jQuery version 1.5.2,javascript,1385679600000,1387494000000,no,http://blog.jquery.com/2011/03/31/jquery-152-released/,jQuery
3,Twitter Follow Button,,Follow Button to your website to increase engagement and create a lasting connection with your audience.,widgets,1381705200000,1387148400000,no,https://twitter.com/about/resources/buttons#follow,
4,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1379286000000,1383690638863,no,https://twitter.com/about/resources/buttons#tweet,
5,jqTransform,,A jQuery styling plugin which allows you to skin form elements.,javascript,1379631600000,1387494000000,no,http://www.dfc-e.com/metiers/multimedia/opensource/jqtransform/,
6,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1379631600000,1630047600000,no,https://google.com,
7,timeago,['jQuery Plugin'],Timeago is a jQuery plugin that makes it easy to support automatically updating fuzzy timestamps.,javascript,1379631600000,1387494000000,no,http://timeago.yarp.com/,
8,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1374274800000,1636182000000,no,http://twitter.com,
9,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1373497200000,1633330800000,no,http://twitter.com/settings/widgets,
10,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1373497200000,1635058800000,no,http://twitter.com/about/resources,
11,Vimeo CDN,,This page uses content from the Vimeo CDN.,cdn,1363698000000,1363698000000,no,http://vimeo.com,
12,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1357477200000,1442444400000,no,http://akamai.com,
13,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1357477200000,1636182000000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
14,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1357477200000,1633330800000,no,http://www.facebook.com,
15,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1320584400000,1636182000000,no,http://developers.facebook.com/,
16,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1320584400000,1583276400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
17,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1320584400000,1559430000000,no,http://developers.facebook.com/docs/reference/plugins/like,
18,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1320584400000,1636182000000,no,http://jquery.com,jQuery
19,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1320584400000,1634626800000,no,http://jqueryui.com/,jQuery
20,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1320584400000,1624690800000,no,https://github.com/afarkas/html5shiv,
21,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1320584400000,1479855600000,no,https://github.com/carhartl/jquery-cookie,jQuery
22,jQuery Mousewheel,['jQuery Plugin'],Adds mouse wheel support to the web site.,javascript,1320584400000,1624690800000,no,http://plugins.jquery.com/project/mousewheel,jQuery
23,Fancybox,,"FancyBox is a tool for displaying images, html content and multi-media in a Mac-style ""lightbox"" that floats overtop of web page. ",javascript,1320584400000,1479855600000,no,http://fancybox.net/,
24,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1320584400000,1633330800000,no,http://www.huddletogether.com/projects/lightbox/,
25,Google Plus One Platform,,Google+ API functionality.,widgets,1320584400000,1477522800000,no,https://developers.google.com/+/,
26,jQuery prettyPhoto,['jQuery Plugin'],prettyPhoto is a jQuery lightbox clone which supports additional meta types such as video.,javascript,1320584400000,1387494000000,no,http://www.no-margin-for-errors.com/projects/prettyphoto-jquery-lightbox-clone/,jQuery
27,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1320584400000,1559430000000,no,http://developers.facebook.com/docs/reference/plugins/like/,
28,Google Plus One Button,,Google+ +1 Button implementation.,widgets,1320584400000,1479855600000,no,https://developers.google.com/+/plugins/+1button/,
29,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1320584400000,1633330800000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
