,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1636515145172,1636515145172,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
1,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1636515145172,1636515145172,no,http://google.com/analytics,
2,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1636515145172,1636515145172,no,http://www.openspf.org/,
3,Facebook Pixel,,Facebook Pixel is Facebooks conversion tracking system for ads on Facebook to websites.,analytics,1636515145172,1636515145172,no,https://www.facebook.com/business/help/952192354843755,
4,Google Search Appliance,['Enterprise'],Google Search for Work system provides searching of internal business systems.,cms,1636515145172,1636515145172,yes,https://www.google.com.au/work/search/products/gsa.html,
5,Facebook Conversion Tracking,['Conversion Optimization'],"Conversion tracking functionality from Facebook, allows a user to track advertisement clicks.",analytics,1636515145172,1636515145172,no,http://www.facebook.com/help/?page=994,
6,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1636515145172,1636515145172,no,http://developers.facebook.com/docs/reference/javascript/,
7,AcyMailing,,Email marketing and newsletter system for Joomla!,widgets,1636515145172,1636515145172,maybe,http://acyba.com,
8,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1636515145172,1636515145172,no,http://developers.facebook.com/,
9,Facebook Custom Audiences,['Retargeting / Remarketing'],Custom Audiences from your website makes it possible to reach people who visit your website and deliver the right message to them on Facebook.,ads,1636515145172,1636515145172,no,https://developers.facebook.com/docs/reference/ads-api/custom-audience-website,
10,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1636515145172,1636515145172,no,http://www.facebook.com/facebook-widgets/share.php,
11,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1636515145172,1636515145172,no,http://www.facebook.com,
