,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Joomla!,['Open Source'],Joomla! is a Content Management System and Web Application Framework.,cms,1191276000000,1636268400000,no,http://joomla.org,
1,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1268607600000,1636268400000,no,http://jquery.com,jQuery
2,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1129154400000,1635750000000,no,http://www.macromedia.com/software/flash/about/,
3,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1369922400000,1397862000000,no,http://nginx.net/,
4,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1369922400000,1633158000000,no,http://www.php.net,
5,Matomo,"['Audience Measurement', 'Conversion Optimization', 'Site Optimization']","Matomo is an open source web analytics software. It gives interesting reports on your website visitors, your popular pages, the search engines keywords they used, the language they speak and so much more. Previously known as Piwik Web Analytics.",analytics,1308002400000,1636268400000,no,http://matomo.org,
6,NFSi Telecom,,Network infrastructure from NFSi Telecom based in Portugal.,hosting,1369922400000,1380841200000,no,http://nfsi.pt,
7,Joker,,DNS services and reseller systems.,ns,1362056400000,1636268400000,no,http://joker.com,
8,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1397862000000,1636268400000,no,http://www.openspf.org/,
9,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1400454000000,1636268400000,no,http://youtube.com,
10,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1400454000000,1636268400000,no,http://httpd.apache.org/,
11,GlobalSign,['Root Authority'],Certificate provided by GlobalSign.,ssl,1422658800000,1636268400000,no,http://globalsign.com,
12,AlphaSSL,['Root Authority'],"Certificate provided by AlphaSSL, a GlobalSign company.",ssl,1422658800000,1636268400000,no,http://alphassl.com,
13,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1445468400000,1636268400000,no,http://www.doubleclick.com,
14,Frontpage SlideShow,['Joomla Module'],Premium slide show module from JoomlaWorks for Joomla.,widgets,1268607600000,1518735600000,maybe,http://www.joomlaworks.net/extensions/commercial/frontpage-slideshow,
15,Dedicated Hosting,,This website is on an IP address not shared with other domains - it is more likely this website is not using shared hosting for this reason.,hosting,1467327600000,1510095600000,no,https://en.wikipedia.org/wiki/Dedicated_hosting_service,
16,Comodo PositiveSSL,,Comodo Positive SSL certificate.,ssl,1482879600000,1482879600000,no,http://www.positivessl.com/ssl-certificate-positivessl.php,
17,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1488841200000,1624518000000,no,https://google.com,
18,PHP 7,,Version 7 of the PHP framework.,framework,1520550000000,1636268400000,no,http://php.net/,PHP
19,Atom,,Atom Syndication Format is an XML language used for web feeds very similar to RSS.,feeds,1520550000000,1636268400000,no,http://en.wikipedia.org/wiki/Atom_%28standard%29,
20,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1520550000000,1636268400000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
21,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1520550000000,1636268400000,no,http://fontawesome.io,
22,jQuery NoConflict,['jQuery Plugin'],Return control of $ back to the other libraries with a call to $.noConflict().,javascript,1520550000000,1636268400000,no,http://api.jquery.com/jQuery.noConflict/,jQuery
23,jQuery 1.12.4,,jQuery version 1.12.4,javascript,1520550000000,1636268400000,no,https://blog.jquery.com/2016/05/20/jquery-1-12-4-and-2-2-4-released/,jQuery
24,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1520550000000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
25,Google Hosted Libraries,,"Google Hosted Libraries is a globally available content distribution network for the most popular, open-source JavaScript libraries.",javascript,1520550000000,1636268400000,no,https://developers.google.com/speed/libraries/,
26,jQuery CDN,,The jQuery Amazon S3 Content Delivery Network,cdn,1520550000000,1636268400000,no,http://blog.jquery.com/2008/11/19/cloudfront-cdn-for-jquery/,
27,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1520550000000,1636268400000,no,https://fonts.google.com,
28,Google Hosted jQuery,,jQuery hoted at Google.,javascript,1520550000000,1636268400000,no,https://developers.google.com/speed/libraries/,Google Hosted Libraries
29,BootstrapCDN,,"Bootstrap CDN system - encompasses MaxCDN, NetDNA and Stackpath - donated to jsDelivr.",cdn,1520550000000,1636268400000,no,http://www.bootstrapcdn.com/,
