,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1317560400000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
1,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1317560400000,1636268400000,no,http://jquery.com,jQuery
2,CKEditor,,Web-based HTML text editor with powerful formatting capabilities. Previously known as FCKeditor.,widgets,1317560400000,1374793200000,no,http://www.fckeditor.net,
3,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1317560400000,1636268400000,no,http://www.drupal.org,
4,Hover Intent,['UI'],"hoverIntent is a plug-in that attempts to determine the user's intent. It works like (and was derived from) jQuery's built-in hover. However, instead of immediately calling the onMouseOver function, it waits until the user's mouse slows down enough before making the call.",javascript,1317560400000,1633244400000,no,http://cherne.net/brian/resources/jquery.hoverIntent.html,
5,jQuery bgiframe,"['Compatibility', 'jQuery Plugin']",Fixes z-index issues in IE6.,javascript,1317560400000,1458514800000,no,http://docs.jquery.com/Plugins/bgiframe,jQuery
6,SuperFish Menu,,Superfish is an enhanced Suckerfish-style menu jQuery plugin that takes an existing pure CSS drop-down menus and adds much-sought-after enhancements.,javascript,1317560400000,1633244400000,no,http://users.tpg.com.au/j_birch/plugins/superfish/,
7,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1317560400000,1559516400000,no,http://jquery.malsup.com/cycle/,jQuery
8,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1317560400000,1636268400000,no,http://www.google.com/webmasters/,
9,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1317560400000,1636268400000,no,http://google.com/analytics,
10,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1317560400000,1636268400000,no,http://httpd.apache.org/,
11,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1317560400000,1633158000000,no,http://www.php.net,
12,Add to Any,"['Social Sharing', 'Bookmarking']","Help your visitors share, save and subscribe to your content with Add to Any widgets.",widgets,1417305600000,1633244400000,no,http://addtoany.com,
13,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1417305600000,1636268400000,no,http://youtube.com,
14,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1419811200000,1636268400000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
15,JCarousel,"['jQuery Plugin', 'Slider']",jCarousel is a jQuery plugin for controlling a list of items in horizontal or vertical order.,javascript,1421712000000,1603494000000,no,http://sorgalla.com/jcarousel/,
16,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1424649600000,1636268400000,no,https://fonts.google.com,
17,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1435622400000,1614499200000,no,https://google.com,
18,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1436400000000,1636268400000,no,http://fontawesome.io,
19,Mobile Non Scaleable Content,,"This content is formatted for mobile devices, it does not allow the content to be scaled.",mobile,1438815600000,1636268400000,no,http://developer.apple.com/library/safari/#documentation/appleapplications/reference/SafariHTMLRef/Articles/MetaTags.html,
20,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1443654000000,1634626800000,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
21,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1444690800000,1636268400000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
22,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1446678000000,1611820800000,no,http://www.doubleclick.com,
23,Euro,['Currency'],The website uses the € symbol on its website - meaning it may accept payment in Euros.,payment,1458094245991,1635058800000,no,https://en.wikipedia.org/wiki/Euro,
24,jQuery Easing,"['Animation', 'jQuery Plugin']","A jQuery extension that provides functionality to ""ease"" things onto or off of the screen.",javascript,1458774000000,1636268400000,no,http://gsgd.co.uk/sandbox/jquery/easing/,jQuery
25,FastClick,['Mobile'],Polyfill to remove click delays on browsers with touch UIs.,widgets,1458774000000,1458774000000,no,http://labs.ft.com,
26,LABjs,,"An all-purpose, on-demand JavaScript loader, capable of loading any JavaScript resource, from any location, into any page, at any time.",javascript,1459983600000,1510614000000,no,http://labjs.com/,
27,ClaraNET,"['Cloud Hosting', 'UK hosting']",UK based managed hosting and cloud services.,hosting,1467241200000,1608364800000,no,http://claranet.co.uk,
28,CPanel SSL,,CPanel certificate.,ssl,1485385200000,1636268400000,no,http://cpanel.com,
29,Portuguese,,Website content is written in Portuguese.,language,1496358000000,1636268400000,no,http://pt.wikipedia.org,
30,OneSignal,['Push Notifications'],Push notification delivery solution.,widgets,1509490800000,1636268400000,maybe,http://onesignal.com,
31,RawGit,,Serves RAW files from GitHub with the right Content Type headers.,cdn,1510873200000,1511132400000,no,http://rawgit.com,
32,lazySizes,,"Lazy loader for images (responsive and normal), iframes and scripts, that detects any visibility changes triggered through user interaction, CSS or JavaScript without configuration.",javascript,1519167600000,1636268400000,no,http://github.com/aFarkas/lazysizes,
33,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1520290800000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
34,Name.com DNS,,DNS services provided by Name.com.,ns,1523228400000,1636268400000,no,http://name.com,
35,IPhone / Mobile Compatible,,The website contains code that allows the page to support IPhone / Mobile Content.,mobile,1526684400000,1636268400000,no,http://apple.com,
36,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1540335600000,1636268400000,no,http://www.openspf.org/,
37,Pound Sterling,['Currency'],The website uses the £ symbol on its website - meaning it may accept payment in this British currency.,payment,1545865200000,1633244400000,no,https://en.wikipedia.org/wiki/Pound_sign,
38,Japanese Yen,['Currency'],The website uses the ¥ symbol on its website - meaning it may accept payment in this Japanese currency.,payment,1545865200000,1615017600000,no,https://en.wikipedia.org/wiki/Japanese_yen,
39,DKIM,,DomainKeys Identified Mail provides a method for validating a domain name identity that is associated with a message through cryptographic authentication.,mx,1547074800000,1618902000000,no,http://www.dkim.org/,
40,PTisp,,"Hosting, VPS and Cloud services from Portugal.",hosting,1560380400000,1636268400000,no,https://ptisp.com,
41,Facebook Domain Insights,['Social Management'],This website contains tracking information that allows admins to see Facebook Insights out of Facebook to this domain.,analytics,1581030000000,1636268400000,no,http://www.facebook.com/insights/,
42,COVID-19,,This website mentions COVID-19 / Novel Coronavirus.,widgets,1589497200000,1636268400000,no,https://www.who.int/emergencies/diseases/novel-coronavirus-2019,
43,Plans and Pricing,,"The website contains a link to a ""Plans"" or ""Pricing"" page - useful for finding SaaS tools.",link,1589497200000,1625468400000,no,https://kb.builtwith.com/special-reports/link-tracking/,
44,SpamExperts,['Business Email Hosting'],Filter incoming and outgoing email for spam.,mx,1589497200000,1589497200000,yes,http://www.spamexperts.com/,
45,Organization Schema,['Schema'],"Organization i.e. school, NGO, Corporation.",framework,1606118400000,1636268400000,no,https://schema.org/Organization,
46,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1606809600000,1636268400000,no,http://trends.builtwith.com/ssl,
47,Portuguese HREF LANG,,This webpage has alternate versions available in Portuguese via the use of the hreflang tag.,language,1610784000000,1636268400000,no,https://support.google.com/webmasters/answer/189077?hl=en,
48,DMARC,['DMARC'],A technical specification created by a group of organizations that want to help reduce the potential for email-based abuse,mx,1620543600000,1636268400000,no,http://www.dmarc.org,
49,Twitter Website Universal Tag,,A tool from Twitter that makes it possible for advertisers to track website conversions and manage tailored audience campaigns.,analytics,1622098800000,1636268400000,no,https://blog.twitter.com/2016/website-conversion-tracking-and-remarketing-made-easier-and-more-flexible,
50,Twitter Conversion Tracking,"['Conversion Optimization', 'Conversion Tracking']",Twitter ads conversion tracking code.,analytics,1622098800000,1636268400000,no,https://business.twitter.com/en/help/campaign-measurement-and-analytics/conversion-tracking-for-websites.html,
51,MailChimp,['Feedback Forms and Surveys'],MailChimp is a widely used Mailng List delivery and support service.,widgets,1622098800000,1636268400000,maybe,http://www.mailchimp.com,
52,Twitter Ads,"['Ad Network', 'Retargeting / Remarketing']",Twitter advertising includes conversion tracking and re-marketing tools.,ads,1622098800000,1636268400000,no,http://ads.twitter.com,
53,WhatsApp,,WhatsApp protocol links and SMS API.,widgets,1631257200000,1636268400000,no,https://www.whatsapp.com,
