,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,reCAPTCHA,['CAPTCHA'],Anti-bot CAPTCHA widget from Google.,widgets,1443823200000,1555023600000,no,https://www.google.com/recaptcha/intro/index.html,
1,Weborama,,Ad marketing and behavioral targeting solution.,ads,1443823200000,1606809600000,no,http://weborama.com,
2,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1443823200000,1636444800000,no,http://www.appnexus.com/,
3,QuBit OpenTag,['Tag Management'],Qubit Opentag is a flexible enterprise tag manager allowing developers to take complete control of their digital marketing & analytics tags.,widgets,1443823200000,1636444800000,maybe,http://www.qubitproducts.com/tag-management,Qubit
4,jQuery Once,['jQuery Plugin'],Filters out all elements that had the same filter applied on them before. ,javascript,1412546400000,1636444800000,no,http://plugins.jquery.com/once/,jQuery
5,acens Technologies,"['Cloud Hosting', 'Spanish hosting']",acens Technologies provides cloud services and is based in Spain.,hosting,1458169200000,1508281200000,no,http://acens.com,
6,MediaMath,['Advertiser Tracking'],Tools that enable and empower marketing professionals.,analytics,1443823200000,1606809600000,no,http://mediamath.com,
7,Touchwipe,"['Compatibility', 'jQuery Plugin']","Obtain the wipe event on an iPhone, iPad or iPod Touch.",javascript,1443823200000,1508799600000,no,http://www.netcu.de/jquery-touchwipe-iphone-ipad-library,
8,jqTransform,,A jQuery styling plugin which allows you to skin form elements.,javascript,1443823200000,1508799600000,no,http://www.dfc-e.com/metiers/multimedia/opensource/jqtransform/,
9,jQuery Easing,"['Animation', 'jQuery Plugin']","A jQuery extension that provides functionality to ""ease"" things onto or off of the screen.",javascript,1443823200000,1508799600000,no,http://gsgd.co.uk/sandbox/jquery/easing/,jQuery
10,Drupal,['Open Source'],An engine suitable to setup or build a content driven or community driven website. Modular design allows flexibility in design.,cms,1412546400000,1636444800000,no,http://www.drupal.org,
