,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Joomla!,['Open Source'],Joomla! is a Content Management System and Web Application Framework.,cms,1390518000000,1418857200000,no,http://joomla.org,
1,Atom,,Atom Syndication Format is an XML language used for web feeds very similar to RSS.,feeds,1390518000000,1442985058771,no,http://en.wikipedia.org/wiki/Atom_%28standard%29,
2,CDMon,,Web hosting solutions and DNS management from CDMon.,ns,1390518000000,1459983600000,no,http://cdmon.com,
3,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1390518000000,1632898800000,no,http://geotrust.com,
4,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1390518000000,1636268400000,no,http://jquery.com,jQuery
5,ThemePunch,,Using custom plugins/themes from ThemePunch.,widgets,1390518000000,1430296257075,no,http://www.themepunch.com,
6,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1390518000000,1579215600000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
7,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1390518000000,1459983600000,no,http://www.modernizr.com,
8,RapidSSL,,RapidSSL certificate provider.,ssl,1390518000000,1636268400000,no,http://rapidssl.com,
9,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1390518000000,1636268400000,no,https://fonts.google.com,
10,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1390518000000,1562108400000,no,http://httpd.apache.org/,
11,MediaElement.js,['Video Players'],HTML5 audio and video players in pure HTML and CSS.,media,1390518000000,1443049200000,no,http://mediaelementjs.com/,
12,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1390518000000,1632207600000,no,http://google.com/analytics,
13,10dence Hispahard,['Spanish hosting'],Provides services to Internet access providers.,hosting,1390518000000,1462489200000,no,http://10dencehispahard.com,
14,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1390518000000,1632207600000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
15,Lightbox,,"Lightbox JS is a simple, unobtrusive script used to overlay images on the current page. It's a snap to setup and works on all modern browsers.",javascript,1390518000000,1481756400000,no,http://www.huddletogether.com/projects/lightbox/,
16,MooTools,['JavaScript Library'],"MooTools is a compact, modular, Object-Oriented JavaScript framework designed for the intermediate to advanced JavaScript developer. It allows you to write powerful, flexible and cross-browser code with its elegant, well documented and coherent API.",javascript,1390518000000,1418857200000,no,http://mootools.net/,
17,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1390518000000,1418857200000,no,http://www.google.com/webmasters/,
18,yepnope,,yepnope is an asynchronous conditional resource loader that allows you to load only the scripts that your users need.,javascript,1392332400000,1448492400000,no,http://yepnopejs.com/,
19,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1392937200000,1635058800000,no,http://youtube.com,
20,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1394665200000,1428883200000,no,https://twitter.com/about/resources/buttons#tweet,
21,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1394665200000,1635145200000,no,http://www.facebook.com/facebook-widgets/share.php,
22,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1402873200000,1636268400000,no,http://fontawesome.io,
23,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1402873200000,1481756400000,no,https://github.com/afarkas/html5shiv,
24,Slick,,Standalone CSS Selector Parser and Engine from MooTools.,javascript,1410390000000,1418857200000,no,https://github.com/mootools/slick,
25,jQuery Easing,"['Animation', 'jQuery Plugin']","A jQuery extension that provides functionality to ""ease"" things onto or off of the screen.",javascript,1415833200000,1429584910399,no,http://gsgd.co.uk/sandbox/jquery/easing/,jQuery
26,jQuery Tools,['jQuery Plugin'],A collection of the most important user-interface components for todays websites.,javascript,1415833200000,1443049200000,no,http://flowplayer.org/tools/,jQuery
