,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,ASP.NET 2.0,,ASP.NET version 2.0.*,framework,1385679600000,1510095600000,no,http://www.microsoft.com/net,ASP.NET
1,Resonate Insights,,Resonate Insights drives media plans that ensure messages reach the right people at the right time,ads,1385074800000,1385074800000,no,http://www.resonateinsights.com/,
2,Dstillery,"['Ad Network', 'Audience Targeting']",Building custom audiences using brand loyalists and their strongest online connections.  Previously known as Media6Degrees.,ads,1385074800000,1385074800000,no,http://media6degrees.com,
3,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1384470000000,1636268400000,no,http://www.doubleclick.com,
4,AppNexus,"['Ad Exchange', 'Demand-side Platform']","Provides access to the major exchanges and aggregators, as well as cloud infrastructure scalable to billions of ad impressions a day with a layer of real-time decisioning on top.",ads,1384470000000,1427068800000,no,http://www.appnexus.com/,
5,BlueKai,['Ad Exchange'],The BlueKai Data Exchange enables partners to buy and own data to boost ad targeting across any media.,ads,1384470000000,1386889200000,no,http://bluekai.com,
6,Atlas,"['Ad Analytics', 'Ad Server', 'Digital Video Ads', 'Search']","High end provider of advertising solutions, using by 9 of the top 10 global brands and 7 of the top 10 global advertisement agencies. Owned by the Microsoft Corporation.",ads,1384470000000,1385679600000,no,http://www.atlassolutions.com/,
7,MediaMath,['Advertiser Tracking'],Tools that enable and empower marketing professionals.,analytics,1384470000000,1386889200000,no,http://mediamath.com,
8,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1383865200000,1478732400000,no,http://developers.facebook.com/docs/reference/plugins/like/,
9,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1380841200000,1593298800000,no,http://twitter.com/settings/widgets,
10,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1380841200000,1593298800000,no,http://twitter.com/about/resources,
