,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,jQuery 1.8.1,,jQuery version 1.8.1,javascript,1386284400000,1396479600000,no,http://blog.jquery.com/2012/08/30/jquery-1-8-1-released/,jQuery
1,Modernizr 2.5,,Modernizr version 2.5.*,javascript,1385679600000,1523228400000,no,http://modernizr.com/news/modernizr-25/,Modernizr
2,jQuery 1.7.1,,jQuery version 1.7.1,javascript,1385679600000,1627714800000,no,http://blog.jquery.com/2011/11/21/jquery-1-7-1-released/,jQuery
3,SSL.com,['Root Authority'],Certificate provided by SSL.com,ssl,1380236400000,1380236400000,no,http://ssl.com,
4,Adobe TagManager,['Tag Management'],Adobe now offers dynamic tag management a solution that reduces the need for IT resources and allows you to manage tags and distribute data. ,widgets,1380236400000,1396479600000,no,http://www.adobe.com/solutions/digital-marketing/dynamic-tag-management.html,
5,Omniture SiteCatalyst,['Marketing Automation'],"Omniture SiteCatalyst provides your website with actionable, real-time intelligence regarding online strategies and marketing initiatives.",analytics,1379631600000,1387494000000,yes,http://www.omniture.com/,
6,Open AdStream,,The website has links to systems using Open 247 RealMedia Open Adstream for hosting ads.,ads,1379631600000,1394665200000,no,http://www.247realmedia.com/EN-US/us/advertising-management.html,
7,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1377817200000,1636268400000,no,https://fonts.google.com,
8,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1376002800000,1527894000000,no,http://twitter.com/settings/widgets,
9,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1372806000000,1432162800000,no,http://geotrust.com,
10,RapidSSL,,RapidSSL certificate provider.,ssl,1372806000000,1432162800000,no,http://rapidssl.com,
11,SWFObject,,SWFObject is a small Javascript file used for embedding Adobe Flash content. The script can detect the Flash plug-in in all major web browsers (on Mac and PC) and is designed to make embedding Flash movies as easy as possible.,javascript,1364302800000,1423090800000,no,http://blog.deconcept.com/swfobject/,
12,Google Plus One Platform,,Google+ API functionality.,widgets,1364302800000,1627714800000,no,https://developers.google.com/+/,
13,Google Maps API,,Google Maps has a wide array of APIs that let you embed the functionality of Google Maps.,mapping,1364302800000,1636268400000,no,https://developers.google.com/maps/,
14,GStatic Google Static Content,,Google has off-loaded static content (Javascript/Images/CSS) to a different domain name in an effort to reduce bandwidth usage and increase network performance for the end user.,cdn,1355490000000,1632207600000,no,https://google.com,
15,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1324213200000,1449702000000,no,http://akamai.com,
16,Quantcast Measurement,"['Audience Measurement', 'Mobile']",Provides Quantcast with tracking information about your site which anyone can access and view demographic information.,analytics,1355490000000,1388703600000,no,http://www.quantcast.com,
17,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1324213200000,1632207600000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
18,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1324213200000,1632207600000,no,http://www.facebook.com,
19,Twitter CDN,,"This page contains content sourced from the Twitter CDN, either by the use of Widgets or linking to image content on twimg.com currently hosted by Akamai and Amazon.",cdn,1355490000000,1522796400000,no,http://twitter.com,
20,WP Super Cache,['WordPress Plugins'],WP Super Cache is a page cache generation tool for WordPress.,widgets,1351774800000,1413154800000,no,http://wordpress.org/extend/plugins/wp-super-cache/,
21,Modernizr,['Compatibility'],Modernizr allows you to target specific browser functionality in your stylesheet.,javascript,1348668000000,1523228400000,no,http://www.modernizr.com,
22,Google Maps,['Maps'],Google maps embedded into the webpage.,mapping,1348668000000,1636268400000,no,http://www.google.com/apis/maps/,
23,AJAX Libraries API,,"The AJAX Libraries API is a content distribution network and loading architecture for the most popular, open source JavaScript libraries.",cdn,1324213200000,1627714800000,no,http://code.google.com/apis/ajaxlibs/documentation/,
24,Wordpress Plugins,,Plugins are tools to extend the functionality of WordPress. The website uses various plugins from WordPress to provide additional functionality. Some of them may be listed here.,widgets,1324213200000,1632466800000,no,http://codex.wordpress.org/Plugins,
25,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1324213200000,1632207600000,no,http://developers.facebook.com/,
26,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1324213200000,1633158000000,no,http://developers.facebook.com/docs/reference/javascript/,
27,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1324213200000,1627714800000,no,http://developers.facebook.com/docs/reference/plugins/like/,
28,Twitter Follow Button,,Follow Button to your website to increase engagement and create a lasting connection with your audience.,widgets,1348668000000,1375398000000,no,https://twitter.com/about/resources/buttons#follow,
29,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1324213200000,1627714800000,no,http://twitter.com/about/resources,
30,Gravatar Profiles,,Creates Gravatar Profiles on the site.,widgets,1324213200000,1632466800000,no,http://blog.gravatar.com/2010/06/02/public-profiles-for-everyone/,
31,WordPress Grid,,Contains content that may be hosted on the WordPress Grid Hosting CDN.,cdn,1348668000000,1632466800000,no,http://vip.wordpress.com/,
32,WordPress Stats,"['Audience Measurement', 'Visitor Count Tracking']","Tells owners of the website how many people are visiting the site, where they are coming from and what is most interesting to them.",analytics,1324213200000,1407024000000,no,http://wordpress.com/features/stats/,
33,Google FeedProxy,,"RSS Aggregation stats from Google, previously Feedburner.",feeds,1325854800000,1330779600000,no,http://feedburner.com,
34,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1323003600000,1633244400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
35,Atom,,Atom Syndication Format is an XML language used for web feeds very similar to RSS.,feeds,1323003600000,1346940000000,no,http://en.wikipedia.org/wiki/Atom_%28standard%29,
36,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1323003600000,1636268400000,no,http://jquery.com,jQuery
37,MooTools,['JavaScript Library'],"MooTools is a compact, modular, Object-Oriented JavaScript framework designed for the intermediate to advanced JavaScript developer. It allows you to write powerful, flexible and cross-browser code with its elegant, well documented and coherent API.",javascript,1323003600000,1346940000000,no,http://mootools.net/,
38,Joomla!,['Open Source'],Joomla! is a Content Management System and Web Application Framework.,cms,1323003600000,1346940000000,no,http://joomla.org,
39,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1323003600000,1523228400000,no,http://developers.facebook.com/docs/reference/plugins/like,
40,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1323003600000,1429743600000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
41,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1323003600000,1460502000000,no,http://www.macromedia.com/software/flash/about/,
42,Twitter Widget,,"Adds twitter to the website, this includes the user of a twitter badge, blogger JavaScript or anything from widgets.twimg.com.",widgets,1323003600000,1346940000000,no,http://twitter.com,
43,Google Analytics,"['Application Performance', 'Audience Measurement', 'Visitor Count Tracking']",Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.,analytics,1323003600000,1636268400000,no,http://google.com/analytics,
44,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1323003600000,1632466800000,no,http://httpd.apache.org/,
45,Debian,,Debian is a free operating system (OS) for your computer.,Server,1323003600000,1346940000000,no,http://www.debian.org,
46,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1323003600000,1633158000000,no,http://www.php.net,
47,Suhosin,,Suhosin is an advanced protection system for PHP installations. ,Server,1323003600000,1346940000000,no,http://www.hardened-php.net/suhosin/,
48,mod_ssl,,This module provides strong cryptography for the Apache 1.3 webserver via the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols,Server,1323003600000,1346940000000,no,http://www.modssl.org/,
49,OpenSSL,,"The OpenSSL Project is a collaborative effort to develop a robust, commercial-grade, full-featured, and Open Source toolkit implementing the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols as well as a full-strength general purpose cryptography library.",Server,1323003600000,1346940000000,no,http://openssl.org,
50,Jetpack,['WordPress Plugins'],Provides a WordPress site with features previously only available to WordPress.com users.,widgets,1388703600000,1632466800000,no,https://jetpack.com,
51,Pingdom RUM,['Application Performance'],Real User Monitoring gives insight into performance for actual users visiting the website.,analytics,1389913200000,1389913200000,yes,https://www.pingdom.com/rum/,
52,yepnope,,yepnope is an asynchronous conditional resource loader that allows you to load only the scripts that your users need.,javascript,1392332400000,1522796400000,no,http://yepnopejs.com/,
53,YouTube,"['Live Stream / Webcast', 'Online Video Platform', 'Social Video Platform']",Embedded videos from YouTube.,media,1397084400000,1633244400000,no,http://youtube.com,
54,FlexSlider,"['jQuery Plugin', 'Slider']",jQuery Slider toolkit from Woothemes.,javascript,1397862000000,1627887600000,no,http://www.woothemes.com/flexslider,
55,GlobalSign,['Root Authority'],Certificate provided by GlobalSign.,ssl,1399503600000,1443654000000,no,http://globalsign.com,
56,Cloudflare,,Automatically optimizes the delivery of your web pages so your visitors get the fastest page load times and best performance.,cdn,1399503600000,1636268400000,no,http://www.cloudflare.com/,
57,Cloudflare DNS,,DNS services provided by Cloudflare.,ns,1399503600000,1636268400000,no,http://cloudflare.com,
58,Cloudflare SSL,,SSL solutions from Cloudflare,ssl,1399503600000,1636268400000,no,http://cloudflare.com,
59,Cloudflare Email Protection,,Cloudflare plugin to protect website email addresses.,widgets,1400108400000,1410048000000,no,http://www.cloudflare.com/email-protection,
60,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1400108400000,1583276400000,no,http://nginx.net/,
61,html5shiv,['Compatibility'],HTML5 IE enabling script shim.,javascript,1402873200000,1627714800000,no,https://github.com/afarkas/html5shiv,
62,Google API,,The website uses some form of Google APIs to provide interaction with the many API's Google Providers.,javascript,1405296000000,1627714800000,no,http://code.google.com,
63,Yahoo User Interface,['JavaScript Library'],"The Yahoo! User Interface (YUI) Library is a set of utilities and controls, written in JavaScript, for building richly interactive web applications using techniques such as DOM scripting, DHTML and AJAX.",javascript,1406761200000,1406761200000,no,http://developer.yahoo.com/yui/,
64,Cloudflare Hosting,"['US hosting', 'Cloud Hosting', 'Cloud PaaS']",Supercharged web hosting service.,hosting,1408575600000,1636268400000,no,http://cloudflare.com,
65,Viewport Meta,,This page uses the viewport meta tag which means the content may be optimized for mobile content.,mobile,1413763200000,1636268400000,no,https://developers.google.com/speed/docs/insights/ConfigureViewport,
66,W3 Total Cache,,The fastest and most complete WordPress performance optimization plugin.,widgets,1421276400000,1421881200000,no,http://www.w3-edge.com/wordpress-plugins/w3-total-cache/,
67,WordPress,"['Open Source', 'Blog']","WordPress is a state-of-the-art semantic personal publishing platform with a focus on aesthetics, web standards, and usability.",cms,1421276400000,1636268400000,no,http://wordpress.org,
68,Microsoft Azure DNS,,This domain is verified with Microsoft Azure.,mx,1427238000000,1636268400000,no,http://windowsazure.com,
69,Google Hosted Libraries,,"Google Hosted Libraries is a globally available content distribution network for the most popular, open-source JavaScript libraries.",javascript,1430953200000,1627714800000,no,https://developers.google.com/speed/libraries/,
70,Google Hosted jQuery,,jQuery hoted at Google.,javascript,1430953200000,1627714800000,no,https://developers.google.com/speed/libraries/,Google Hosted Libraries
71,Twemoji,,Twitter Emoji for Everyone,widgets,1432767600000,1633158000000,no,https://github.com/twitter/twemoji,
72,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1435186800000,1636268400000,no,http://www.openspf.org/,
73,Microsoft Exchange Online,['Business Email Hosting'],A rich hosted Exchange environment for every user without having to manage a server.,mx,1435186800000,1636268400000,no,http://www.microsoft.com/exchange/en-us/exchange-online-hosted-email.aspx,
74,DoubleClick.Net,,"DoubleClick enables agencies, marketers and publishers to work together successfully and profit from their digital marketing investments.",ads,1438815600000,1636268400000,no,http://www.doubleclick.com,
75,Office 365 Mail,['Business Email Hosting'],Email sent from this domain has records showing Office 365 usage.,mx,1440025200000,1636268400000,no,https://products.office.com/en-us/business/office,
76,Google Universal Analytics,,"The analytics.js JavaScript snippet is a new way to measure how users interact with your website. It is similar to the previous Google tracking code, ga.js, but offers more flexibility for developers to customize their implementations.",analytics,1442444400000,1632553200000,no,https://developers.google.com/analytics/devguides/collection/analyticsjs/,Google Analytics
77,Google Analytics Classic,,Classic Google Analytics - sites that are using non-universal analytics code.,analytics,1443654000000,1523228400000,no,https://developers.google.com/analytics/devguides/collection/gajs/,Google Analytics
78,Comodo PositiveSSL,,Comodo Positive SSL certificate.,ssl,1444690800000,1574290800000,no,http://www.positivessl.com/ssl-certificate-positivessl.php,
79,Comodo SSL,['Root Authority'],Certificate provided by Comodo.,ssl,1444690800000,1574290800000,no,http://comodo.com,
80,Instagram API,['Social Sharing'],This website makes calls to the Instagram API.,widgets,1455750000000,1481324400000,no,https://www.instagram.com/developer/,
81,Zendesk,,"Organize, prioritize and engage with others on support requests.",mx,1456959600000,1636268400000,yes,http://www.zendesk.com/,
82,CryptoJS,,CryptoJS is a growing collection of standard and secure cryptographic algorithms implemented in JavaScript using best practices and patterns. ,javascript,1461193200000,1625468400000,no,https://code.google.com/p/crypto-js/,
83,Texthelp,['Translation'],Language assistance program.,widgets,1468364400000,1633158000000,yes,http://texthelp.com,
84,jQuery UI,"['jQuery Plugin', 'UI']","jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets, built on top of the jQuery JavaScript Library, that you can use to build highly interactive web applications.",javascript,1472079600000,1614326400000,no,http://jqueryui.com/,jQuery
85,IPv6,,The website has an IPv6 record.,Server,1473548400000,1636268400000,no,http://en.wikipedia.org/wiki/IPv6,
86,Google Tag Manager,['Tag Management'],Tag management that lets you add and update website tags without changes to underlying website code.,widgets,1478732400000,1636268400000,no,http://google.com/tagmanager,
87,Hotjar,"['Audience Measurement', 'Conversion Optimization', 'Feedback Forms and Surveys']","A heatmap, survey, feedback and funnel application.",analytics,1494025200000,1523228400000,yes,http://hotjar.com,
88,Swedish,,Website content is written in Swedish.,language,1496530800000,1636268400000,no,http://sv.wikipedia.org,
89,Typeahead.js,,typeahead.js is an autocomplete library from Twitter.,javascript,1505084400000,1522796400000,no,https://github.com/twitter/typeahead.js,
90,Bootstrap.js,['JavaScript Library'],Twitter Bootstrap JS components.,javascript,1505084400000,1522796400000,no,https://getbootstrap.com/javascript/,
91,FitVids.JS,['jQuery Plugin'],"A lightweight, easy-to-use jQuery plugin for fluid width video embeds.",javascript,1505084400000,1627714800000,no,http://fitvidsjs.com/,
