,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Hostpoint,['Swiss hosting'],Network infrastructure from Hostpoint based in Switzerland.,hosting,1496271600000,1634626800000,no,http://hostpoint.ch,
1,Hostpoint DNS,,Swiss based hosting and DNS services,ns,1496271600000,1636182000000,no,http://hostpoint.ch,
2,German HREF LANG,,This webpage has alternate versions available in German via the use of the hreflang tag.,language,1496530800000,1636358400000,no,https://support.google.com/webmasters/answer/189077?hl=en,
3,Apache 2.2,,Apache version 2.2.*,Web Server,1496530800000,1496530800000,no,http://httpd.apache.org/docs/2.2,Apache
4,OpenSSL,,"The OpenSSL Project is a collaborative effort to develop a robust, commercial-grade, full-featured, and Open Source toolkit implementing the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols as well as a full-strength general purpose cryptography library.",Server,1496530800000,1563231600000,no,http://openssl.org,
5,Google Font API,['Fonts'],The Google Font API helps you add web fonts to any web page.,widgets,1496530800000,1600585200000,no,https://fonts.google.com,
6,FreeBSD,,"FreeBSD is an operating system for modern server, desktop, and embedded computer platforms. ",Server,1496530800000,1563231600000,no,http://www.freebsd.org/,
7,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1496530800000,1617174000000,no,http://httpd.apache.org/,
8,German,,Website content is written in German.,language,1496530800000,1636182000000,no,http://de.wikipedia.org,
9,mod_ssl,,This module provides strong cryptography for the Apache 1.3 webserver via the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols,Server,1496530800000,1496530800000,no,http://www.modssl.org/,
10,PHP,,PHP is a widely used general-purpose scripting language that is especially suited for Web development and can be embedded into HTML.,framework,1496530800000,1633158000000,no,http://www.php.net,
11,DAV,,"WebDAV stands for ""Web-based Distributed Authoring and Versioning"". It is a set of extensions to the HTTP protocol which allows users to collaboratively edit and manage files on remote web servers.",framework,1496530800000,1496530800000,no,http://www.webdav.org/,
12,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1499295600000,1531436400000,no,http://geotrust.com,
13,Apache 2.4,,Apache version 2.4.*,Web Server,1499295600000,1563231600000,no,http://httpd.apache.org/docs/2.4,Apache
14,Hostpoint SSL,,SSL from Swiss based HostPoint.,ssl,1499295600000,1531436400000,no,http://hostpoint.com,
15,English HREF LANG,,This webpage has alternate versions available in English via the use of the hreflang tag.,language,1510095600000,1548025200000,no,https://support.google.com/webmasters/answer/189077?hl=en,
16,DigiCert SSL,['Root Authority'],Certificate provided by DigiCert.,ssl,1531436400000,1531436400000,no,http://www.digicert.com/,
17,IPv6,,The website has an IPv6 record.,Server,1531436400000,1636182000000,no,http://en.wikipedia.org/wiki/IPv6,
18,mod_wsgi,,The aim of mod_wsgi is to implement a simple to use Apache module which can host any Python application which supports the Python WSGI interface.,Web Server,1562886000000,1563231600000,no,http://code.google.com/p/modwsgi/,
19,Python,,"Python is a dynamic object-oriented programming language that can be used for many kinds of software development. It offers strong support for integration with other languages and tools, comes with extensive standard libraries, and can be learned in a few days. ",framework,1562886000000,1563231600000,no,http://www.python.org,
20,Python 3.7,,Python version 3.7.*,framework,1562886000000,1563231600000,no,https://www.python.org/downloads/release/python-370/,Python
21,Copyright Year 2001,,Webpage has a copyright year of 2001 with no detectable mention of the current year.,copyright,1588892400000,1600585200000,no,https://en.wikipedia.org/wiki/Copyright,
22,Sectigo SSL,,SSL from Sectigo formerly Comodo.,ssl,1588892400000,1600585200000,no,https://sectigo.com,
23,Sectigo Organization SSL,,Organization validation SSL certificates from Sectigo (formerly Comodo).,ssl,1588892400000,1600585200000,yes,https://sectigo.com/products/ssl-certificates-tls/ov-organization-validation,Sectigo SSL
24,SPF,,The Sender Policy Framework is an open standard specifying a technical method to prevent sender address forgery.,mx,1609574400000,1636182000000,no,http://www.openspf.org/,
25,Microsoft Exchange Online,['Business Email Hosting'],A rich hosted Exchange environment for every user without having to manage a server.,mx,1609574400000,1636182000000,no,http://www.microsoft.com/exchange/en-us/exchange-online-hosted-email.aspx,
26,Office 365 Mail,['Business Email Hosting'],Email sent from this domain has records showing Office 365 usage.,mx,1609574400000,1636182000000,no,https://products.office.com/en-us/business/office,
27,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1614153600000,1636182000000,no,http://trends.builtwith.com/ssl,
28,Facebook Pixel,,Facebook Pixel is Facebooks conversion tracking system for ads on Facebook to websites.,analytics,1614153600000,1617174000000,no,https://www.facebook.com/business/help/952192354843755,
29,Yoast SEO Premium,['WordPress Plugins'],Premium version of the Yoast WordPress Plugin.,widgets,1614153600000,1636358400000,yes,https://yoast.com/wordpress/plugins/seo-premium/,Yoast WordPress SEO Plugin
30,Yoast WordPress SEO Plugin,['WordPress Plugins'],"Functionality that helps you optimize your pages content, images titles, meta descriptions and more.",widgets,1614153600000,1636358400000,no,https://yoast.com/wordpress/plugins/seo/,Yoast Plugins
31,Google Search Appliance,['Enterprise'],Google Search for Work system provides searching of internal business systems.,cms,1611561600000,1617174000000,yes,https://www.google.com.au/work/search/products/gsa.html,
32,Organization Schema,['Schema'],"Organization i.e. school, NGO, Corporation.",framework,1614153600000,1636358400000,no,https://schema.org/Organization,
33,Sitelinks Search Box,['Site Search'],"With Google sitelinks search box, people can reach your content more quickly from search results.",widgets,1614153600000,1636358400000,no,https://developers.google.com/webmasters/richsnippets/sitelinkssearch?utm_source=wmc-blog&utm_medium=direct-referral&utm_campaign=sitelinks-searchbox,
34,Facebook Conversion Tracking,['Conversion Optimization'],"Conversion tracking functionality from Facebook, allows a user to track advertisement clicks.",analytics,1614153600000,1617174000000,no,http://www.facebook.com/help/?page=994,
35,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1614153600000,1617174000000,no,http://developers.facebook.com/docs/reference/javascript/,
36,jQuery,['JavaScript Library'],"JQuery is a fast, concise, JavaScript Library that simplifies how you traverse HTML documents, handle events, perform animations, and add Ajax interactions to your web pages. jQuery is designed to change the way that you write JavaScript.",javascript,1611561600000,1636358400000,no,http://jquery.com,jQuery
37,Twenty Twenty,['WordPress Theme'],WordPress new default theme for 2020.,framework,1611561600000,1617174000000,no,https://wordpress.org/themes/twentytwenty/,
38,Wordpress Plugins,,Plugins are tools to extend the functionality of WordPress. The website uses various plugins from WordPress to provide additional functionality. Some of them may be listed here.,widgets,1611561600000,1636358400000,no,http://codex.wordpress.org/Plugins,
