,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,ASP.NET 2.0,,ASP.NET version 2.0.*,framework,1385679600000,1470697200000,no,http://www.microsoft.com/net,ASP.NET
1,Google Webmaster,,Webmaster tools provide you with a free and easy way to make your site more Google-friendly.,Web Master,1380841200000,1601334000000,no,http://www.google.com/webmasters/,
2,jQuery NoConflict,['jQuery Plugin'],Return control of $ back to the other libraries with a call to $.noConflict().,javascript,1380236400000,1584831600000,no,http://api.jquery.com/jQuery.noConflict/,jQuery
3,jQuery CDN,,The jQuery Amazon S3 Content Delivery Network,cdn,1377212400000,1635058800000,no,http://blog.jquery.com/2008/11/19/cloudfront-cdn-for-jquery/,
4,AlphaSSL,['Root Authority'],"Certificate provided by AlphaSSL, a GlobalSign company.",ssl,1372806000000,1397084400000,no,http://alphassl.com,
5,EasyDNS,,"Anycast DNS Hosting, Domain Tools & Registrations",ns,1346972400000,1496271600000,no,http://easydns.com,
6,Facebook Like Button,,The code to implement a Facebook Like Button on the page.,widgets,1369922400000,1635058800000,no,http://developers.facebook.com/docs/reference/plugins/like/,
7,Twitter Follow Button,,Follow Button to your website to increase engagement and create a lasting connection with your audience.,widgets,1369922400000,1397862000000,no,https://twitter.com/about/resources/buttons#follow,
8,Twitter Tweet Button,,Official Tweet Button for sharing articles on websites and counting how many times a URL has been shared.,widgets,1369922400000,1635058800000,no,https://twitter.com/about/resources/buttons#tweet,
9,RSS,,"A family of web feed formats used to publish frequently updated content such as blog entries, news headlines or podcasts.",feeds,1369922400000,1636268400000,no,http://en.wikipedia.org/wiki/RSS_(file_format),
10,Facebook Like Box,,The use of a fan page Like box Facebook page integration.,widgets,1369922400000,1376866800000,no,http://developers.facebook.com/docs/reference/plugins/like-box,
11,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1369922400000,1636268400000,no,http://twitter.com/about/resources,
12,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1369922400000,1636444800000,no,http://developers.facebook.com/docs/reference/javascript/,
13,Facebook for Websites,,Allows a user to make a website more sociable and connected with integrations from the hugely popular Facebook website.,javascript,1369922400000,1636444800000,no,http://developers.facebook.com/,
14,AddThis,"['Social Sharing', 'Bookmarking']",Widgets that allow visitors to save and promote the site.,widgets,1369922400000,1590966000000,no,http://addthis.com,
15,Facebook Like,['Social Sharing'],"Allows users to Like items they find on the web, similar to how you Like items within Facebook.",widgets,1369922400000,1635058800000,no,http://developers.facebook.com/docs/reference/plugins/like,
16,Facebook CDN,,This page has content that links to the Facebook content delivery network.,cdn,1355490000000,1614844800000,no,http://www.facebook.com,
17,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1355490000000,1428883200000,no,http://akamai.com,
18,Prototype,['JavaScript Library'],Prototype is a javascript framework which aims to ease development of dynamic web applications.,javascript,1324213200000,1588028400000,no,http://www.prototypejs.org,
19,Facebook Domain Insights,['Social Management'],This website contains tracking information that allows admins to see Facebook Insights out of Facebook to this domain.,analytics,1343916000000,1636268400000,no,http://www.facebook.com/insights/,
20,Content Delivery Network,,This page contains links that give the impression that some of the site contents are stored on a content delivery network.,CDN,1317560400000,1636268400000,no,http://en.wikipedia.org/wiki/Content_Delivery_Network,
21,Livestream,"['Live Stream / Webcast', 'Online Video Platform']",Livestream is the most powerful online video broadcast solution available. In just minutes you can create broadcasts as polished as any multi-million dollar traditional television network.,media,1317560400000,1317560400000,maybe,http://livestream.com,
22,Shockwave Flash Embed,,Adobe Flash Macromedia shockwave content. End of life product retiring in 2020.,framework,1317560400000,1397862000000,no,http://www.macromedia.com/software/flash/about/,
23,Symantec.cloud,"['Business Email Hosting', 'Secure Email']","Small, medium and enterprise business solutions.",mx,1315749600000,1636444800000,yes,http://www.symanteccloud.com/en/au/,
24,easyDNS Mail,['Business Email Hosting'],"Backup Mail Spooling, Email Forwarding and other DNS mail features.",mx,1315749600000,1377817200000,no,http://easydns.com,
