,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Apache 2.2,,Apache version 2.2.*,Web Server,1387148400000,1397862000000,no,http://httpd.apache.org/docs/2.2,Apache
1,mod_ssl 2.2.9,,mod_ssl version 2.2.9,Server,1387148400000,1397862000000,no,http://httpd.apache.org/docs/2.2/mod/mod_ssl.html,mod_ssl
2,OpenSSL 0.9.8,,OpenSSL version 0.9.8,Server,1387148400000,1397862000000,no,http://www.openssl.org,OpenSSL
3,Suhosin,,Suhosin is an advanced protection system for PHP installations. ,Server,1379286000000,1397862000000,no,http://www.hardened-php.net/suhosin/,
4,Joomla!,['Open Source'],Joomla! is a Content Management System and Web Application Framework.,cms,1379286000000,1397862000000,no,http://joomla.org,
5,Atom,,Atom Syndication Format is an XML language used for web feeds very similar to RSS.,feeds,1379286000000,1397862000000,no,http://en.wikipedia.org/wiki/Atom_%28standard%29,
6,Yahoo User Interface,['JavaScript Library'],"The Yahoo! User Interface (YUI) Library is a set of utilities and controls, written in JavaScript, for building richly interactive web applications using techniques such as DOM scripting, DHTML and AJAX.",javascript,1379286000000,1397862000000,no,http://developer.yahoo.com/yui/,
7,OpenSSL,,"The OpenSSL Project is a collaborative effort to develop a robust, commercial-grade, full-featured, and Open Source toolkit implementing the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols as well as a full-strength general purpose cryptography library.",Server,1379286000000,1397862000000,no,http://openssl.org,
8,Subversion,,A version control system that is a compelling replacement for CVS in the open source community web extension.,framework,1379286000000,1397862000000,no,http://subversion.tigris.org/,
9,Debian,,Debian is a free operating system (OS) for your computer.,Server,1379286000000,1397862000000,no,http://www.debian.org,
10,mod_ssl,,This module provides strong cryptography for the Apache 1.3 webserver via the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols,Server,1379286000000,1397862000000,no,http://www.modssl.org/,
11,DAV,,"WebDAV stands for ""Web-based Distributed Authoring and Versioning"". It is a set of extensions to the HTTP protocol which allows users to collaboratively edit and manage files on remote web servers.",framework,1379286000000,1397862000000,no,http://www.webdav.org/,
12,MooTools,['JavaScript Library'],"MooTools is a compact, modular, Object-Oriented JavaScript framework designed for the intermediate to advanced JavaScript developer. It allows you to write powerful, flexible and cross-browser code with its elegant, well documented and coherent API.",javascript,1379286000000,1397862000000,no,http://mootools.net/,
13,MODX,,MODX is an Open Source Content Management System (CMS) that supports modern web standards and integrates with existing infrastructure.,framework,1591052400000,1633158000000,no,http://modx.com/,
14,Japanese Yen,['Currency'],The website uses the ¥ symbol on its website - meaning it may accept payment in this Japanese currency.,payment,1597705200000,1597705200000,no,https://en.wikipedia.org/wiki/Japanese_yen,
