,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
0,Google Tag Manager,['Tag Management'],Tag management that lets you add and update website tags without changes to underlying website code.,widgets,1386889200000,1636444800000,no,http://google.com/tagmanager,
1,Optimizely,"['A/B Testing', 'Site Optimization', 'Conversion Optimization', 'Personalization']",Optimizely empowers companies to deliver more relevant and effective digital experiences on websites and mobile through A/B testing and personalization.,analytics,1380236400000,1636268400000,yes,http://www.optimizely.com,
2,SSL.com,['Root Authority'],Certificate provided by SSL.com,ssl,1380236400000,1380236400000,no,http://ssl.com,
3,Facebook Sharer,,Share this page on Facebook using a deprecated sharing syntax.,widgets,1380236400000,1636268400000,no,http://www.facebook.com/facebook-widgets/share.php,
4,ExpressionEngine,"['eCommerce Enabled', 'Enterprise']","ExpressionEngine is a flexible, feature-rich content management system that empowers thousands of individuals, organizations, and companies around the world to easily manage their website.",cms,1380236400000,1507849200000,no,http://expressionengine.com,
5,Facebook SDK,," JavaScript SDK enables you to access all of the features of the Graph API via JavaScript, and it provides a rich set of client-side functionality for authentication and sharing. It differs from Facebook Connect.",javascript,1380236400000,1635058800000,no,http://developers.facebook.com/docs/reference/javascript/,
6,jQuery Cycle,['jQuery Plugin'],A slideshow plugin for JQuery that supports many different types of transition effects.,javascript,1379631600000,1482879600000,no,http://jquery.malsup.com/cycle/,jQuery
7,jQuery CDN,,The jQuery Amazon S3 Content Delivery Network,cdn,1379631600000,1636268400000,no,http://blog.jquery.com/2008/11/19/cloudfront-cdn-for-jquery/,
8,jQuery Placeholder,['jQuery Plugin'],The jQuery placeholder easily allows you to emulate the placeholder attribute on input fields for all browsers.,javascript,1379631600000,1494025200000,no,https://github.com/mathiasbynens/jquery-placeholder,jQuery
9,AddThis,"['Social Sharing', 'Bookmarking']",Widgets that allow visitors to save and promote the site.,widgets,1379631600000,1617606000000,no,http://addthis.com,
10,CloudFront,,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments.",cdn,1373929200000,1602543600000,no,http://aws.amazon.com/cloudfront/,
11,Apache,,Apache has been the most popular web server on the Internet since April 1996.,Web Server,1373497200000,1636268400000,no,http://httpd.apache.org/,
12,GeoTrust SSL,['Root Authority'],Certificate provided by GeoTrust.,ssl,1372806000000,1636182000000,no,http://geotrust.com,
13,RapidSSL,,RapidSSL certificate provider.,ssl,1372806000000,1610751600000,no,http://rapidssl.com,
14,Twitter Timeline,,"Add your tweets, favourites or searches as a timeline to the website.",widgets,1367676000000,1635058800000,no,http://twitter.com/settings/widgets,
15,Twitter Platform,,The page embeds the Twitter platform in one method or another.,javascript,1367676000000,1635058800000,no,http://twitter.com/about/resources,
16,jQuery Cookie,['jQuery Plugin'],"A simple, lightweight jQuery plugin for reading, writing and deleting cookies.",javascript,1367157600000,1636182000000,no,https://github.com/carhartl/jquery-cookie,jQuery
17,Yahoo User Interface,['JavaScript Library'],"The Yahoo! User Interface (YUI) Library is a set of utilities and controls, written in JavaScript, for building richly interactive web applications using techniques such as DOM scripting, DHTML and AJAX.",javascript,1367157600000,1636182000000,no,http://developer.yahoo.com/yui/,
18,Akamai,,Akamai provides a distributed computing platform for global Internet content and application delivery.,cdn,1324213200000,1507849200000,no,http://akamai.com,
